timestamp,event,pod_name,pod_uid,priority,time_s
2026/02/03/09:41:57,apply-time,rs-000119-4db27,37483bcc-3384-4e55-846d-9b5538ccf4ea,1,27.740100
2026/02/03/09:41:57,running-time,rs-000119-4db27,37483bcc-3384-4e55-846d-9b5538ccf4ea,1,27.740100
2026/02/03/09:41:57,apply-time,rs-000119-zs92r,13bb0380-77f2-41b3-b996-145bd62f19c7,1,27.740100
2026/02/03/09:41:57,running-time,rs-000119-zs92r,13bb0380-77f2-41b3-b996-145bd62f19c7,1,27.740100
2026/02/03/09:41:57,apply-time,rs-000120-gcrlj,35d202a8-54e9-4044-9d96-50c2c7b37698,1,27.740100
2026/02/03/09:41:57,running-time,rs-000120-gcrlj,35d202a8-54e9-4044-9d96-50c2c7b37698,1,27.740100
2026/02/03/09:41:57,apply-time,rs-000120-t8pgp,067265d9-d665-42f5-8a3e-63a643b40a6b,1,27.740100
2026/02/03/09:41:57,running-time,rs-000120-t8pgp,067265d9-d665-42f5-8a3e-63a643b40a6b,1,27.740100
2026/02/03/09:41:57,apply-time,rs-000121-2cbgt,f308f3a0-4b62-49ca-bfaf-a2c1f7b00f59,1,27.740100
2026/02/03/09:41:57,apply-time,rs-000122-kmvcg,a3ae4637-9dea-4c72-9524-3a5ab8b73a7f,3,27.740100
2026/02/03/09:41:57,running-time,rs-000122-kmvcg,a3ae4637-9dea-4c72-9524-3a5ab8b73a7f,3,27.740100
2026/02/03/09:41:57,apply-time,rs-000123-5bn4s,a55873e2-9e46-4a0f-a440-163fe13d66f8,1,27.740100
2026/02/03/09:41:57,running-time,rs-000123-5bn4s,a55873e2-9e46-4a0f-a440-163fe13d66f8,1,27.740100
2026/02/03/09:41:57,apply-time,rs-000123-gq29p,a3c1191e-a86e-4b80-8ec4-e4be42d651e9,1,27.740100
2026/02/03/09:41:57,running-time,rs-000123-gq29p,a3c1191e-a86e-4b80-8ec4-e4be42d651e9,1,27.740100
2026/02/03/09:41:58,apply-time,rs-000124-lmp2w,338a95ab-bbd4-46fd-a06d-b051c1bb8b97,1,28.740100
2026/02/03/09:41:58,running-time,rs-000124-lmp2w,338a95ab-bbd4-46fd-a06d-b051c1bb8b97,1,28.740100
2026/02/03/09:42:23,apply-time,rs-000125-4qlcz,d414ce7f-ebb0-4e10-b49f-63a1e2e112a1,1,53.740100
2026/02/03/09:42:23,running-time,rs-000125-4qlcz,d414ce7f-ebb0-4e10-b49f-63a1e2e112a1,1,53.740100
2026/02/03/09:44:06,apply-time,rs-000126-8k6xd,b6703926-db87-4e9e-8617-2b294329f123,1,156.740100
2026/02/03/09:44:06,apply-time,rs-000127-wr8k5,f7f71a27-5ae4-4892-8754-795109e1925e,2,156.740100
2026/02/03/09:44:06,running-time,rs-000127-wr8k5,f7f71a27-5ae4-4892-8754-795109e1925e,2,156.740100
2026/02/03/09:44:07,apply-time,rs-000128-lf9d7,540bf0dd-6a86-4897-bf64-650b69cbbebf,4,157.740100
2026/02/03/09:44:07,running-time,rs-000128-lf9d7,540bf0dd-6a86-4897-bf64-650b69cbbebf,4,157.740100
2026/02/03/09:44:07,apply-time,rs-000128-mkkjk,fd92c1dc-f8e7-4287-8af2-63bcc7d2ac28,4,157.740100
2026/02/03/09:44:07,running-time,rs-000128-mkkjk,fd92c1dc-f8e7-4287-8af2-63bcc7d2ac28,4,157.740100
2026/02/03/09:44:07,apply-time,rs-000129-qskbr,bbba0ef9-acb9-4534-bd3a-41ad7db8cd68,1,157.740100
2026/02/03/09:44:07,running-time,rs-000129-qskbr,bbba0ef9-acb9-4534-bd3a-41ad7db8cd68,1,157.740100
2026/02/03/09:44:07,apply-time,rs-000129-szjbv,c86d354c-6933-4e17-8f8d-427514ba4168,1,157.740100
2026/02/03/09:44:07,running-time,rs-000129-szjbv,c86d354c-6933-4e17-8f8d-427514ba4168,1,157.740100
2026/02/03/09:44:07,apply-time,rs-000129-tvvhk,0ab11500-b729-4c62-9dd7-51c250c30e9b,1,157.740100
2026/02/03/09:44:07,running-time,rs-000129-tvvhk,0ab11500-b729-4c62-9dd7-51c250c30e9b,1,157.740100
2026/02/03/09:45:46,apply-time,rs-000130-5tvbd,06d4261d-4480-4f36-93e6-1b5a6b3c22e1,2,256.740100
2026/02/03/09:45:46,running-time,rs-000130-5tvbd,06d4261d-4480-4f36-93e6-1b5a6b3c22e1,2,256.740100
2026/02/03/09:45:48,apply-time,rs-000131-9n4r8,8d513ee2-1bf1-4a03-b08e-b114c075a219,2,258.740100
2026/02/03/09:45:48,running-time,rs-000131-9n4r8,8d513ee2-1bf1-4a03-b08e-b114c075a219,2,258.740100
2026/02/03/09:45:48,apply-time,rs-000131-9zxwh,2968695e-f705-4269-ba00-afbf1f21209c,2,258.740100
2026/02/03/09:45:48,running-time,rs-000131-9zxwh,2968695e-f705-4269-ba00-afbf1f21209c,2,258.740100
2026/02/03/09:45:48,apply-time,rs-000131-c9ssv,311a1914-fd25-4d65-99b4-54d7967794a7,2,258.740100
