timestamp,event,pod_name,pod_uid,priority,time_s
2026/02/03/14:29:58,apply-time,rs-000112-kgnxv,7ab9fcf8-d308-4b1d-93ba-e336199697f0,1,18.933974
2026/02/03/14:29:58,running-time,rs-000112-kgnxv,7ab9fcf8-d308-4b1d-93ba-e336199697f0,1,18.933974
2026/02/03/14:31:28,apply-time,rs-000114-7dxnn,7c935c66-540f-4a4e-a7c2-94806d6aa3c8,1,108.933974
2026/02/03/14:31:28,running-time,rs-000114-7dxnn,7c935c66-540f-4a4e-a7c2-94806d6aa3c8,1,108.933974
2026/02/03/14:31:28,apply-time,rs-000115-jrrhz,c98a46f6-43bb-4669-b6d3-d1b31b4258ab,1,108.933974
2026/02/03/14:31:28,running-time,rs-000115-jrrhz,c98a46f6-43bb-4669-b6d3-d1b31b4258ab,1,108.933974
2026/02/03/14:31:28,apply-time,rs-000115-scfn6,dc4fa58b-6725-4718-99cd-3027e46edfe6,1,108.933974
2026/02/03/14:31:28,running-time,rs-000115-scfn6,dc4fa58b-6725-4718-99cd-3027e46edfe6,1,108.933974
2026/02/03/14:31:28,apply-time,rs-000115-t2zcw,68a76b4b-d325-4570-ad1e-692cf9cb6140,1,108.933974
2026/02/03/14:31:28,running-time,rs-000115-t2zcw,68a76b4b-d325-4570-ad1e-692cf9cb6140,1,108.933974
2026/02/03/14:31:28,apply-time,rs-000116-88gd4,70d6c974-cc0c-47cc-a7e9-99011be824f7,1,108.933974
2026/02/03/14:31:28,running-time,rs-000116-88gd4,70d6c974-cc0c-47cc-a7e9-99011be824f7,1,108.933974
2026/02/03/14:31:28,apply-time,rs-000117-5m6xz,f11fd651-4f2f-43a2-8ae4-102583c97d88,1,108.933974
2026/02/03/14:31:28,running-time,rs-000117-5m6xz,f11fd651-4f2f-43a2-8ae4-102583c97d88,1,109.933974
2026/02/03/14:31:28,apply-time,rs-000117-q78d2,37890ed2-4713-4645-844a-7b7f3d02a605,1,108.933974
2026/02/03/14:31:28,running-time,rs-000117-q78d2,37890ed2-4713-4645-844a-7b7f3d02a605,1,109.933974
2026/02/03/14:31:28,apply-time,rs-000118-brnzz,7623bd95-64b4-4e55-a88f-a1137843028c,1,109.933974
2026/02/03/14:31:28,running-time,rs-000118-brnzz,7623bd95-64b4-4e55-a88f-a1137843028c,1,109.933974
2026/02/03/14:31:28,apply-time,rs-000119-rstsr,1d5f7ba2-8886-47fb-8389-5b769a46dceb,1,109.933974
2026/02/03/14:31:28,running-time,rs-000119-rstsr,1d5f7ba2-8886-47fb-8389-5b769a46dceb,1,109.933974
2026/02/03/14:31:28,apply-time,rs-000120-7qbws,f9dc25ff-bd68-437c-b4e2-71a3780b768a,1,109.933974
2026/02/03/14:31:28,apply-time,rs-000120-bmmd9,cffe439f-9e00-4bcf-a205-07c931b0e11d,1,109.933974
2026/02/03/14:31:28,apply-time,rs-000121-ncfgb,041ca76c-4c45-4939-8ac7-b745c03fdbb5,1,109.933974
2026/02/03/14:31:29,running-time,rs-000121-ncfgb,041ca76c-4c45-4939-8ac7-b745c03fdbb5,1,109.933974
2026/02/03/14:31:35,apply-time,rs-000122-8845q,4bb6787d-bc7a-4fd3-be8c-3490cd6df3dc,1,116.933974
2026/02/03/14:31:35,running-time,rs-000122-8845q,4bb6787d-bc7a-4fd3-be8c-3490cd6df3dc,1,116.933974
2026/02/03/14:31:35,apply-time,rs-000123-gdjj2,f7e9b1a7-9499-418a-9d21-34d045309d21,1,116.933974
2026/02/03/14:31:35,running-time,rs-000123-gdjj2,f7e9b1a7-9499-418a-9d21-34d045309d21,1,116.933974
2026/02/03/14:31:35,apply-time,rs-000124-6vgkk,c90e2697-0df6-4fb9-b6d5-f8077f003ca8,1,116.933974
2026/02/03/14:31:36,running-time,rs-000124-6vgkk,c90e2697-0df6-4fb9-b6d5-f8077f003ca8,1,116.933974
2026/02/03/14:31:40,apply-time,rs-000125-xzz6h,c4159e71-a024-4c3d-85d3-810b002a3308,1,121.933974
2026/02/03/14:31:40,running-time,rs-000125-xzz6h,c4159e71-a024-4c3d-85d3-810b002a3308,1,121.933974
2026/02/03/14:31:42,apply-time,rs-000126-45qdl,99bbb732-55f7-4ba7-adea-7221f958137e,1,122.933974
2026/02/03/14:31:42,running-time,rs-000126-45qdl,99bbb732-55f7-4ba7-adea-7221f958137e,1,122.933974
2026/02/03/14:31:42,apply-time,rs-000126-ggfdp,69e4a7fc-b456-4f4a-83af-92f223f41783,1,122.933974
