job_name,plugin_config,n_seed,T_end_s_mean,delta_U_pct_cpu_mean,delta_U_pct_mem_mean,delta_U_pct_eff_mean,delta_R_num_p1_mean,delta_R_num_p2_mean,delta_R_num_p3_mean,delta_R_num_p4_mean,delta_R_num_total_mean,delta_D_num_p1_mean,delta_D_num_p2_mean,delta_D_num_p3_mean,delta_D_num_p4_mean,delta_D_num_total_mean,delta_L_ms_p1_mean,delta_L_ms_p2_mean,delta_L_ms_p3_mean,delta_L_ms_p4_mean,delta_L_ms_total_mean,solver_attempts_mean,solver_optimal_mean,solver_feasible_mean,solver_failed_mean,plan_not_applicable_mean,plan_activated_mean,T_end_s_std,delta_U_pct_cpu_std,delta_U_pct_mem_std,delta_U_pct_eff_std,delta_R_num_p1_std,delta_R_num_p2_std,delta_R_num_p3_std,delta_R_num_p4_std,delta_R_num_total_std,delta_D_num_p1_std,delta_D_num_p2_std,delta_D_num_p3_std,delta_D_num_p4_std,delta_D_num_total_std,delta_L_ms_p1_std,delta_L_ms_p2_std,delta_L_ms_p3_std,delta_L_ms_p4_std,delta_L_ms_total_std,solver_attempts_std,solver_optimal_std,solver_feasible_std,solver_failed_std,plan_not_applicable_std,plan_activated_std
nodes=16_prio=1_arrival=16s,mode=periodic32s_blocking=0_defpreempt=0,3,7199.2218,2.8724,1.3533,2.7984,1.0729,0.0,0.0,0.0,1.0729,-9.6667,,,,-9.6667,-1318.8712,,,,-1318.8712,19.0,11.3333,1.0,6.6667,0.0,12.3333,0.1302,0.4759,0.7216,0.3297,0.2818,0.0,0.0,0.0,0.2818,26.5016,,,,26.5016,1744.0589,,,,1744.0589,5.2915,2.8868,1.7321,6.4291,0.0,1.1547
nodes=16_prio=1_arrival=16s,mode=periodic32s_blocking=0_defpreempt=1,3,7199.4881,3.0243,1.3171,2.9093,1.1006,0.0,0.0,0.0,1.1006,-25.0,,,,-25.0,-1762.4287,,,,-1762.4287,16.6667,9.3333,0.6667,6.6667,0.0,10.0,0.3241,0.7632,0.5704,0.6987,0.1859,0.0,0.0,0.0,0.1859,25.5343,,,,25.5343,3291.1951,,,,3291.1951,4.0415,2.8868,1.1547,5.6862,0.0,1.7321
nodes=16_prio=1_arrival=16s,mode=periodic32s_blocking=1_defpreempt=0,3,7199.4644,2.9734,1.3028,2.878,1.0557,0.0,0.0,0.0,1.0557,-22.3333,,,,-22.3333,-1255.4693,,,,-1255.4693,18.0,11.3333,0.3333,6.3333,0.0,11.6667,0.3336,0.7958,0.5574,0.6733,0.1569,0.0,0.0,0.0,0.1569,16.0416,,,,16.0416,2872.7492,,,,2872.7492,3.4641,1.5275,0.5774,2.0817,0.0,1.5275
nodes=16_prio=1_arrival=16s,mode=periodic32s_blocking=1_defpreempt=1,3,7199.4116,2.9259,1.2557,2.8051,1.0247,0.0,0.0,0.0,1.0247,-23.0,,,,-23.0,-642.7482,,,,-642.7482,16.6667,10.0,1.0,5.6667,0.0,11.0,0.4004,0.6796,0.5818,0.5656,0.1872,0.0,0.0,0.0,0.1872,20.8087,,,,20.8087,2761.4142,,,,2761.4142,5.1316,3.6056,1.7321,3.2146,0.0,2.6458
nodes=16_prio=1_arrival=16s,mode=periodic64s_blocking=0_defpreempt=1,3,7199.5529,2.7033,1.2472,2.5565,1.012,0.0,0.0,0.0,1.012,-14.0,,,,-14.0,-1580.3844,,,,-1580.3844,8.6667,6.0,0.3333,2.3333,0.0,6.3333,0.2666,0.6227,0.4531,0.3528,0.049,0.0,0.0,0.0,0.049,18.0278,,,,18.0278,3013.801,,,,3013.801,3.5119,1.7321,0.5774,3.2146,0.0,1.5275
nodes=16_prio=1_arrival=16s,mode=periodic64s_blocking=1_defpreempt=0,3,7199.1093,-26.7185,-26.8136,-27.257,-38.1149,0.0,0.0,0.0,-38.1149,-250.3333,,,,-250.3333,-2160.2814,,,,-2160.2814,9.0,6.0,0.5,2.5,0.0,6.5,0.0611,51.2137,48.1592,51.7859,67.5382,0.0,0.0,0.0,67.5382,410.7704,,,,410.7704,1758.1622,,,,1758.1622,4.2426,0.0,0.7071,3.5355,0.0,0.7071
nodes=16_prio=1_arrival=16s,mode=periodic64s_blocking=1_defpreempt=1,3,7199.6027,2.3348,1.0947,2.2481,0.831,0.0,0.0,0.0,0.831,-14.0,,,,-14.0,-327.3171,,,,-327.3171,10.6667,6.3333,0.0,4.3333,0.0,6.3333,0.2311,0.531,0.4998,0.262,0.1085,0.0,0.0,0.0,0.1085,11.2694,,,,11.2694,3639.4263,,,,3639.4263,4.1633,2.5166,0.0,5.1316,0.0,2.5166
nodes=16_prio=1_arrival=16s,mode=periodic8s_blocking=0_defpreempt=0,3,7199.6302,3.499,1.6849,3.4529,1.4053,0.0,0.0,0.0,1.4053,20.0,,,,20.0,-2966.4018,,,,-2966.4018,52.0,24.0,4.0,24.0,0.0,28.0,0.1611,0.8037,0.7153,0.7085,0.1737,0.0,0.0,0.0,0.1737,30.315,,,,30.315,1921.8769,,,,1921.8769,11.5326,2.6458,3.4641,8.6603,0.0,3.6056
nodes=16_prio=1_arrival=16s,mode=periodic8s_blocking=0_defpreempt=1,3,7199.4107,3.39,1.5463,3.3309,1.2921,0.0,0.0,0.0,1.2921,27.3333,,,,27.3333,-2134.3339,,,,-2134.3339,53.6667,23.3333,4.0,26.3333,0.0,27.3333,0.1707,0.8345,0.6708,0.7168,0.2071,0.0,0.0,0.0,0.2071,20.6478,,,,20.6478,1435.6904,,,,1435.6904,11.0151,2.5166,4.5826,8.3267,0.0,4.1633
nodes=16_prio=1_arrival=16s,mode=periodic8s_blocking=1_defpreempt=0,3,7199.3249,3.4337,1.5743,3.3793,1.2986,0.0,0.0,0.0,1.2986,19.6667,,,,19.6667,-1955.2015,,,,-1955.2015,54.0,24.6667,3.6667,25.6667,0.0,28.3333,0.1318,1.0119,0.6504,0.9293,0.2439,0.0,0.0,0.0,0.2439,22.053,,,,22.053,1935.0198,,,,1935.0198,16.5227,1.5275,5.5076,10.9697,0.0,5.8595
