job_name,plugin_config,seed,T_end_s_mean,delta_U_pct_cpu_mean,delta_U_pct_mem_mean,delta_U_pct_eff_mean,delta_R_num_p1_mean,delta_R_num_p2_mean,delta_R_num_p3_mean,delta_R_num_p4_mean,delta_R_num_total_mean,delta_D_num_p1_mean,delta_D_num_p2_mean,delta_D_num_p3_mean,delta_D_num_p4_mean,delta_D_num_total_mean,delta_L_ms_p1_mean,delta_L_ms_p2_mean,delta_L_ms_p3_mean,delta_L_ms_p4_mean,delta_L_ms_total_mean,solver_attempts_mean,solver_optimal_mean,solver_feasible_mean,solver_failed_mean,plan_not_applicable_mean,plan_activated_mean
nodes=16_prio=1_arrival=16s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.0859,2.3239,2.0051,2.5666,1.278,0.0,0.0,0.0,1.278,9.0,,,,9.0,607.389,,,,607.389,17.0,13.0,0.0,4.0,0.0,13.0
nodes=16_prio=1_arrival=16s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.2341,3.1173,0.5778,2.6527,0.7516,0.0,0.0,0.0,0.7516,-40.0,,,,-40.0,-1773.1961,,,,-1773.1961,15.0,13.0,0.0,2.0,0.0,13.0
nodes=16_prio=1_arrival=16s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.3454,3.176,1.4769,3.1758,1.189,0.0,0.0,0.0,1.189,2.0,,,,2.0,-2790.8064,,,,-2790.8064,25.0,8.0,3.0,14.0,0.0,11.0
nodes=16_prio=1_arrival=1s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.6936,-0.2726,-0.1044,-0.293,-0.094,0.0,0.0,0.0,-0.094,12.0,,,,12.0,29.2432,,,,29.2432,3.0,3.0,0.0,0.0,0.0,3.0
nodes=16_prio=1_arrival=1s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.3252,-0.1032,-0.0059,0.0402,0.0713,0.0,0.0,0.0,0.0713,-16.0,,,,-16.0,-16.8364,,,,-16.8364,3.0,2.0,0.0,1.0,0.0,2.0
nodes=16_prio=1_arrival=1s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.7916,-0.2077,-0.1076,-0.2077,-0.0355,0.0,0.0,0.0,-0.0355,21.0,,,,21.0,32.056,,,,32.056,2.0,2.0,0.0,0.0,0.0,2.0
nodes=16_prio=1_arrival=2s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.5212,0.2688,-0.0076,0.2883,0.0337,0.0,0.0,0.0,0.0337,25.0,,,,25.0,220.5549,,,,220.5549,9.0,7.0,0.0,2.0,0.0,7.0
nodes=16_prio=1_arrival=2s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.1868,0.0626,-0.0275,0.1309,-0.0394,0.0,0.0,0.0,-0.0394,-92.0,,,,-92.0,165.0683,,,,165.0683,8.0,8.0,0.0,0.0,0.0,8.0
nodes=16_prio=1_arrival=2s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.6397,0.8104,0.661,0.8105,0.0335,0.0,0.0,0.0,0.0335,-139.0,,,,-139.0,-262.8735,,,,-262.8735,3.0,3.0,0.0,0.0,0.0,3.0
nodes=16_prio=1_arrival=4s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.1654,0.3231,-0.2534,0.358,-0.0664,0.0,0.0,0.0,-0.0664,-24.0,,,,-24.0,850.0722,,,,850.0722,9.0,5.0,0.0,4.0,0.0,5.0
