scheduler,job_name,n_seeds,T_end_s_mean,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,util_eff_run_mean,util_eff_req_mean,R_p1,R_p2,R_p3,R_p4,D_p1,D_p2,D_p3,D_p4,latency_first_admit_mean_total_s,latency_first_admit_mean_p1_s,latency_first_admit_mean_p2_s,latency_first_admit_mean_p3_s,latency_first_admit_mean_p4_s,solver_attempts_total,best_solver_optimal_total,best_solver_feasible_total,best_solver_failed_total,plan_not_applicable_total,plan_activated_total,T_end_s_std,cpu_run_util_mean_std,mem_run_util_mean_std,cpu_req_util_mean_std,mem_req_util_mean_std,util_eff_run_mean_std,util_eff_req_mean_std,R_p1_std,R_p2_std,R_p3_std,R_p4_std,D_p1_std,D_p2_std,D_p3_std,D_p4_std,latency_first_admit_mean_total_s_std,latency_first_admit_mean_p1_s_std,latency_first_admit_mean_p2_s_std,latency_first_admit_mean_p3_s_std,latency_first_admit_mean_p4_s_std,solver_attempts_total_std,best_solver_optimal_total_std,best_solver_feasible_total_std,best_solver_failed_total_std,plan_not_applicable_total_std,plan_activated_total_std
default,nodes=16_prio=1_arrival=16s,3,7199.8499,0.8464,0.7783,0.8908,0.802,0.8574,0.9021,764616.75,0.0,0.0,0.0,758.6667,0.0,0.0,0.0,6.7595,6.7595,,,,,,,,,,0.0196,0.0119,0.0765,0.0135,0.0762,0.0093,0.0079,66016.7102,0.0,0.0,0.0,94.6761,0.0,0.0,0.0,1.9888,1.9888,,,,,,,,,
default,nodes=16_prio=1_arrival=4s,3,7199.821,0.846,0.7714,0.8832,0.7908,0.8531,0.8917,747712.3419,0.0,0.0,0.0,2844.6667,0.0,0.0,0.0,1.6344,1.6344,,,,,,,,,,0.0127,0.0102,0.0759,0.0069,0.0809,0.0072,0.0006,72973.3061,0.0,0.0,0.0,149.0779,0.0,0.0,0.0,0.2075,0.2075,,,,,,,,,
default,nodes=16_prio=1_arrival=8s,3,7199.8681,0.8484,0.7802,0.8826,0.7999,0.8591,0.8945,762346.1902,0.0,0.0,0.0,1413.0,0.0,0.0,0.0,2.6747,2.6747,,,,,,,,,,0.0546,0.0102,0.0885,0.0123,0.0896,0.0093,0.0031,74571.5012,0.0,0.0,0.0,113.5987,0.0,0.0,0.0,0.1656,0.1656,,,,,,,,,
default,nodes=16_prio=4_arrival=16s,3,7199.6916,0.8287,0.8177,0.854,0.8442,0.8607,0.8915,231869.844,176144.7401,163063.8905,133536.89,451.6667,242.3333,210.3333,148.6667,1.4295,4.6481,0.1025,0.0822,0.091,,,,,,,0.3519,0.045,0.0363,0.0488,0.0434,0.0093,0.0013,18516.5998,35239.7508,47590.0233,24729.8017,23.6126,16.0485,4.7842,7.1336,0.4979,2.0132,0.0198,0.0219,0.018,,,,,,
default,nodes=16_prio=4_arrival=4s,3,7199.8607,0.8337,0.7937,0.8641,0.8192,0.8571,0.8912,233024.0874,175505.4938,177302.2158,128579.6864,1678.3333,949.3333,788.3333,633.0,0.4942,1.4182,0.0881,0.0854,0.0723,,,,,,,0.05,0.0301,0.0424,0.0306,0.05,0.0049,0.0007,19207.4996,7350.8839,19401.2955,24840.9345,83.8424,70.6981,27.0103,29.8105,0.1026,0.3047,0.0159,0.0115,0.0045,,,,,,
default,nodes=16_prio=4_arrival=8s,3,7199.8699,0.8269,0.808,0.8537,0.8333,0.8579,0.8918,233847.8294,181740.3562,172526.725,127038.2735,825.3333,448.3333,381.3333,285.0,0.5899,1.7268,0.093,0.072,0.0969,,,,,,,0.0192,0.0417,0.0503,0.0475,0.0606,0.0091,0.0009,23553.088,32358.026,36723.1214,22035.5605,40.1442,34.5672,22.529,24.59,0.281,0.9775,0.0165,0.0047,0.018,,,,,,
default,nodes=32_prio=1_arrival=16s,3,7199.7924,0.8552,0.7983,0.892,0.8155,0.8581,0.8962,1552657.9536,0.0,0.0,0.0,815.3333,0.0,0.0,0.0,10.6703,10.6703,,,,,,,,,,0.1307,0.0169,0.0518,0.005,0.0559,0.0175,0.0065,92761.2857,0.0,0.0,0.0,107.0898,0.0,0.0,0.0,4.6182,4.6182,,,,,,,,,
default,nodes=32_prio=1_arrival=4s,3,7199.9276,0.8644,0.7865,0.891,0.8002,0.8653,0.8925,1532784.5576,0.0,0.0,0.0,2960.6667,0.0,0.0,0.0,3.2281,3.2281,,,,,,,,,,0.0319,0.0042,0.0461,0.0011,0.051,0.0031,0.0001,95555.3895,0.0,0.0,0.0,108.8189,0.0,0.0,0.0,0.9399,0.9399,,,,,,,,,
default,nodes=32_prio=1_arrival=8s,3,7199.9283,0.8626,0.7947,0.8893,0.8098,0.8639,0.8916,1559100.7669,0.0,0.0,0.0,1500.6667,0.0,0.0,0.0,4.9117,4.9117,,,,,,,,,,0.043,0.0113,0.0487,0.0014,0.0531,0.0105,0.0005,90636.2906,0.0,0.0,0.0,59.9185,0.0,0.0,0.0,1.6268,1.6268,,,,,,,,,
default,nodes=32_prio=4_arrival=16s,3,7199.8901,0.8503,0.8133,0.8649,0.8252,0.8746,0.8919,502367.246,372650.5599,336858.9044,262108.7523,416.6667,241.3333,212.6667,149.3333,1.4548,4.4191,0.084,0.0748,0.0527,,,,,,,0.0654,0.0345,0.0474,0.0386,0.0502,0.0054,0.0007,61424.087,54798.0964,68884.1978,40528.8981,19.4822,20.5318,8.5765,9.1043,0.5561,1.7064,0.0365,0.0063,0.0341,,,,,,
