scheduler,job_name,seed,T_end_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,util_eff_run_mean,util_eff_req_mean,R_p1,R_p2,R_p3,R_p4,D_p1,D_p2,D_p3,D_p4,latency_first_admit_mean_total_s,latency_first_admit_mean_p1_s,latency_first_admit_mean_p2_s,latency_first_admit_mean_p3_s,latency_first_admit_mean_p4_s,solver_attempts_total,best_solver_optimal_total,best_solver_feasible_total,best_solver_failed_total,plan_not_applicable_total,plan_activated_total
default,nodes=16_prio=1_arrival=16s,1420052706459400740,7199.8688,0.8586,0.8243,0.892,0.8555,0.8706,0.9085,835997.9703,0.0,0.0,0.0,724.0,0.0,0.0,0.0,4.3338,4.3338,,,,,,,,,
default,nodes=16_prio=1_arrival=16s,2219457405427907235,7199.858,0.8303,0.84,0.8736,0.8563,0.8515,0.891,781039.9583,0.0,0.0,0.0,664.0,0.0,0.0,0.0,9.2051,9.2051,,,,,,,,,
default,nodes=16_prio=1_arrival=16s,3848061858430934892,7199.8229,0.8502,0.6705,0.9067,0.6942,0.8502,0.9067,676812.3214,0.0,0.0,0.0,888.0,0.0,0.0,0.0,6.7395,6.7395,,,,,,,,,
default,nodes=16_prio=1_arrival=4s,1420052706459400740,7199.8381,0.8575,0.8324,0.8842,0.8547,0.8633,0.8925,813497.6521,0.0,0.0,0.0,2704.0,0.0,0.0,0.0,1.9115,1.9115,,,,,,,,,
default,nodes=16_prio=1_arrival=4s,2219457405427907235,7199.817,0.8326,0.8174,0.8743,0.8409,0.8481,0.8917,783680.9591,0.0,0.0,0.0,2779.0,0.0,0.0,0.0,1.4123,1.4123,,,,,,,,,
default,nodes=16_prio=1_arrival=4s,3848061858430934892,7199.8078,0.8478,0.6645,0.891,0.6767,0.8478,0.891,645958.4145,0.0,0.0,0.0,3051.0,0.0,0.0,0.0,1.5795,1.5795,,,,,,,,,
default,nodes=16_prio=1_arrival=8s,1420052706459400740,7199.7916,0.8615,0.837,0.8804,0.8572,0.8697,0.8914,832149.3187,0.0,0.0,0.0,1364.0,0.0,0.0,0.0,2.8626,2.8626,,,,,,,,,
default,nodes=16_prio=1_arrival=8s,2219457405427907235,7199.8977,0.8365,0.8483,0.8687,0.8692,0.8604,0.8933,795906.3352,0.0,0.0,0.0,1305.0,0.0,0.0,0.0,2.7017,2.7017,,,,,,,,,
default,nodes=16_prio=1_arrival=8s,3848061858430934892,7199.915,0.8471,0.6552,0.8987,0.6734,0.8471,0.8987,658982.9168,0.0,0.0,0.0,1570.0,0.0,0.0,0.0,2.4597,2.4597,,,,,,,,,
default,nodes=16_prio=4_arrival=16s,1420052706459400740,7199.1949,0.8705,0.8232,0.8873,0.8517,0.8727,0.8908,257673.9313,167013.213,210885.7975,158963.0643,419.0,232.0,208.0,151.0,2.0013,7.2019,0.0905,0.0909,0.0933,,,,,,
default,nodes=16_prio=4_arrival=16s,2219457405427907235,7199.9146,0.7662,0.8592,0.7851,0.8932,0.8595,0.8933,215106.6466,223139.5205,98140.5683,100027.7242,474.0,230.0,217.0,156.0,0.7877,2.2811,0.1304,0.1036,0.0679,,,,,,
