job_name,plugin_config,n_seed,T_end_s_mean,delta_cpu_run_util_mean,delta_mem_run_util_mean,delta_util_eff_run_mean,delta_R_p1_mean,delta_R_p2_mean,delta_R_p3_mean,delta_R_p4_mean,delta_R_total_mean,delta_D_p1_mean,delta_D_p2_mean,delta_D_p3_mean,delta_D_p4_mean,delta_D_total_mean,delta_latency_s_p1_mean,delta_latency_s_p2_mean,delta_latency_s_p3_mean,delta_latency_s_p4_mean,delta_latency_s_total_mean,solver_attempts_mean,solver_optimal_mean,solver_feasible_mean,solver_failed_mean,plan_not_applicable_mean,plan_activated_mean
nodes=16_prio=1_arrival=16s,mode=periodic8s_blocking=0_defpreempt=0,3,7199.6302,0.035,0.0168,0.0345,1.4003,0.0,0.0,0.0,1.4003,20.0,,,,20.0,-4.4416,,,,-4.4416,52.0,24.0,4.0,24.0,0.0,28.0
nodes=16_prio=1_arrival=16s,mode=periodic8s_blocking=0_defpreempt=1,3,7199.4107,0.0339,0.0155,0.0333,1.2894,0.0,0.0,0.0,1.2894,27.3333,,,,27.3333,-3.5828,,,,-3.5828,53.6667,23.3333,4.0,26.3333,0.0,27.3333
nodes=16_prio=1_arrival=16s,mode=periodic8s_blocking=1_defpreempt=0,3,7199.3249,0.0343,0.0157,0.0338,1.2974,0.0,0.0,0.0,1.2974,19.6667,,,,19.6667,-3.3926,,,,-3.3926,54.0,24.6667,3.6667,25.6667,0.0,28.3333
nodes=16_prio=1_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,3,7199.3973,0.0345,0.0162,0.034,1.3575,0.0,0.0,0.0,1.3575,35.0,,,,35.0,-4.0233,,,,-4.0233,54.0,26.0,4.0,24.0,0.0,30.0
nodes=16_prio=1_arrival=16s,mode=schedulingfailure_blocking=0_defpreempt=0,3,7199.7092,0.034,0.0152,0.0336,1.1162,0.0,0.0,0.0,1.1162,-11.6667,,,,-11.6667,-2.57,,,,-2.57,119.0,55.0,9.3333,54.6667,0.3333,64.0
nodes=16_prio=1_arrival=16s,mode=stablequeue2s_blocking=0_defpreempt=0,3,7199.5601,0.0355,0.0166,0.0349,1.4067,0.0,0.0,0.0,1.4067,69.6667,,,,69.6667,-4.0078,,,,-4.0078,175.0,36.6667,2.3333,136.0,0.0,39.0
nodes=16_prio=1_arrival=16s,mode=stablequeue2s_blocking=0_defpreempt=1,3,7199.5707,0.0346,0.0165,0.0342,1.3643,0.0,0.0,0.0,1.3643,52.6667,,,,52.6667,-3.5974,,,,-3.5974,155.0,37.6667,2.6667,114.6667,0.0,40.3333
nodes=16_prio=1_arrival=16s,mode=stablequeue2s_blocking=1_defpreempt=0,3,7199.3125,0.0357,0.0176,0.0354,1.4639,0.0,0.0,0.0,1.4639,65.0,,,,65.0,-4.5592,,,,-4.5592,147.3333,33.3333,4.0,110.0,0.0,37.3333
nodes=16_prio=1_arrival=16s,mode=stablequeue2s_blocking=1_defpreempt=1,3,7199.4622,0.0355,0.017,0.0353,1.3861,0.0,0.0,0.0,1.3861,50.3333,,,,50.3333,-3.8263,,,,-3.8263,161.0,38.0,2.0,121.0,0.0,40.0
nodes=16_prio=1_arrival=4s,mode=periodic8s_blocking=0_defpreempt=0,3,7199.5662,0.0186,0.0042,0.0186,0.4857,0.0,0.0,0.0,0.4857,-29.6667,,,,-29.6667,-0.1466,,,,-0.1466,44.6667,29.6667,3.0,12.0,0.0,32.6667
nodes=16_prio=1_arrival=4s,mode=periodic8s_blocking=0_defpreempt=1,3,7199.3847,0.0178,0.0048,0.0181,0.5138,0.0,0.0,0.0,0.5138,-9.0,,,,-9.0,-0.264,,,,-0.264,44.0,28.3333,1.6667,14.0,0.0,30.0
nodes=16_prio=1_arrival=4s,mode=periodic8s_blocking=1_defpreempt=0,3,7199.315,0.0181,0.0042,0.0183,0.4772,0.0,0.0,0.0,0.4772,-62.6667,,,,-62.6667,-0.1758,,,,-0.1758,43.6667,27.0,1.6667,15.0,0.0,28.6667
nodes=16_prio=1_arrival=4s,mode=periodic8s_blocking=1_defpreempt=1,3,7199.3257,0.0167,0.0032,0.0169,0.4053,0.0,0.0,0.0,0.4053,-59.3333,,,,-59.3333,-0.0916,,,,-0.0916,47.0,28.6667,3.0,15.3333,0.0,31.6667
