scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean
default,nodes=16_prio=1_arrival=16s,3,0.0,0.1416,0.1479,0.1429,0.1492,18.6667,0.3333,0.0
default,nodes=16_prio=1_arrival=16s,3,1.0001,0.361,0.2781,0.361,0.2781,45.0,0.0,0.0
default,nodes=16_prio=1_arrival=16s,3,1.0001,0.019,0.0249,0.1609,0.1535,4.0,17.0,0.0
default,nodes=16_prio=1_arrival=16s,3,1.0001,0.2498,0.274,0.2498,0.274,32.0,0.0,0.0
default,nodes=16_prio=1_arrival=16s,3,2.0002,0.4504,0.3194,0.4504,0.3194,55.0,0.0,0.0
default,nodes=16_prio=1_arrival=16s,3,2.0002,0.2475,0.272,0.2475,0.272,31.0,0.0,0.0
default,nodes=16_prio=1_arrival=16s,3,2.0003,0.3334,0.4124,0.3334,0.4124,44.0,0.0,0.0
default,nodes=16_prio=1_arrival=16s,3,3.0003,0.5128,0.3573,0.5128,0.3573,62.0,0.0,0.0
default,nodes=16_prio=1_arrival=16s,3,3.0003,0.3239,0.3264,0.3292,0.3374,38.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,3.0004,0.4348,0.5173,0.4348,0.5173,56.0,0.0,0.0
default,nodes=16_prio=1_arrival=16s,3,4.0004,0.5576,0.409,0.5699,0.4366,68.0,3.0,0.0
default,nodes=16_prio=1_arrival=16s,3,4.0004,0.4264,0.4006,0.4344,0.4052,50.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,4.0005,0.498,0.5833,0.5141,0.5903,65.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,5.0005,0.6746,0.5332,0.6746,0.5332,81.0,0.0,0.0
default,nodes=16_prio=1_arrival=16s,3,5.0005,0.5228,0.488,0.5228,0.488,63.0,0.0,0.0
default,nodes=16_prio=1_arrival=16s,3,5.0006,0.6068,0.7117,0.6068,0.7117,77.0,0.0,0.0
default,nodes=16_prio=1_arrival=16s,3,6.0006,0.6571,0.5412,0.6571,0.5412,75.0,0.0,0.0
default,nodes=16_prio=1_arrival=16s,3,6.0007,0.734,0.5984,0.745,0.6057,90.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,6.0007,0.7057,0.7665,0.7417,0.7819,87.0,2.0,0.0
default,nodes=16_prio=1_arrival=16s,3,7.0007,0.7271,0.6117,0.7917,0.6311,84.0,3.0,0.0
default,nodes=16_prio=1_arrival=16s,3,7.0008,0.8139,0.6766,0.8139,0.6766,99.0,0.0,0.0
default,nodes=16_prio=1_arrival=16s,3,7.0008,0.7636,0.8349,0.7995,0.844,99.0,2.0,0.0
default,nodes=16_prio=1_arrival=16s,3,8.0008,0.7964,0.6838,0.9068,0.7059,93.0,4.0,0.0
default,nodes=16_prio=1_arrival=16s,3,8.0009,0.8058,0.8771,0.835,0.8823,105.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,8.001,0.8499,0.7425,0.8499,0.7425,107.0,0.0,1.0
default,nodes=16_prio=1_arrival=16s,3,9.0009,0.8101,0.695,0.9205,0.7171,95.0,4.0,1.0
default,nodes=16_prio=1_arrival=16s,3,9.0011,0.8499,0.7425,0.8499,0.7425,107.0,0.0,1.0
default,nodes=16_prio=1_arrival=16s,3,9.0011,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,10.001,0.7929,0.6814,0.9032,0.7035,93.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,10.0012,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,10.0012,0.8499,0.7425,0.8499,0.7425,107.0,0.0,1.0
default,nodes=16_prio=1_arrival=16s,3,11.0011,0.7929,0.6814,0.9032,0.7035,93.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,11.0013,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,11.0014,0.8633,0.7559,0.8633,0.7559,110.0,0.0,1.0
default,nodes=16_prio=1_arrival=16s,3,12.0012,0.7929,0.6814,0.9032,0.7035,93.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,12.0014,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,12.0015,0.8672,0.7632,0.8672,0.7632,111.0,0.0,1.0
default,nodes=16_prio=1_arrival=16s,3,13.0013,0.7929,0.6814,0.9032,0.7035,93.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,13.0015,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,13.0016,0.9036,0.7925,0.9036,0.7925,118.0,0.0,1.0
default,nodes=16_prio=1_arrival=16s,3,14.0013,0.7929,0.6814,0.9032,0.7035,93.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,14.0017,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,14.0017,0.9094,0.7964,0.9292,0.8073,119.0,2.0,1.0
default,nodes=16_prio=1_arrival=16s,3,15.0014,0.7929,0.6814,0.9032,0.7035,93.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,15.0018,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,15.0018,0.9064,0.7962,0.9542,0.8057,118.0,3.0,4.0
default,nodes=16_prio=1_arrival=16s,3,16.0016,0.7929,0.6814,0.9032,0.7035,93.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,16.0019,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,16.0019,0.8872,0.7849,0.9351,0.7943,115.0,3.0,7.0
default,nodes=16_prio=1_arrival=16s,3,17.0017,0.7929,0.6814,0.9032,0.7035,93.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,17.002,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,17.002,0.8872,0.7849,0.8872,0.7849,115.0,0.0,7.0
default,nodes=16_prio=1_arrival=16s,3,18.0018,0.7929,0.6814,0.9032,0.7035,93.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,18.0021,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,18.0021,0.8872,0.7849,0.8872,0.7849,115.0,0.0,7.0
default,nodes=16_prio=1_arrival=16s,3,19.0019,0.7929,0.6814,0.9032,0.7035,93.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,19.0022,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,19.0022,0.8872,0.7849,0.8872,0.7849,115.0,0.0,7.0
default,nodes=16_prio=1_arrival=16s,3,20.002,0.7929,0.6814,0.9032,0.7035,93.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,20.0023,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,20.0023,0.8872,0.7849,0.8872,0.7849,115.0,0.0,7.0
default,nodes=16_prio=1_arrival=16s,3,21.002,0.7929,0.6814,0.9032,0.7035,93.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,21.0024,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,21.0024,0.8872,0.7849,0.8872,0.7849,115.0,0.0,7.0
default,nodes=16_prio=1_arrival=16s,3,22.0021,0.7929,0.6814,0.9032,0.7035,93.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,22.0025,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,22.0025,0.8872,0.7849,0.8872,0.7849,115.0,0.0,7.0
default,nodes=16_prio=1_arrival=16s,3,23.0022,0.7929,0.6814,0.9069,0.707,93.0,5.0,3.0
default,nodes=16_prio=1_arrival=16s,3,23.0026,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,23.0026,0.8872,0.7849,0.8872,0.7849,115.0,0.0,7.0
default,nodes=16_prio=1_arrival=16s,3,24.0023,0.8434,0.7316,0.9538,0.7537,100.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,24.0027,0.8872,0.7849,0.8872,0.7849,115.0,0.0,7.0
default,nodes=16_prio=1_arrival=16s,3,24.0027,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,25.0024,0.8434,0.7316,0.9538,0.7537,100.0,4.0,3.0
default,nodes=16_prio=1_arrival=16s,3,25.0028,0.8872,0.7849,0.8872,0.7849,115.0,0.0,7.0
default,nodes=16_prio=1_arrival=16s,3,25.0028,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,26.0025,0.8113,0.6921,0.9217,0.7142,96.0,4.0,7.0
default,nodes=16_prio=1_arrival=16s,3,26.0029,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,26.003,0.8808,0.7747,0.8808,0.7747,114.0,0.0,8.0
default,nodes=16_prio=1_arrival=16s,3,27.0026,0.8113,0.6921,0.9217,0.7142,96.0,4.0,7.0
default,nodes=16_prio=1_arrival=16s,3,27.0031,0.8808,0.7747,0.8808,0.7747,114.0,0.0,8.0
default,nodes=16_prio=1_arrival=16s,3,27.0031,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,28.0027,0.8113,0.6921,0.9217,0.7142,96.0,4.0,7.0
default,nodes=16_prio=1_arrival=16s,3,28.0032,0.8808,0.7747,0.8808,0.7747,114.0,0.0,8.0
default,nodes=16_prio=1_arrival=16s,3,28.0032,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
default,nodes=16_prio=1_arrival=16s,3,29.0029,0.8113,0.6921,0.9217,0.7142,96.0,4.0,7.0
