scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
default,nodes=16_prio=1_arrival=4s,3,0.0,0.1673,0.1645,0.1948,0.2,22.0,4.0,0.0,0.1673,0.2,22.0,0.0
default,nodes=16_prio=1_arrival=4s,3,1.0001,0.2072,0.212,0.2247,0.2239,27.0,1.0,0.0,0.212,0.2247,27.0,0.0
default,nodes=16_prio=1_arrival=4s,3,1.0001,0.3206,0.2604,0.3206,0.2604,41.0,0.0,0.0,0.3206,0.3206,41.0,0.0
default,nodes=16_prio=1_arrival=4s,3,1.0002,0.2864,0.3531,0.2949,0.3723,39.0,1.0,0.0,0.3531,0.3723,39.0,0.0
default,nodes=16_prio=1_arrival=4s,3,2.0002,0.4369,0.3119,0.4369,0.3119,53.0,0.0,0.0,0.4369,0.4369,53.0,0.0
default,nodes=16_prio=1_arrival=4s,3,2.0002,0.3239,0.3264,0.3239,0.3264,38.0,0.0,0.0,0.3264,0.3264,38.0,0.0
default,nodes=16_prio=1_arrival=4s,3,2.0003,0.4073,0.4844,0.4073,0.4844,51.0,0.0,0.0,0.4844,0.4844,51.0,0.0
default,nodes=16_prio=1_arrival=4s,3,3.0003,0.5082,0.3644,0.5082,0.3644,62.0,0.0,0.0,0.5082,0.5082,62.0,0.0
default,nodes=16_prio=1_arrival=4s,3,3.0004,0.4264,0.4006,0.4264,0.4006,50.0,0.0,0.0,0.4264,0.4264,50.0,0.0
default,nodes=16_prio=1_arrival=4s,3,3.0004,0.4814,0.5593,0.4814,0.5593,62.0,0.0,0.0,0.5593,0.5593,62.0,0.0
default,nodes=16_prio=1_arrival=4s,3,4.0004,0.5718,0.4483,0.5718,0.4483,72.0,0.0,1.0,0.5718,0.5718,72.0,1.0
default,nodes=16_prio=1_arrival=4s,3,4.0005,0.4988,0.47,0.5054,0.4754,60.0,1.0,0.0,0.4988,0.5054,60.0,0.0
default,nodes=16_prio=1_arrival=4s,3,4.0005,0.5635,0.6455,0.5668,0.6724,70.0,1.0,0.0,0.6455,0.6724,70.0,0.0
default,nodes=16_prio=1_arrival=4s,3,5.0006,0.6681,0.523,0.6681,0.523,80.0,0.0,1.0,0.6681,0.6681,80.0,1.0
default,nodes=16_prio=1_arrival=4s,3,5.0006,0.5991,0.5244,0.6103,0.5276,71.0,1.0,0.0,0.5991,0.6103,71.0,0.0
default,nodes=16_prio=1_arrival=4s,3,5.0006,0.6668,0.7264,0.6961,0.7315,80.0,1.0,0.0,0.7264,0.7315,80.0,0.0
default,nodes=16_prio=1_arrival=4s,3,6.0007,0.6613,0.5697,0.7491,0.5879,80.0,3.0,0.0,0.6613,0.7491,80.0,0.0
default,nodes=16_prio=1_arrival=4s,3,6.0007,0.722,0.5829,0.722,0.5829,88.0,0.0,1.0,0.722,0.722,88.0,1.0
default,nodes=16_prio=1_arrival=4s,3,6.0007,0.6906,0.7504,0.7199,0.7556,85.0,1.0,0.0,0.7504,0.7556,85.0,0.0
default,nodes=16_prio=1_arrival=4s,3,7.0008,0.7303,0.6582,0.8699,0.6864,88.0,5.0,0.0,0.7303,0.8699,88.0,0.0
default,nodes=16_prio=1_arrival=4s,3,7.0008,0.7885,0.6459,0.7885,0.6459,96.0,0.0,1.0,0.7885,0.7885,96.0,1.0
default,nodes=16_prio=1_arrival=4s,3,7.0009,0.7539,0.823,0.7832,0.8282,97.0,1.0,0.0,0.823,0.8282,97.0,0.0
default,nodes=16_prio=1_arrival=4s,3,8.0008,0.7636,0.6754,0.9032,0.7035,92.0,5.0,0.0,0.7636,0.9032,92.0,0.0
default,nodes=16_prio=1_arrival=4s,3,8.0009,0.8434,0.7324,0.8434,0.7324,106.0,0.0,1.0,0.8434,0.8434,106.0,1.0
default,nodes=16_prio=1_arrival=4s,3,8.001,0.8112,0.8783,0.8461,0.8867,106.0,2.0,0.0,0.8783,0.8867,106.0,0.0
default,nodes=16_prio=1_arrival=4s,3,9.0009,0.7636,0.6754,0.9032,0.7035,92.0,5.0,0.0,0.7636,0.9032,92.0,0.0
default,nodes=16_prio=1_arrival=4s,3,9.001,0.8434,0.7324,0.8434,0.7324,106.0,0.0,1.0,0.8434,0.8434,106.0,1.0
default,nodes=16_prio=1_arrival=4s,3,9.0011,0.842,0.8918,0.8712,0.8969,109.0,1.0,0.0,0.8918,0.8969,109.0,0.0
default,nodes=16_prio=1_arrival=4s,3,10.001,0.7892,0.6698,0.877,0.688,91.0,3.0,3.0,0.7892,0.877,91.0,3.0
default,nodes=16_prio=1_arrival=4s,3,10.0011,0.8692,0.767,0.8692,0.767,112.0,0.0,1.0,0.8692,0.8692,112.0,1.0
default,nodes=16_prio=1_arrival=4s,3,10.0012,0.842,0.8918,0.8712,0.8969,109.0,1.0,0.0,0.8918,0.8969,109.0,0.0
default,nodes=16_prio=1_arrival=4s,3,11.0011,0.8808,0.7747,0.8808,0.7747,114.0,0.0,1.0,0.8808,0.8808,114.0,1.0
default,nodes=16_prio=1_arrival=4s,3,11.0012,0.8128,0.6849,0.9006,0.7031,95.0,3.0,3.0,0.8128,0.9006,95.0,3.0
default,nodes=16_prio=1_arrival=4s,3,11.0013,0.842,0.8918,0.8712,0.8969,109.0,1.0,0.0,0.8918,0.8969,109.0,0.0
default,nodes=16_prio=1_arrival=4s,3,12.0012,0.8521,0.7114,0.9399,0.7296,101.0,3.0,4.0,0.8521,0.9399,101.0,4.0
default,nodes=16_prio=1_arrival=4s,3,12.0012,0.8808,0.7747,0.8808,0.7747,114.0,0.0,1.0,0.8808,0.8808,114.0,1.0
default,nodes=16_prio=1_arrival=4s,3,12.0014,0.842,0.8918,0.8712,0.8969,109.0,1.0,0.0,0.8918,0.8969,109.0,0.0
default,nodes=16_prio=1_arrival=4s,3,13.0013,0.8755,0.7678,0.8755,0.7678,113.0,0.0,2.0,0.8755,0.8755,113.0,2.0
default,nodes=16_prio=1_arrival=4s,3,13.0015,0.8726,0.7187,1.0011,0.7442,103.0,5.0,4.0,0.8726,1.0011,103.0,4.0
default,nodes=16_prio=1_arrival=4s,3,13.0015,0.842,0.8918,0.8712,0.8969,109.0,1.0,0.0,0.8918,0.8969,109.0,0.0
default,nodes=16_prio=1_arrival=4s,3,14.0015,0.8716,0.7601,0.8716,0.7601,112.0,0.0,3.0,0.8716,0.8716,112.0,3.0
default,nodes=16_prio=1_arrival=4s,3,14.0016,0.8946,0.7215,1.0231,0.7469,104.0,5.0,5.0,0.8946,1.0231,104.0,5.0
default,nodes=16_prio=1_arrival=4s,3,14.0017,0.7856,0.8726,0.8148,0.8778,106.0,1.0,3.0,0.8726,0.8778,106.0,3.0
default,nodes=16_prio=1_arrival=4s,3,15.0016,0.8716,0.7601,0.8716,0.7601,112.0,0.0,3.0,0.8716,0.8716,112.0,3.0
default,nodes=16_prio=1_arrival=4s,3,15.0017,0.8539,0.7106,0.9824,0.7361,101.0,5.0,8.0,0.8539,0.9824,101.0,8.0
default,nodes=16_prio=1_arrival=4s,3,15.0018,0.7856,0.8726,0.8148,0.8778,106.0,1.0,3.0,0.8726,0.8778,106.0,3.0
default,nodes=16_prio=1_arrival=4s,3,16.0018,0.8716,0.7601,0.8716,0.7601,112.0,0.0,3.0,0.8716,0.8716,112.0,3.0
default,nodes=16_prio=1_arrival=4s,3,16.0018,0.8611,0.7171,0.9996,0.7563,103.0,6.0,8.0,0.8611,0.9996,103.0,8.0
default,nodes=16_prio=1_arrival=4s,3,16.0019,0.7856,0.8726,0.8148,0.8778,106.0,1.0,3.0,0.8726,0.8778,106.0,3.0
default,nodes=16_prio=1_arrival=4s,3,17.0019,0.8716,0.7601,0.8716,0.7601,112.0,0.0,3.0,0.8716,0.8716,112.0,3.0
default,nodes=16_prio=1_arrival=4s,3,17.0019,0.8711,0.7308,0.9996,0.7563,104.0,5.0,8.0,0.8711,0.9996,104.0,8.0
default,nodes=16_prio=1_arrival=4s,3,17.002,0.7751,0.8659,0.8043,0.871,104.0,1.0,5.0,0.8659,0.871,104.0,5.0
default,nodes=16_prio=1_arrival=4s,3,18.002,0.8571,0.7109,0.9856,0.7364,100.0,5.0,12.0,0.8571,0.9856,100.0,12.0
default,nodes=16_prio=1_arrival=4s,3,18.002,0.8716,0.7601,0.8716,0.7601,112.0,0.0,3.0,0.8716,0.8716,112.0,3.0
default,nodes=16_prio=1_arrival=4s,3,18.0021,0.7751,0.8659,0.8043,0.871,104.0,1.0,5.0,0.8659,0.871,104.0,5.0
default,nodes=16_prio=1_arrival=4s,3,19.0021,0.8936,0.7416,1.0221,0.7671,106.0,5.0,13.0,0.8936,1.0221,106.0,13.0
default,nodes=16_prio=1_arrival=4s,3,19.0021,0.7751,0.8659,0.8043,0.871,104.0,1.0,5.0,0.8659,0.871,104.0,5.0
default,nodes=16_prio=1_arrival=4s,3,19.0022,0.8716,0.7601,0.8716,0.7601,112.0,0.0,3.0,0.8716,0.8716,112.0,3.0
default,nodes=16_prio=1_arrival=4s,3,20.0022,0.8085,0.8873,0.8639,0.8965,109.0,2.0,5.0,0.8873,0.8965,109.0,5.0
default,nodes=16_prio=1_arrival=4s,3,20.0023,0.9506,0.8076,1.0828,0.859,116.0,6.0,13.0,0.9506,1.0828,116.0,13.0
default,nodes=16_prio=1_arrival=4s,3,20.0023,0.8677,0.7527,0.8677,0.7527,111.0,0.0,4.0,0.8677,0.8677,111.0,4.0
default,nodes=16_prio=1_arrival=4s,3,21.0023,0.9668,0.8383,1.1164,0.9062,120.0,9.0,15.0,0.9668,1.1164,120.0,15.0
default,nodes=16_prio=1_arrival=4s,3,21.0024,0.825,0.913,0.8892,0.9559,112.0,4.0,5.0,0.913,0.9559,112.0,5.0
default,nodes=16_prio=1_arrival=4s,3,21.0024,0.8677,0.7527,0.8677,0.7527,111.0,0.0,4.0,0.8677,0.8677,111.0,4.0
default,nodes=16_prio=1_arrival=4s,3,22.0024,0.9668,0.8383,1.1822,0.9463,120.0,14.0,15.0,0.9668,1.1822,120.0,15.0
default,nodes=16_prio=1_arrival=4s,3,22.0024,0.8369,0.9209,0.8848,0.9977,114.0,6.0,5.0,0.9209,0.9977,114.0,5.0
default,nodes=16_prio=1_arrival=4s,3,22.0025,0.8677,0.7527,0.8677,0.7527,111.0,0.0,4.0,0.8677,0.8677,111.0,4.0
default,nodes=16_prio=1_arrival=4s,3,23.0025,0.8369,0.9209,0.8848,0.9977,114.0,6.0,5.0,0.9209,0.9977,114.0,5.0
default,nodes=16_prio=1_arrival=4s,3,23.0025,0.9522,0.8455,1.1488,0.9205,118.0,10.0,19.0,0.9522,1.1488,118.0,19.0
default,nodes=16_prio=1_arrival=4s,3,23.0026,0.8411,0.7375,0.8411,0.7375,109.0,0.0,6.0,0.8411,0.8411,109.0,6.0
default,nodes=16_prio=1_arrival=4s,3,24.0026,0.9313,0.8443,1.1154,0.9029,115.0,8.0,24.0,0.9313,1.1154,115.0,24.0
default,nodes=16_prio=1_arrival=4s,3,24.0027,0.7966,0.89,0.8312,0.9169,108.0,2.0,12.0,0.89,0.9169,108.0,12.0
default,nodes=16_prio=1_arrival=4s,3,24.0027,0.8411,0.7375,0.8411,0.7375,109.0,0.0,6.0,0.8411,0.8411,109.0,6.0
default,nodes=16_prio=1_arrival=4s,3,25.0027,0.9277,0.8184,1.1082,0.8511,114.0,7.0,25.0,0.9277,1.1082,114.0,25.0
default,nodes=16_prio=1_arrival=4s,3,25.0028,0.7714,0.8798,0.8061,0.9067,106.0,2.0,14.0,0.8798,0.9067,106.0,14.0
default,nodes=16_prio=1_arrival=4s,3,25.0028,0.8411,0.7375,0.8411,0.7375,109.0,0.0,6.0,0.8411,0.8411,109.0,6.0
default,nodes=16_prio=1_arrival=4s,3,26.0029,0.9277,0.8184,1.1082,0.8511,114.0,7.0,25.0,0.9277,1.1082,114.0,25.0
default,nodes=16_prio=1_arrival=4s,3,26.0029,0.7714,0.8798,0.8061,0.9067,106.0,2.0,14.0,0.8798,0.9067,106.0,14.0
default,nodes=16_prio=1_arrival=4s,3,26.0029,0.8411,0.7375,0.8411,0.7375,109.0,0.0,6.0,0.8411,0.8411,109.0,6.0
default,nodes=16_prio=1_arrival=4s,3,27.003,0.7714,0.8798,0.8061,0.9067,106.0,2.0,14.0,0.8798,0.9067,106.0,14.0
default,nodes=16_prio=1_arrival=4s,3,27.003,0.8284,0.725,0.8284,0.725,106.0,0.0,9.0,0.8284,0.8284,106.0,9.0
default,nodes=16_prio=1_arrival=4s,3,27.0031,0.9277,0.8184,1.1082,0.8511,114.0,7.0,25.0,0.9277,1.1082,114.0,25.0
default,nodes=16_prio=1_arrival=4s,3,28.0031,0.7714,0.8798,0.8061,0.9067,106.0,2.0,14.0,0.8798,0.9067,106.0,14.0
default,nodes=16_prio=1_arrival=4s,3,28.0031,0.8284,0.725,0.8284,0.725,106.0,0.0,9.0,0.8284,0.8284,106.0,9.0
default,nodes=16_prio=1_arrival=4s,3,28.0032,0.9068,0.8116,1.0873,0.8443,112.0,7.0,27.0,0.9068,1.0873,112.0,27.0
default,nodes=16_prio=1_arrival=4s,3,29.0032,0.7714,0.8798,0.8061,0.9067,106.0,2.0,14.0,0.8798,0.9067,106.0,14.0
default,nodes=16_prio=1_arrival=4s,3,29.0032,0.8318,0.7293,0.8318,0.7293,107.0,0.0,9.0,0.8318,0.8318,107.0,9.0
default,nodes=16_prio=1_arrival=4s,3,29.0032,0.9068,0.8116,1.0873,0.8443,112.0,7.0,27.0,0.9068,1.0873,112.0,27.0
default,nodes=16_prio=1_arrival=4s,3,30.0033,0.7714,0.8798,0.8061,0.9067,106.0,2.0,14.0,0.8798,0.9067,106.0,14.0
default,nodes=16_prio=1_arrival=4s,3,30.0034,0.8318,0.7293,0.8318,0.7293,107.0,0.0,9.0,0.8318,0.8318,107.0,9.0
default,nodes=16_prio=1_arrival=4s,3,30.0034,0.8914,0.8038,1.0719,0.8365,110.0,7.0,29.0,0.8914,1.0719,110.0,29.0
default,nodes=16_prio=1_arrival=4s,3,31.0034,0.7669,0.8755,0.8016,0.9024,105.0,2.0,15.0,0.8755,0.9024,105.0,15.0
default,nodes=16_prio=1_arrival=4s,3,31.0034,0.8401,0.7397,0.8401,0.7397,109.0,0.0,9.0,0.8401,0.8401,109.0,9.0
default,nodes=16_prio=1_arrival=4s,3,31.0035,0.8914,0.8038,1.0719,0.8365,110.0,7.0,29.0,0.8914,1.0719,110.0,29.0
default,nodes=16_prio=1_arrival=4s,3,32.0035,0.7669,0.8755,0.8016,0.9024,105.0,2.0,15.0,0.8755,0.9024,105.0,15.0
default,nodes=16_prio=1_arrival=4s,3,32.0035,0.8811,0.817,0.9872,0.8398,118.0,5.0,10.0,0.8811,0.9872,118.0,10.0
default,nodes=16_prio=1_arrival=4s,3,32.0036,0.8618,0.7814,1.0423,0.8141,107.0,7.0,32.0,0.8618,1.0423,107.0,32.0
default,nodes=16_prio=1_arrival=4s,3,33.0036,0.902,0.8399,1.101,0.9084,123.0,9.0,10.0,0.902,1.101,123.0,10.0
default,nodes=16_prio=1_arrival=4s,3,33.0037,0.7636,0.8636,0.7982,0.8905,104.0,2.0,16.0,0.8636,0.8905,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,33.0037,0.8608,0.778,1.0209,0.8071,106.0,6.0,34.0,0.8608,1.0209,106.0,34.0
default,nodes=16_prio=1_arrival=4s,3,34.0037,0.8821,0.8218,0.9706,0.8496,119.0,4.0,14.0,0.8821,0.9706,119.0,14.0
default,nodes=16_prio=1_arrival=4s,3,34.0038,0.8505,0.7679,1.0106,0.7969,103.0,6.0,37.0,0.8505,1.0106,103.0,37.0
default,nodes=16_prio=1_arrival=4s,3,34.0038,0.7636,0.8636,0.7982,0.8905,104.0,2.0,16.0,0.8636,0.8905,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,35.0038,0.8779,0.8119,0.9595,0.8231,117.0,3.0,17.0,0.8779,0.9595,117.0,17.0
default,nodes=16_prio=1_arrival=4s,3,35.0039,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,35.0039,0.8505,0.7679,1.0106,0.7969,103.0,6.0,37.0,0.8505,1.0106,103.0,37.0
default,nodes=16_prio=1_arrival=4s,3,36.0039,0.8711,0.7952,0.9526,0.8064,116.0,3.0,18.0,0.8711,0.9526,116.0,18.0
default,nodes=16_prio=1_arrival=4s,3,36.004,0.8505,0.7679,1.0106,0.7969,103.0,6.0,37.0,0.8505,1.0106,103.0,37.0
default,nodes=16_prio=1_arrival=4s,3,36.004,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,37.004,0.8636,0.7856,0.9451,0.7968,115.0,3.0,19.0,0.8636,0.9451,115.0,19.0
default,nodes=16_prio=1_arrival=4s,3,37.0041,0.8616,0.7742,1.0218,0.8032,105.0,6.0,37.0,0.8616,1.0218,105.0,37.0
default,nodes=16_prio=1_arrival=4s,3,37.0042,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,38.0041,0.8636,0.7856,0.9451,0.7968,115.0,3.0,19.0,0.8636,0.9451,115.0,19.0
default,nodes=16_prio=1_arrival=4s,3,38.0042,0.8616,0.7742,1.0218,0.8032,105.0,6.0,37.0,0.8616,1.0218,105.0,37.0
default,nodes=16_prio=1_arrival=4s,3,38.0043,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,39.0043,0.8636,0.7856,0.9451,0.7968,115.0,3.0,19.0,0.8636,0.9451,115.0,19.0
default,nodes=16_prio=1_arrival=4s,3,39.0043,0.8616,0.7742,1.0218,0.8032,105.0,6.0,37.0,0.8616,1.0218,105.0,37.0
default,nodes=16_prio=1_arrival=4s,3,39.0044,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,40.0044,0.8636,0.7856,0.9451,0.7968,115.0,3.0,19.0,0.8636,0.9451,115.0,19.0
default,nodes=16_prio=1_arrival=4s,3,40.0044,0.8616,0.7742,1.0218,0.8032,105.0,6.0,37.0,0.8616,1.0218,105.0,37.0
default,nodes=16_prio=1_arrival=4s,3,40.0046,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,41.0045,0.8616,0.7742,1.0218,0.8032,105.0,6.0,37.0,0.8616,1.0218,105.0,37.0
default,nodes=16_prio=1_arrival=4s,3,41.0046,0.8636,0.7856,0.9451,0.7968,115.0,3.0,19.0,0.8636,0.9451,115.0,19.0
default,nodes=16_prio=1_arrival=4s,3,41.0047,0.7636,0.8636,0.7928,0.8687,104.0,1.0,16.0,0.8636,0.8687,104.0,16.0
default,nodes=16_prio=1_arrival=4s,3,42.0045,0.8616,0.7742,1.0218,0.8032,105.0,6.0,37.0,0.8616,1.0218,105.0,37.0
