scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
default,nodes=16_prio=4_arrival=4s,3,0.0,0.1371,0.1689,0.1425,0.175,10.0,4.3333,2.3333,1.6667,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,1.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,1.0001,0.2571,0.3146,0.2571,0.3146,12.0,13.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,1.0001,0.3029,0.3357,0.3029,0.3357,18.0,11.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,2.0002,0.2399,0.2309,0.2399,0.2309,9.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,2.0002,0.3892,0.4128,0.3892,0.4128,23.0,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,2.0002,0.3519,0.3902,0.3708,0.395,17.0,15.0,13.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,3.0003,0.4543,0.477,0.4709,0.4801,18.0,18.0,17.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,3.0003,0.4303,0.4006,0.4303,0.4006,15.0,13.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,3.0003,0.5071,0.4976,0.5108,0.5026,26.0,14.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
