scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
default,nodes=32_prio=4_arrival=16s,3,0.0,0.2539,0.2584,0.2539,0.2584,20.6667,15.3333,13.0,7.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2584,0.2584,56.6667,0.0
default,nodes=32_prio=4_arrival=16s,3,1.0001,0.2967,0.3534,0.2967,0.3534,21.0,18.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534,0.3534,59.0,0.0
default,nodes=32_prio=4_arrival=16s,3,1.0001,0.2554,0.2513,0.2554,0.2513,27.0,14.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2554,0.2554,60.0,0.0
default,nodes=32_prio=4_arrival=16s,3,1.0001,0.2921,0.3221,0.2959,0.3248,23.0,22.0,19.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3221,0.3248,77.0,0.0
default,nodes=32_prio=4_arrival=16s,3,2.0002,0.316,0.3137,0.316,0.3137,32.0,15.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316,0.316,71.0,0.0
default,nodes=32_prio=4_arrival=16s,3,2.0002,0.3347,0.352,0.34,0.3548,26.0,25.0,23.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.352,0.3548,89.0,0.0
default,nodes=32_prio=4_arrival=16s,3,2.0003,0.3311,0.4364,0.3336,0.439,22.0,20.0,11.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4364,0.439,67.0,0.0
default,nodes=32_prio=4_arrival=16s,3,3.0003,0.3723,0.3427,0.3839,0.3447,36.0,19.0,15.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.3839,80.0,0.0
default,nodes=32_prio=4_arrival=16s,3,3.0003,0.3922,0.4849,0.3948,0.4866,27.0,24.0,11.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4849,0.4866,77.0,0.0
default,nodes=32_prio=4_arrival=16s,3,3.0004,0.3626,0.4044,0.3648,0.4173,28.0,27.0,27.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4044,0.4173,99.0,0.0
