scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
default,nodes=32_prio=4_arrival=8s,3,0.0,0.2269,0.239,0.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3362,0.07,0.0671,0.0692,0.7964
default,nodes=32_prio=4_arrival=8s,3,1.0001,0.2983,0.3668,0.3668,21.0027,18.0023,8.001,13.0017,60.0076,0.0,0.0,0.0,0.0,0.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,1.0001,0.2304,0.2243,0.2304,24.0031,13.0017,12.0015,3.0004,52.0067,0.0,0.0,0.0,0.0,0.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,1.0002,0.2665,0.2864,0.2864,20.0033,20.0033,19.0031,12.002,71.0116,0.0,0.0,0.0,0.0,0.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,2.0002,0.261,0.2611,0.2611,51.0054,27.0029,27.0028,9.0009,114.0119,0.0,0.0,0.0,0.0,0.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,2.0002,0.3293,0.4218,0.4218,43.0054,38.0047,18.0022,27.0034,126.0157,0.0,0.0,0.0,0.0,0.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,2.0003,0.3144,0.3329,0.3329,45.0062,43.006,40.0056,25.0035,153.0212,0.0,0.0,0.0,0.0,0.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,3.0003,0.3325,0.3195,0.3325,85.009,43.0046,42.0044,18.0019,188.0198,0.0,0.0,0.0,0.0,0.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,3.0003,0.3538,0.4679,0.4679,68.0075,60.0066,29.0032,42.0046,199.022,0.0,0.0,0.0,0.0,0.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,3.0004,0.3522,0.3757,0.3757,73.0088,69.0084,63.0077,42.0051,247.0301,0.0,0.0,0.0,0.0,0.0,2.6318,0.0853,0.073,0.0821,0.8747
