scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,0.0,0.0771,0.066,0.087,0.0788,9.6667,1.3333,0.0,0.0771,0.087,9.6667,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,1.0001,0.1873,0.2394,0.1873,0.2394,26.0,0.0,0.0,0.2394,0.2394,26.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,1.0001,0.1775,0.1718,0.2072,0.212,24.0,3.0,0.0,0.1775,0.212,24.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,1.0002,0.3094,0.2451,0.3094,0.2451,38.0,0.0,0.0,0.3094,0.3094,38.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,2.0002,0.2917,0.3071,0.3204,0.3158,36.0,1.0,0.0,0.3071,0.3204,36.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,2.0002,0.2779,0.334,0.2899,0.3388,38.0,1.0,0.0,0.334,0.3388,38.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,2.0003,0.4046,0.297,0.4111,0.3006,49.0,1.0,0.0,0.4046,0.4111,49.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,3.0003,0.4118,0.3837,0.4199,0.3882,47.0,1.0,0.0,0.4118,0.4199,47.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,3.0003,0.4073,0.4844,0.4073,0.4844,51.0,0.0,0.0,0.4844,0.4844,51.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,3.0004,0.4921,0.3474,0.5018,0.3542,60.0,1.0,0.0,0.4921,0.5018,60.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,4.0004,0.4912,0.4582,0.4912,0.4582,58.0,0.0,0.0,0.4912,0.4912,58.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,4.0004,0.4814,0.5593,0.4814,0.5593,62.0,0.0,0.0,0.5593,0.5593,62.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,4.0005,0.5612,0.4191,0.5648,0.4293,69.0,1.0,0.0,0.5612,0.5648,69.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,5.0005,0.5991,0.5244,0.5991,0.5244,71.0,0.0,0.0,0.5991,0.5991,71.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,5.0006,0.5823,0.6535,0.5823,0.6535,71.0,0.0,0.0,0.6535,0.6535,71.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,5.0006,0.6629,0.5264,0.6844,0.5374,81.0,1.0,0.0,0.6629,0.6844,81.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,6.0006,0.6613,0.5697,0.7491,0.5879,80.0,3.0,0.0,0.6613,0.7491,80.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,6.0008,0.7032,0.738,0.7082,0.7431,82.0,1.0,0.0,0.738,0.7431,82.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,6.0008,0.734,0.5984,0.734,0.5984,90.0,0.0,0.0,0.734,0.734,90.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,7.0007,0.7116,0.6463,0.8619,0.678,86.0,6.0,0.0,0.7116,0.8619,86.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,7.0008,0.7636,0.8127,0.7636,0.8127,94.0,0.0,0.0,0.8127,0.8127,94.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,7.0009,0.7733,0.6466,0.791,0.6507,95.0,1.0,0.0,0.7733,0.791,95.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,8.0008,0.7636,0.6754,0.9032,0.7035,92.0,5.0,0.0,0.7636,0.9032,92.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,8.001,0.8258,0.8701,0.835,0.8823,105.0,1.0,0.0,0.8701,0.8823,105.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,8.001,0.8431,0.7286,0.8499,0.7425,106.0,1.0,0.0,0.8431,0.8499,106.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,9.0009,0.7636,0.6754,0.9032,0.7035,92.0,5.0,0.0,0.7636,0.9032,92.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,9.0011,0.8554,0.885,0.8772,0.9023,109.0,2.0,0.0,0.885,0.9023,109.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,9.0011,0.8499,0.7425,0.8499,0.7425,107.0,0.0,0.0,0.8499,0.8499,107.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,10.0009,0.7636,0.6754,0.9032,0.7035,92.0,5.0,0.0,0.7636,0.9032,92.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,10.0012,0.8554,0.885,0.8772,0.9023,109.0,2.0,0.0,0.885,0.9023,109.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,10.0012,0.8499,0.7425,0.8499,0.7425,107.0,0.0,0.0,0.8499,0.8499,107.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,11.001,0.7636,0.6754,0.9032,0.7035,92.0,5.0,0.0,0.7636,0.9032,92.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,11.0013,0.8554,0.885,0.8772,0.9023,109.0,2.0,0.0,0.885,0.9023,109.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,11.0013,0.8653,0.7592,0.8653,0.7592,111.0,0.0,1.0,0.8653,0.8653,111.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,12.0011,0.8015,0.7209,0.9411,0.7491,98.0,5.0,0.0,0.8015,0.9411,98.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,12.0014,0.8554,0.885,0.8772,0.9023,109.0,2.0,0.0,0.885,0.9023,109.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,12.0014,0.8808,0.7747,0.8808,0.7747,114.0,0.0,1.0,0.8808,0.8808,114.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,13.0012,0.8142,0.7255,0.9538,0.7537,99.0,5.0,0.0,0.8142,0.9538,99.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,13.0015,0.8554,0.885,0.8772,0.9023,109.0,2.0,0.0,0.885,0.9023,109.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,13.0015,0.8808,0.7747,0.8808,0.7747,114.0,0.0,1.0,0.8808,0.8808,114.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,14.0013,0.7872,0.6904,0.9268,0.7186,96.0,5.0,3.0,0.7872,0.9268,96.0,3.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,14.0016,0.8554,0.885,0.8772,0.9023,109.0,2.0,0.0,0.885,0.9023,109.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,14.0016,0.8808,0.7747,0.8808,0.7747,114.0,0.0,1.0,0.8808,0.8808,114.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,15.0014,0.7872,0.6904,0.9268,0.7186,96.0,5.0,3.0,0.7872,0.9268,96.0,3.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,15.0017,0.8587,0.8918,0.8712,0.8969,109.0,1.0,1.0,0.8918,0.8969,109.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,15.0017,0.8808,0.7747,0.8808,0.7747,114.0,0.0,1.0,0.8808,0.8808,114.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,16.0015,0.7872,0.6904,0.9268,0.7186,96.0,5.0,3.0,0.7872,0.9268,96.0,3.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,16.0018,0.8587,0.8918,0.8712,0.8969,109.0,1.0,1.0,0.8918,0.8969,109.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,16.0018,0.8808,0.7747,0.8808,0.7747,114.0,0.0,1.0,0.8808,0.8808,114.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,17.0016,0.7872,0.6904,0.9268,0.7186,96.0,5.0,3.0,0.7872,0.9268,96.0,3.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,17.0019,0.8808,0.7747,0.8808,0.7747,114.0,0.0,1.0,0.8808,0.8808,114.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,17.0019,0.8587,0.8918,0.8712,0.8969,109.0,1.0,1.0,0.8918,0.8969,109.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,18.0017,0.7872,0.6904,0.9268,0.7186,96.0,5.0,3.0,0.7872,0.9268,96.0,3.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,18.002,0.8808,0.7747,0.8808,0.7747,114.0,0.0,1.0,0.8808,0.8808,114.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,18.002,0.8587,0.8918,0.8712,0.8969,109.0,1.0,1.0,0.8918,0.8969,109.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,19.0019,0.909,0.7096,0.909,0.7096,99.0,0.0,10.0,0.909,0.909,99.0,10.0
