scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,0.0,0.2496,0.2531,0.2496,0.2531,20.3333,15.3333,12.3333,7.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2531,0.2531,55.3333,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,1.0001,0.2999,0.3803,0.2999,0.3803,21.0,18.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3803,0.3803,61.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,1.0001,0.2765,0.3,0.282,0.3121,22.0,20.0,19.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3121,73.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,1.0001,0.2554,0.2513,0.2554,0.2513,27.0,14.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2554,0.2554,60.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,2.0002,0.3336,0.439,0.3336,0.439,23.0,20.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,0.439,68.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,2.0002,0.316,0.3137,0.316,0.3137,32.0,15.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316,0.316,71.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,2.0003,0.3221,0.3427,0.3246,0.3445,26.0,23.0,21.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3427,0.3445,84.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,3.0003,0.3973,0.4949,0.4013,0.4996,29.0,24.0,11.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4949,0.4996,79.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,3.0003,0.3723,0.3427,0.3723,0.3427,36.0,19.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.3723,80.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,3.0003,0.3559,0.3929,0.3577,0.3949,28.0,26.0,25.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3929,0.3949,96.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,4.0004,0.4507,0.5413,0.4507,0.5413,35.0,26.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5413,0.5413,91.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,4.0004,0.4005,0.4441,0.4127,0.446,28.0,29.0,32.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4441,0.446,108.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,4.0005,0.4427,0.3673,0.4427,0.3673,38.0,20.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4427,0.4427,92.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,5.0005,0.5298,0.5736,0.5298,0.5736,36.0,31.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5736,0.5736,102.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,5.0005,0.471,0.474,0.471,0.474,30.0,33.0,35.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.474,119.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,5.0006,0.5025,0.4294,0.5025,0.4294,39.0,25.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5025,0.5025,101.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,6.0006,0.5825,0.6276,0.5825,0.6276,40.0,38.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6276,0.6276,114.0,0.0
