scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,0,0.0755,0.0866,0.1502,0.1434,10.0,8.3333,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,1,0.229,0.2355,0.2401,0.245,30.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,2,0.3293,0.3429,0.3306,0.344,42.0,0.3333,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,3,0.4179,0.4049,0.4179,0.4049,51.6667,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,4,0.5052,0.4687,0.5067,0.4737,60.6667,0.3333,0.3333
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,5,0.5742,0.5502,0.5742,0.5502,71.0,0.0,0.3333
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,6,0.6883,0.6229,0.698,0.6249,82.3333,0.3333,0.3333
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,7,0.7542,0.6923,0.7834,0.6984,92.0,1.0,0.3333
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,8,0.8127,0.7489,0.8592,0.7583,101.0,1.6667,0.3333
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,9,0.8219,0.7665,0.8726,0.7776,102.3333,2.0,0.3333
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,10,0.8349,0.7691,0.8684,0.7769,103.0,1.3333,1.3333
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,11,0.8488,0.7825,0.8823,0.7903,105.6667,1.3333,1.3333
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,12,0.8465,0.7823,0.88,0.7901,105.6667,1.3333,1.6667
