scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,running_p2_mean,unsched_p2_mean,deletions_cum_p2_mean,running_p3_mean,unsched_p3_mean,deletions_cum_p3_mean,running_p4_mean,unsched_p4_mean,deletions_cum_p4_mean
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,0,0.2064,0.2096,0.207,0.2109,18.0,0.3333,0.0,13.6667,0.0,0.0,9.0,0.0,0.0,5.6667,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,1,0.2402,0.2544,0.2417,0.2568,20.6667,0.0,0.0,15.3333,0.0,0.0,11.6667,0.3333,0.0,7.6667,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,2,0.2896,0.3275,0.2905,0.329,24.0,0.0,0.0,18.3333,0.0,0.0,14.0,0.0,0.0,10.6667,0.3333,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,3,0.3277,0.3626,0.3318,0.3687,27.0,0.0,0.0,20.0,0.3333,0.0,16.3333,0.0,0.0,12.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,4,0.3803,0.418,0.3812,0.4194,31.3333,0.0,0.0,23.3333,0.3333,0.0,17.6667,0.0,0.0,14.3333,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,5,0.4301,0.452,0.4301,0.452,34.0,0.0,0.0,24.6667,0.0,0.0,20.6667,0.0,0.0,17.6667,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,6,0.4963,0.4917,0.5007,0.4942,35.0,0.3333,0.0,29.6667,0.0,0.0,23.3333,0.3333,0.0,19.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,7,0.5389,0.5246,0.5406,0.5267,38.3333,0.3333,0.0,33.3333,0.0,0.0,25.3333,0.0,0.0,19.6667,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,8,0.5726,0.5698,0.5726,0.5698,43.0,0.0,0.0,34.6667,0.0,0.0,28.6667,0.0,0.0,22.3333,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,9,0.6064,0.5982,0.6071,0.5988,46.0,0.0,0.0,39.0,0.0,0.0,30.0,0.0,0.0,23.6667,0.3333,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,10,0.6534,0.6267,0.6534,0.6267,48.0,0.0,1.0,41.0,0.0,0.0,31.6667,0.0,0.0,26.3333,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,11,0.6838,0.6568,0.6838,0.6568,52.3333,0.0,1.0,42.0,0.0,0.0,36.0,0.0,0.0,27.0,0.0,0.6667
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,12,0.7118,0.7004,0.7155,0.7117,56.3333,1.0,1.0,44.0,0.0,0.0,38.3333,0.0,0.0,28.3333,0.0,0.6667
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,13,0.741,0.7234,0.7483,0.7371,56.3333,1.0,2.0,46.0,0.3333,0.0,41.0,0.0,0.0,31.0,0.3333,0.6667
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,14,0.78,0.7472,0.7846,0.7611,58.3333,1.3333,3.3333,48.0,0.0,0.0,42.0,0.0,0.0,33.3333,0.0,0.6667
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,15,0.801,0.7682,0.8113,0.7949,61.6667,2.0,3.3333,48.6667,0.0,0.0,42.3333,0.3333,0.0,35.0,0.0,0.6667
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,16,0.8193,0.788,0.8284,0.8106,63.3333,2.0,4.3333,49.6667,0.0,0.0,44.0,0.0,0.0,35.0,0.0,0.6667
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,17,0.8287,0.7858,0.8378,0.8084,61.6667,2.0,6.3333,50.3333,0.0,0.0,45.6667,0.0,0.0,35.0,0.0,0.6667
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,18,0.8348,0.7908,0.8507,0.8146,61.6667,2.6667,6.3333,51.6667,0.0,0.0,46.0,0.0,0.0,35.0,0.0,0.6667
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,19,0.8347,0.7913,0.8535,0.8177,61.0,3.0,7.3333,53.3333,0.0,0.0,46.0,0.0,0.0,35.0,0.0,0.6667
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,20,0.8404,0.7987,0.8609,0.8275,62.6667,3.3333,7.3333,53.3333,0.0,0.0,46.0,0.0,0.0,35.0,0.0,0.6667
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,21,0.8534,0.8117,0.8722,0.838,66.0,3.0,7.3333,53.3333,0.0,0.0,46.3333,0.0,0.0,35.0,0.0,0.6667
