scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,0.0,0.1393,0.1246,0.1438,0.1257,18.0,0.3333,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,1.0001,0.3094,0.2451,0.3094,0.2451,38.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,1.0001,0.2553,0.2866,0.2553,0.2866,33.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,1.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,2.0002,0.3696,0.3618,0.3696,0.3618,43.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,2.0002,0.4111,0.3006,0.4111,0.3006,50.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,2.0003,0.1599,0.2291,0.1599,0.2291,24.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,3.0003,0.4655,0.4341,0.4692,0.44,55.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,3.0003,0.5018,0.3542,0.5018,0.3542,61.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,3.0004,0.2703,0.3142,0.2736,0.3195,36.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,4.0004,0.5628,0.5082,0.5628,0.5082,67.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,4.0004,0.5681,0.4438,0.5681,0.4438,71.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,4.0005,0.37,0.4747,0.3784,0.4778,48.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,5.0005,0.6,0.4957,0.6,0.4957,77.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,5.0005,0.6545,0.5619,0.713,0.574,78.0,2.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,5.0006,0.4689,0.5382,0.475,0.5444,59.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,6.0006,0.6978,0.6056,0.7856,0.6238,83.0,3.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,6.0006,0.7131,0.5872,0.7131,0.5872,88.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,6.0007,0.5652,0.6473,0.5652,0.6473,70.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,7.0007,0.7196,0.6547,0.8592,0.6828,87.0,5.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,7.0007,0.7848,0.6475,0.7848,0.6475,95.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,7.0008,0.6447,0.7277,0.6447,0.7277,80.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,8.0007,0.7722,0.6822,0.9119,0.7103,93.0,5.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,8.0009,0.8251,0.6997,0.8326,0.7144,103.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,8.001,0.7267,0.7982,0.7559,0.8033,91.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,9.0009,0.7895,0.6958,0.9291,0.7239,95.0,5.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,9.001,0.8499,0.7425,0.8499,0.7425,107.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,9.0011,0.7839,0.856,0.8132,0.8612,102.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,10.001,0.7636,0.6754,0.9032,0.7035,92.0,5.0,3.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,10.0011,0.8499,0.7425,0.8499,0.7425,107.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,10.0013,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,11.001,0.7636,0.6754,0.9032,0.7035,92.0,5.0,3.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,11.0013,0.8499,0.7425,0.8499,0.7425,107.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,11.0014,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,12.0011,0.7636,0.6754,0.9032,0.7035,92.0,5.0,3.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,12.0014,0.8633,0.7559,0.8633,0.7559,110.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,12.0015,0.8479,0.8971,0.8772,0.9023,110.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,13.0012,0.7636,0.6754,0.9032,0.7035,92.0,5.0,3.0
