scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,running_p2_mean,unsched_p2_mean,deletions_cum_p2_mean,running_p3_mean,unsched_p3_mean,deletions_cum_p3_mean,running_p4_mean,unsched_p4_mean,deletions_cum_p4_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,0,0.0719,0.0865,0.0873,0.0977,4.0,1.0,0.0,3.3333,0.0,0.0,1.6667,0.3333,0.0,1.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,1,0.1613,0.1944,0.163,0.1971,10.3333,0.0,0.0,5.6667,0.0,0.0,4.3333,0.3333,0.0,2.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,2,0.3445,0.3494,0.3534,0.3589,15.3333,0.3333,0.0,12.3333,0.3333,0.0,7.3333,0.0,0.0,4.0,0.3333,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,3,0.4549,0.4515,0.4625,0.4629,19.3333,0.3333,0.0,14.3333,0.3333,0.0,11.3333,0.3333,0.0,5.6667,0.3333,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,4,0.5496,0.5659,0.5519,0.5682,23.3333,0.0,0.0,17.0,0.0,0.0,13.3333,0.0,0.0,8.3333,0.3333,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,5,0.6179,0.6773,0.6271,0.6866,26.3333,0.0,0.0,18.6667,0.3333,0.0,14.3333,0.3333,0.0,11.3333,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,6,0.6944,0.7387,0.7154,0.7664,29.0,0.6667,0.0,21.0,0.3333,0.0,15.6667,1.0,0.0,13.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,7,0.703,0.7433,0.7651,0.8192,29.3333,1.6667,0.0,20.6667,1.6667,0.6667,16.3333,3.0,0.0,13.3333,1.6667,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,8,0.7181,0.7671,0.7916,0.8279,30.3333,0.3333,0.3333,21.0,1.3333,0.6667,17.0,3.3333,0.0,13.3333,3.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,9,0.7477,0.8065,0.8212,0.8445,29.6667,1.6667,1.3333,22.0,2.0,0.6667,19.0,2.0,0.0,15.3333,1.0,0.0
