scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,0,0.211,0.1998,0.2117,0.2023,51.6667,0.3333,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,1,0.2544,0.2392,0.2557,0.2409,62.6667,0.3333,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,2,0.2969,0.2831,0.2977,0.2846,72.6667,0.3333,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,3,0.3422,0.3201,0.3422,0.3201,83.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,4,0.3898,0.3495,0.391,0.3531,93.0,0.3333,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,5,0.4333,0.392,0.4361,0.3934,103.3333,0.6667,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,6,0.4751,0.4359,0.4751,0.4359,114.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,7,0.5232,0.4703,0.5232,0.4703,123.6667,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,8,0.5771,0.5128,0.5771,0.5128,134.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,9,0.6068,0.5617,0.6075,0.5626,144.3333,0.3333,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,10,0.6388,0.5924,0.6388,0.5924,154.3333,0.0,0.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,11,0.6845,0.6357,0.6845,0.6357,164.6667,0.0,0.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,12,0.7004,0.6504,0.7373,0.6743,169.0,6.3333,0.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,13,0.711,0.6582,0.7729,0.7084,172.0,13.0,0.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,14,0.7269,0.6674,0.8199,0.7547,176.0,20.6667,0.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,15,0.7359,0.6799,0.8578,0.7988,179.3333,27.3333,0.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,16,0.7543,0.7024,0.8695,0.8127,184.3333,26.3333,0.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,17,0.7883,0.7404,0.8719,0.817,194.3333,17.6667,1.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,18,0.8182,0.7626,0.8727,0.8183,200.0,12.3333,1.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,19,0.8182,0.7626,0.8763,0.8221,200.0,14.0,1.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,20,0.8188,0.7632,0.8828,0.8279,200.3333,16.0,1.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,21,0.8281,0.7709,0.889,0.8287,203.0,14.0,1.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,22,0.835,0.7785,0.8996,0.8351,206.0,14.0,1.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,23,0.835,0.7785,0.9036,0.8363,206.0,14.6667,1.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,24,0.8366,0.7796,0.9033,0.8355,206.3333,13.6667,1.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,25,0.8378,0.7808,0.9101,0.8373,207.0,14.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,26,0.8378,0.7808,0.9101,0.8373,207.0,14.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,27,0.8378,0.7808,0.9033,0.8355,207.0,13.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,28,0.8378,0.7808,0.9033,0.8355,207.0,13.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,29,0.8363,0.7783,0.9018,0.8331,206.3333,13.0,2.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,30,0.8363,0.7783,0.9018,0.8331,206.3333,13.0,2.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,31,0.8363,0.7783,0.9047,0.8365,206.3333,14.0,2.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,32,0.8363,0.7783,0.9047,0.8365,206.3333,14.0,2.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,33,0.8463,0.7914,0.9047,0.8365,209.0,11.3333,4.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,34,0.8815,0.8236,0.9036,0.8348,215.3333,4.6667,4.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,35,0.8815,0.8236,0.9036,0.8348,215.3333,4.6667,4.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,36,0.8805,0.8227,0.9004,0.83,215.0,4.0,4.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,37,0.8781,0.8198,0.898,0.8272,214.3333,4.0,5.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,38,0.8781,0.8198,0.9046,0.8326,214.3333,6.0,5.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,39,0.8781,0.8198,0.9189,0.8551,214.3333,11.3333,5.3333
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,40,0.878,0.8198,0.9469,0.8785,214.3333,17.6667,5.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,41,0.878,0.8198,0.9469,0.8785,214.3333,17.6667,5.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,42,0.878,0.8198,0.9445,0.884,214.3333,18.3333,5.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,43,0.878,0.8198,0.9445,0.884,214.3333,18.3333,5.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,44,0.8774,0.8159,0.9399,0.8773,214.0,17.0,6.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,45,0.8774,0.8159,0.9266,0.8619,214.0,12.6667,6.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,46,0.8756,0.8142,0.9248,0.8602,213.0,12.6667,7.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,47,0.8756,0.8142,0.9236,0.8516,213.0,12.0,7.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,48,0.8756,0.8142,0.9224,0.8505,213.0,11.3333,7.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,49,0.8793,0.8211,0.9213,0.8499,214.3333,9.6667,7.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,50,0.87,0.8195,0.912,0.8482,213.3333,9.6667,8.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,51,0.8606,0.8163,0.9026,0.845,212.3333,9.6667,9.6667
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,52,0.8599,0.8151,0.9019,0.8438,212.0,9.6667,10.0
