scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,0.0,0.1535,0.1322,0.1614,0.1348,19.6667,0.3333,0.0,0.1535,0.1614,19.6667,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,1.0001,0.3316,0.2705,0.361,0.2781,44.0,1.0,0.0,0.3316,0.361,44.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,1.0001,0.2518,0.2759,0.2553,0.2866,32.0,1.0,0.0,0.2759,0.2866,32.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,1.0001,0.1432,0.2244,0.1432,0.2244,23.0,0.0,0.0,0.2244,0.2244,23.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,2.0002,0.4418,0.3156,0.4418,0.3156,54.0,0.0,0.0,0.4418,0.4418,54.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,2.0002,0.2659,0.313,0.2659,0.313,35.0,0.0,0.0,0.313,0.313,35.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,2.0002,0.3696,0.3618,0.3696,0.3618,43.0,0.0,0.0,0.3696,0.3696,43.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,3.0003,0.4692,0.44,0.4692,0.44,56.0,0.0,0.0,0.4692,0.4692,56.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,3.0003,0.5239,0.3605,0.5349,0.3636,63.0,1.0,0.0,0.5239,0.5349,63.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,3.0004,0.3578,0.4201,0.3639,0.4474,46.0,1.0,0.0,0.4201,0.4474,46.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,4.0004,0.5628,0.5082,0.5628,0.5082,67.0,0.0,0.0,0.5628,0.5628,67.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,4.0004,0.5702,0.4204,0.5702,0.4204,70.0,0.0,0.0,0.5702,0.5702,70.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,4.0005,0.4629,0.5321,0.4689,0.5382,58.0,1.0,0.0,0.5321,0.5382,58.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,5.0005,0.6383,0.55,0.6838,0.5679,75.0,4.0,0.0,0.6383,0.6838,75.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,5.0005,0.6314,0.511,0.6314,0.511,79.0,0.0,0.0,0.6314,0.6314,79.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,5.0005,0.5492,0.6404,0.5492,0.6404,69.0,0.0,0.0,0.6404,0.6404,69.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,6.0006,0.738,0.6008,0.738,0.6008,90.0,0.0,0.0,0.738,0.738,90.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,6.0006,0.6447,0.7277,0.6447,0.7277,80.0,0.0,0.0,0.7277,0.7277,80.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,6.0516,0.6383,0.55,0.7563,0.6093,75.0,9.0,0.0,0.6383,0.7563,75.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,7.0007,0.8049,0.6664,0.8049,0.6664,97.0,0.0,0.0,0.8049,0.8049,97.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,7.0007,0.6739,0.7328,0.7559,0.8033,81.0,11.0,0.0,0.7328,0.8033,81.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,7.0517,0.6383,0.55,0.8981,0.6991,75.0,21.0,0.0,0.6383,0.8981,75.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,8.0008,0.8431,0.7286,0.8431,0.7286,106.0,0.0,1.0,0.8431,0.8431,106.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,8.0008,0.6739,0.7328,0.8132,0.8612,81.0,22.0,0.0,0.7328,0.8612,81.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,8.0518,0.6909,0.5683,0.9002,0.7104,79.0,18.0,3.0,0.6909,0.9002,79.0,3.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,9.0009,0.8499,0.7425,0.8499,0.7425,107.0,0.0,1.0,0.8499,0.8499,107.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,9.0009,0.7418,0.8037,0.8592,0.898,92.0,18.0,1.0,0.8037,0.898,92.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,9.0519,0.7455,0.6194,0.887,0.7029,84.0,12.0,3.0,0.7455,0.887,84.0,3.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,10.001,0.8467,0.8929,0.8772,0.9023,109.0,2.0,1.0,0.8929,0.9023,109.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,10.001,0.8499,0.7425,0.8499,0.7425,107.0,0.0,1.0,0.8499,0.8499,107.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,10.052,0.7369,0.6126,0.9032,0.7035,83.0,14.0,4.0,0.7369,0.9032,83.0,4.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,11.0011,0.8467,0.8929,0.8772,0.9023,109.0,2.0,1.0,0.8929,0.9023,109.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,11.0011,0.8633,0.7559,0.8633,0.7559,110.0,0.0,1.0,0.8633,0.8633,110.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,11.0521,0.7369,0.6126,0.9032,0.7035,83.0,14.0,4.0,0.7369,0.9032,83.0,4.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,12.0012,0.8633,0.7559,0.8633,0.7559,110.0,0.0,1.0,0.8633,0.8633,110.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,12.0012,0.8688,0.8992,0.8688,0.8992,110.0,0.0,2.0,0.8992,0.8992,110.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,12.0522,0.9032,0.7035,0.9032,0.7035,97.0,0.0,6.0,0.9032,0.9032,97.0,6.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,13.0013,0.8772,0.9023,0.8772,0.9023,111.0,0.0,2.0,0.9023,0.9023,111.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,13.0013,0.9036,0.7925,0.9036,0.7925,118.0,0.0,1.0,0.9036,0.9036,118.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,13.0523,0.9032,0.7035,0.9032,0.7035,97.0,0.0,6.0,0.9032,0.9032,97.0,6.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,14.0014,0.9133,0.8042,0.9133,0.8042,120.0,0.0,1.0,0.9133,0.9133,120.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,14.0014,0.8772,0.9023,0.8772,0.9023,111.0,0.0,2.0,0.9023,0.9023,111.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,14.0523,0.9032,0.7035,0.9032,0.7035,97.0,0.0,6.0,0.9032,0.9032,97.0,6.0
