scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,0.0,0.152,0.148,0.152,0.148,18.6667,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,1.0001,0.302,0.3123,0.302,0.3123,36.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,1.0001,0.2842,0.2253,0.2842,0.2253,34.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,1.0001,0.1314,0.2142,0.1314,0.2142,21.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,2.0002,0.4054,0.3749,0.4054,0.3749,45.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,2.0003,0.2531,0.2793,0.2531,0.2793,33.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,2.0003,0.361,0.2781,0.361,0.2781,45.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,3.0002,0.4425,0.4098,0.4869,0.4545,52.0,6.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,3.0004,0.4418,0.3156,0.4504,0.3194,54.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,3.0004,0.3539,0.4158,0.3539,0.4158,45.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,4.0003,0.5379,0.5008,0.5867,0.5206,65.0,5.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,4.0005,0.5475,0.3886,0.5475,0.3886,66.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,4.0005,0.438,0.5247,0.438,0.5247,57.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,5.0004,0.6278,0.5351,0.6807,0.5682,74.0,5.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,5.0006,0.5432,0.635,0.5432,0.635,68.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,5.0006,0.6151,0.4966,0.6151,0.4966,77.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,6.0005,0.6278,0.5351,0.7962,0.6609,74.0,14.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,6.0007,0.7206,0.5833,0.7206,0.5833,88.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,6.0007,0.6388,0.7223,0.6388,0.7223,79.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,7.0006,0.6278,0.5351,0.9032,0.7035,74.0,23.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,7.0007,0.7607,0.6333,0.7607,0.6333,93.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,7.0008,0.668,0.7275,0.75,0.798,80.0,11.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,8.0008,0.8158,0.6795,0.8158,0.6795,102.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,8.0009,0.668,0.7275,0.8072,0.8558,80.0,22.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,8.0018,0.6278,0.5351,0.9032,0.7035,74.0,23.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,9.0009,0.8434,0.7324,0.8434,0.7324,106.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,9.001,0.668,0.7275,0.8712,0.8969,80.0,30.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,9.0019,0.7725,0.6513,0.8832,0.6974,86.0,10.0,3.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,10.001,0.8569,0.7457,0.8569,0.7457,109.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,10.0011,0.8437,0.8796,0.8676,0.8912,106.0,3.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,10.002,0.8569,0.6819,0.9006,0.7031,93.0,5.0,6.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,11.0011,0.8808,0.7747,0.8808,0.7747,114.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,11.0012,0.8437,0.8796,0.8676,0.8912,106.0,3.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,11.002,0.8569,0.6819,0.925,0.7139,93.0,8.0,6.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,12.0013,0.8808,0.7747,0.8808,0.7747,114.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,12.0021,0.9579,0.7448,0.9782,0.7485,108.0,1.0,6.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,12.0121,0.8437,0.8796,0.8712,0.8969,106.0,4.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,13.0014,0.8755,0.7678,0.8755,0.7678,113.0,0.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,13.0043,0.9468,0.7333,1.0283,0.7514,105.0,5.0,9.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,13.0122,0.8712,0.8969,0.8712,0.8969,110.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,14.0015,0.8716,0.7601,0.8716,0.7601,112.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,14.0053,0.9417,0.7288,1.0231,0.7469,104.0,5.0,10.0
