scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,0.0,0.0719,0.0865,0.0873,0.0977,4.0,3.3333,1.6667,1.0,1.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0865,0.0977,10.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,1.0001,0.2781,0.3212,0.2832,0.3294,13.0,13.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3212,0.3294,40.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,1.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,1.0001,0.2059,0.2621,0.2059,0.2621,18.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2621,0.2621,27.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,2.0002,0.3298,0.2824,0.3528,0.3069,10.0,10.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3298,0.3528,28.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,2.0002,0.3248,0.351,0.3248,0.351,18.0,11.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351,0.351,37.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,2.0002,0.379,0.4147,0.3828,0.4186,18.0,16.0,14.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4147,0.4186,52.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,3.0003,0.4169,0.4325,0.4169,0.4325,23.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4325,0.4325,49.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,3.0003,0.4617,0.4317,0.481,0.456,17.0,13.0,4.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4617,0.481,40.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,3.0004,0.486,0.4902,0.4898,0.5001,18.0,18.0,18.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4902,0.5001,63.0,0.0
