scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,0.0,0.209,0.2141,0.2154,0.2173,18.6667,13.6667,10.0,5.0,0.0,0.0,0.3333,0.6667,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,1.0001,0.2329,0.2287,0.2329,0.2287,24.0,13.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,1.0001,0.2415,0.2561,0.249,0.2611,19.0,18.0,17.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,1.0002,0.2792,0.2897,0.2792,0.2897,19.0,15.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,2.0002,0.303,0.3823,0.303,0.3823,22.0,18.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,2.0002,0.2775,0.2685,0.2775,0.2685,28.0,15.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,2.0002,0.2907,0.2999,0.2962,0.312,23.0,22.0,19.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,3.0003,0.3417,0.4612,0.3417,0.4612,24.0,22.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,3.0003,0.3512,0.333,0.3642,0.3355,35.0,17.0,15.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,3.0003,0.3332,0.3413,0.338,0.3552,26.0,25.0,21.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
