scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,0.0,0.2245,0.2327,0.2285,0.2369,20.0,13.6667,10.3333,6.6667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,1.0001,0.2348,0.2312,0.2348,0.2312,25.0,13.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,1.0001,0.2609,0.2744,0.2609,0.2744,19.0,20.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,1.0001,0.2811,0.2945,0.2811,0.2945,20.0,15.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,2.0002,0.2818,0.2825,0.2818,0.2825,29.0,15.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,2.0002,0.2858,0.3141,0.2858,0.3141,23.0,20.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,2.0003,0.305,0.3843,0.305,0.3843,22.0,18.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,3.0003,0.3362,0.3271,0.3362,0.3271,34.0,16.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,3.0003,0.3247,0.3394,0.3271,0.3464,25.0,23.0,23.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,3.0003,0.3401,0.4564,0.3522,0.4631,24.0,22.0,11.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,4.0004,0.3723,0.3427,0.3723,0.3427,36.0,19.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,4.0004,0.4121,0.5177,0.4121,0.5177,33.0,24.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,4.0004,0.3555,0.3821,0.3555,0.3821,28.0,27.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,5.0005,0.4369,0.3711,0.4369,0.3711,39.0,19.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,5.0005,0.4736,0.5482,0.4736,0.5482,35.0,28.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,5.0006,0.3907,0.4342,0.3907,0.4342,28.0,29.0,30.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,6.0006,0.495,0.4264,0.495,0.4264,39.0,25.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,6.0006,0.5337,0.5791,0.5337,0.5791,36.0,32.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,6.0007,0.4576,0.4622,0.4576,0.4622,29.0,32.0,34.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,7.0007,0.5307,0.4546,0.5307,0.4546,43.0,27.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,7.0007,0.5848,0.6315,0.5871,0.6355,41.0,38.0,18.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,7.0008,0.507,0.5056,0.507,0.5056,34.0,34.0,38.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,8.0008,0.6169,0.6864,0.6169,0.6864,47.0,39.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,8.0009,0.5602,0.4896,0.5602,0.4896,47.0,28.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,8.0009,0.5381,0.5429,0.5381,0.5429,37.0,37.0,42.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,9.0009,0.641,0.7085,0.648,0.7103,48.0,44.0,22.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,9.0009,0.6178,0.5228,0.6178,0.5228,50.0,32.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,9.001,0.561,0.5626,0.5633,0.5644,39.0,40.0,44.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,10.001,0.6831,0.74,0.6831,0.74,49.0,47.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,10.0011,0.5988,0.5971,0.6004,0.6023,43.0,42.0,47.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,10.0011,0.6477,0.5516,0.663,0.555,55.0,32.0,25.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,11.0011,0.7054,0.7737,0.7246,0.792,49.0,48.0,31.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,11.0012,0.6315,0.626,0.6315,0.626,53.0,42.0,48.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,11.0012,0.6659,0.5763,0.712,0.5866,56.0,33.0,29.0,31.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,12.0011,0.7242,0.8101,0.7499,0.8516,50.0,51.0,35.0,27.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,12.0013,0.7031,0.6462,0.7491,0.6566,61.0,36.0,29.0,34.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,12.0013,0.6542,0.6407,0.6577,0.6444,59.0,42.0,51.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,13.0013,0.7572,0.8408,0.7828,0.8823,53.0,52.0,36.0,31.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,13.0014,0.693,0.6811,0.6964,0.6845,62.0,45.0,54.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,13.0014,0.7443,0.6664,0.816,0.6843,62.0,38.0,33.0,35.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,14.0014,0.7719,0.8548,0.7975,0.8963,56.0,52.0,36.0,31.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,14.0015,0.7274,0.7025,0.7296,0.7177,65.0,46.0,55.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,14.0016,0.7817,0.6993,0.8535,0.7163,66.0,40.0,34.0,37.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,15.0014,0.7719,0.8548,0.7975,0.8963,56.0,52.0,36.0,31.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
