scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,running_p2_mean,unsched_p2_mean,deletions_cum_p2_mean,running_p3_mean,unsched_p3_mean,deletions_cum_p3_mean,running_p4_mean,unsched_p4_mean,deletions_cum_p4_mean
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=8s,3,0,0.0,0.0,0.0177,0.0226,0.0,1.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=8s,3,1,0.1382,0.1682,0.1425,0.175,9.3333,0.6667,0.0,4.6667,0.0,0.0,2.6667,0.0,0.0,1.6667,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=8s,3,2,0.2921,0.3075,0.2997,0.3114,13.6667,0.3333,0.0,11.0,0.0,0.0,5.6667,0.3333,0.0,3.6667,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=8s,3,3,0.4092,0.4118,0.4092,0.4118,19.3333,0.0,0.0,13.6667,0.0,0.0,8.6667,0.0,0.0,4.3333,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=8s,3,4,0.5093,0.5151,0.5093,0.5151,21.3333,0.0,0.0,15.3333,0.0,0.0,12.6667,0.0,0.0,7.6667,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=8s,3,5,0.5931,0.6513,0.5931,0.6513,24.6667,0.0,0.0,18.0,0.0,0.0,14.0,0.0,0.0,11.3333,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=8s,3,6,0.6798,0.7265,0.6892,0.7325,27.3333,0.3333,1.0,21.0,0.0,0.0,15.6667,0.3333,0.0,12.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=8s,3,7,0.7359,0.7704,0.7375,0.7749,27.6667,0.3333,1.6667,22.3333,0.0,0.0,18.0,0.0,0.0,15.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=8s,3,8,0.7668,0.8055,0.7726,0.817,28.6667,0.6667,2.0,23.0,0.0,0.0,19.6667,0.0,0.0,16.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=8s,3,9,0.7812,0.8178,0.7858,0.8261,29.3333,0.3333,2.0,23.0,0.0,0.0,20.3333,0.0,0.0,16.3333,0.0,0.0
