scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,1.0,0.0,0.0,0.1491,0.1919,0.0,0.0,0.0,0.0,11.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1919,0.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,1.0001,0.0,0.0,0.227,0.1901,0.0,0.0,0.0,0.0,8.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.227,0.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,1.0002,0.211,0.2564,0.2157,0.2596,11.0,10.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2564,0.2596,29.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,2.0002,0.2502,0.2954,0.2547,0.3138,18.0,8.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2954,0.3138,31.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,2.0002,0.3573,0.3122,0.3573,0.3122,12.0,11.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3573,0.3573,31.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,2.0002,0.2832,0.3294,0.2832,0.3294,13.0,13.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3294,0.3294,41.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,3.0002,0.3604,0.3812,0.364,0.3887,22.0,11.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3812,0.3887,43.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,3.0003,0.481,0.456,0.4918,0.4766,17.0,14.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.481,0.4918,43.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,3.0003,0.3752,0.4056,0.379,0.4147,18.0,16.0,13.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4056,0.4147,51.0,0.0
