scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,0.0,0.2258,0.2095,0.2271,0.213,54.6667,0.6667,0.0,0.2258,0.2271,54.6667,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,1.0001,0.2974,0.2311,0.3012,0.2332,73.0,1.0,0.0,0.2974,0.3012,73.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,1.0001,0.2328,0.2171,0.2456,0.2291,55.0,3.0,0.0,0.2328,0.2456,55.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,1.0002,0.2437,0.2823,0.2437,0.2823,63.0,0.0,0.0,0.2823,0.2823,63.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,2.0002,0.2882,0.3418,0.2882,0.3418,73.0,0.0,0.0,0.3418,0.3418,73.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,2.0002,0.3494,0.2812,0.3563,0.2843,85.0,1.0,0.0,0.3494,0.3563,85.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,2.0002,0.2814,0.2541,0.287,0.2557,67.0,1.0,0.0,0.2814,0.287,67.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,3.0003,0.3905,0.3296,0.3905,0.3296,95.0,0.0,0.0,0.3905,0.3905,95.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,3.0003,0.3445,0.3736,0.3445,0.3736,84.0,0.0,0.0,0.3736,0.3736,84.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,3.0003,0.3711,0.29,0.3728,0.2923,81.0,1.0,0.0,0.3711,0.3728,81.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,4.0004,0.4112,0.3466,0.4112,0.3466,103.0,0.0,1.0,0.4112,0.4112,103.0,1.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,4.0004,0.3866,0.4117,0.3866,0.4117,96.0,0.0,0.0,0.4117,0.4117,96.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,4.0004,0.4088,0.3181,0.4218,0.3206,88.0,1.0,0.0,0.4088,0.4218,88.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5.0005,0.453,0.3969,0.4547,0.3997,112.0,1.0,1.0,0.453,0.4547,112.0,1.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5.0005,0.4181,0.4403,0.4203,0.4428,106.0,1.0,0.0,0.4403,0.4428,106.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5.0005,0.4666,0.3612,0.4666,0.3612,98.0,0.0,0.0,0.4666,0.4666,98.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,6.0006,0.5043,0.4411,0.5043,0.4411,123.0,0.0,1.0,0.5043,0.5043,123.0,1.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,6.0006,0.5019,0.4014,0.5046,0.4038,109.0,1.0,0.0,0.5019,0.5046,109.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,6.0006,0.4471,0.4859,0.4471,0.4859,118.0,0.0,0.0,0.4859,0.4859,118.0,0.0
