scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,0,0.0771,0.066,0.081,0.0829,9.6667,1.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,1,0.216,0.2238,0.216,0.2238,28.6667,0.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,2,0.3246,0.296,0.3279,0.3008,39.3333,0.6667,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,3,0.4171,0.3821,0.4214,0.3864,50.6667,0.6667,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,4,0.4935,0.4606,0.5042,0.4684,60.6667,1.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,5,0.5929,0.5489,0.6024,0.5518,72.3333,0.3333,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,6,0.6756,0.6314,0.7101,0.6416,82.6667,1.6667,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,7,0.7452,0.6925,0.7917,0.7019,90.3333,1.6667,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,8,0.8,0.745,0.8488,0.759,99.3333,2.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,9,0.8261,0.7682,0.8726,0.7776,102.6667,1.6667,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,10,0.8246,0.772,0.8712,0.7814,103.3333,1.6667,1.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,11,0.8377,0.7822,0.8842,0.7916,105.6667,1.6667,1.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,12,0.8526,0.7783,0.885,0.7906,105.6667,3.0,3.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,13,0.8596,0.7814,0.9076,0.7974,106.0,3.3333,3.6667
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,14,0.8416,0.7754,0.9032,0.7949,105.0,4.3333,5.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,15,0.8416,0.7754,0.8896,0.7913,105.0,3.3333,5.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,16,0.86,0.7873,0.892,0.7935,107.6667,1.3333,5.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,17,0.8599,0.7897,0.8918,0.7958,107.3333,1.3333,5.6667
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,18,0.8552,0.783,0.8872,0.7892,106.0,1.3333,7.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,19,0.8608,0.7883,0.8993,0.7994,107.3333,2.0,7.3333
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,20,0.8925,0.8139,0.9352,0.8448,111.6667,3.0,7.6667
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,21,0.9074,0.834,0.9589,0.8745,114.6667,4.3333,8.3333
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,22,0.8972,0.8309,0.9768,0.8972,114.0,7.3333,9.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,23,0.8883,0.8378,0.9582,0.8852,113.6667,5.3333,11.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,24,0.8703,0.8231,0.9293,0.8525,110.6667,3.3333,14.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,25,0.8608,0.811,0.9185,0.8318,109.6667,3.0,15.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,26,0.8608,0.811,0.9185,0.8318,109.6667,3.0,15.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,27,0.8565,0.8069,0.9143,0.8276,108.6667,3.0,16.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,28,0.8547,0.8143,0.9073,0.8253,108.6667,2.3333,17.0
