scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,0.0,0.2314,0.2128,0.2423,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,6.4037,,,,6.4037
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,1.0001,0.249,0.2917,0.2917,65.0066,0.0,0.0,0.0,65.0066,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,1.0001,0.2866,0.2256,0.2866,72.0081,0.0,0.0,0.0,72.0081,0.0,,,,0.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,1.0001,0.2365,0.223,0.2365,57.0072,0.0,0.0,0.0,57.0072,0.0,,,,0.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,2.0002,0.2962,0.2557,0.2962,136.0143,0.0,0.0,0.0,136.0143,0.0,,,,0.0,6.6983,,,,6.6983
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,2.0002,0.2967,0.3448,0.3448,139.0149,0.0,0.0,0.0,139.0149,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,3.0004,0.3478,0.3787,0.3787,224.0276,0.0,0.0,0.0,224.0276,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,3.0004,0.3108,0.2654,0.3108,191.0236,0.0,0.0,0.0,191.0236,0.0,,,,0.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,3.0004,0.3726,0.3144,0.3726,246.0304,0.0,0.0,0.0,246.0304,0.0,,,,0.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,4.0005,0.3898,0.4135,0.4135,321.0365,0.0,0.0,0.0,321.0365,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,4.0005,0.4095,0.3445,0.4095,347.0408,0.0,0.0,0.0,347.0408,0.0,,,,0.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,4.0005,0.3745,0.2939,0.3745,274.0334,0.0,0.0,0.0,274.0334,0.0,,,,0.0,7.6034,,,,7.6034
