scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,0.0,0.209,0.2141,0.2182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6918,4.3356,3.1312,2.8876,3.8903
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,1.0001,0.2329,0.2287,0.2329,24.0027,13.0014,12.0013,4.0004,53.0059,0.0,0.0,0.0,0.0,0.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,1.0001,0.2415,0.2561,0.2561,19.0024,18.0022,17.0021,11.0014,65.0081,0.0,0.0,0.0,0.0,0.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,1.0002,0.2792,0.2897,0.2897,19.0029,15.0023,8.0012,9.0014,51.0079,0.0,0.0,0.0,0.0,0.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,2.0002,0.303,0.3823,0.3823,41.0042,33.0033,16.0017,23.0022,113.0113,0.0,0.0,0.0,0.0,0.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,2.0002,0.2775,0.2685,0.2775,52.0056,28.003,27.0029,10.0011,117.0125,0.0,0.0,0.0,0.0,0.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,2.0002,0.2907,0.2999,0.2999,42.0049,40.0047,36.0042,24.0028,142.0167,0.0,0.0,0.0,0.0,0.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,3.0003,0.3417,0.4612,0.4612,65.0068,55.0057,27.0029,38.0038,185.0192,0.0,0.0,0.0,0.0,0.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,3.0003,0.3512,0.333,0.3512,87.0094,45.0049,42.0045,20.0022,194.0209,0.0,0.0,0.0,0.0,0.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,3.0003,0.3332,0.3413,0.3413,68.0075,65.0072,57.0063,38.0042,228.0252,0.0,0.0,0.0,2.0,2.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,4.0004,0.3573,0.401,0.401,96.0094,92.009,84.0082,53.0052,325.0319,0.0,0.0,0.0,2.0,2.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,4.0004,0.4034,0.5034,0.5034,95.0096,79.008,38.0039,55.0054,267.0269,0.0,0.0,0.0,0.0,0.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,4.0004,0.4182,0.3555,0.4182,125.0136,64.007,60.0065,31.0034,280.0306,0.0,0.0,0.0,0.0,0.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,5.0005,0.4358,0.4347,0.4358,124.0117,124.0116,114.0106,72.0068,434.0406,0.0,0.0,0.0,2.0,2.0,6.6613,5.581,3.2909,3.0644,4.8814
