scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,0.0,0.2191,0.226,0.2297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8608,2.7004,4.5858,3.5366,4.0073
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,1.0001,0.2304,0.2243,0.2304,24.0022,13.0012,12.0011,3.0003,52.0048,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,1.0001,0.2779,0.294,0.294,21.003,21.003,19.0027,13.0018,74.0105,0.0,0.0,0.0,0.0,0.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,1.0002,0.2792,0.2897,0.2897,19.0029,15.0023,8.0012,9.0014,51.0079,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,2.0002,0.2757,0.2642,0.2757,52.0046,27.0024,27.0024,9.0008,115.0101,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,2.0002,0.3269,0.3414,0.3414,46.0047,45.0047,42.0043,27.0028,160.0165,0.0,0.0,0.0,0.0,0.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,2.0003,0.303,0.3823,0.3823,41.0062,33.005,16.0024,23.0035,113.0172,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,3.0003,0.3325,0.3195,0.3325,86.0073,43.0036,42.0036,18.0015,189.016,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,3.0003,0.3559,0.3929,0.3929,74.0082,71.0079,67.0074,44.0049,256.0284,0.0,0.0,0.0,0.0,0.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,3.0004,0.3522,0.4631,0.4631,66.0085,55.007,27.0034,37.0048,185.0238,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,4.0004,0.3932,0.3499,0.3932,124.0112,62.0056,58.0052,28.0025,272.0246,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,4.0005,0.3907,0.4342,0.4342,102.0115,100.0113,97.0109,63.0072,362.0409,0.0,0.0,0.0,0.0,0.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,4.0005,0.4121,0.5177,0.5177,99.0117,79.0094,38.0045,53.0063,269.0319,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,5.0005,0.4475,0.3832,0.4475,163.015,83.0077,76.007,44.0041,366.0338,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,5.0005,0.4592,0.465,0.465,132.0138,132.0138,131.0136,84.0088,479.0501,0.0,0.0,0.0,0.0,0.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,5.0006,0.4671,0.5464,0.5464,134.0142,107.0113,51.0054,71.0076,363.0385,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,6.0006,0.5182,0.4402,0.5182,204.0199,109.0108,95.0092,63.0063,471.0462,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,6.0007,0.5368,0.582,0.582,170.0185,140.0152,69.0076,89.0097,468.051,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,6.0007,0.5019,0.4961,0.5019,165.0196,166.0197,168.02,105.0124,604.0717,0.0,0.0,0.0,0.0,0.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,7.0007,0.5405,0.4695,0.5405,249.0236,136.013,115.0109,85.0082,585.0556,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
