config,nodes,pods,priorities,util,timeout_s,n_seeds,n_cp_sat_wins,n_gurobi_wins,n_ties,n_both_failed,cp_sat_win_rate,gurobi_win_rate,avg_cp_sat_duration_ms,avg_gurobi_duration_ms,speed_ratio,winner
nodes32_pods256_prio1_util095_timeout01,32,256,1,95,1,40,0,39,0,1,0.0000,0.9750,1314.5,nan,inf,gurobi
nodes32_pods256_prio1_util095_timeout10,32,256,1,95,10,71,0,57,11,3,0.0000,0.8028,10886.8,nan,inf,gurobi
nodes32_pods256_prio1_util095_timeout20,32,256,1,95,20,37,0,32,5,0,0.0000,0.8649,20548.6,5913.6,3.47,gurobi
nodes32_pods256_prio2_util095_timeout01,32,256,2,95,1,33,0,33,0,0,0.0000,1.0000,1333.2,721.3,1.85,gurobi
nodes32_pods256_prio2_util095_timeout20,32,256,2,95,20,73,1,33,39,0,0.0137,0.4521,19981.2,4998.5,4.00,gurobi
nodes4_pods16_prio1_util090_timeout01,4,16,1,90,1,100,2,1,74,23,0.0200,0.0100,nan,nan,inf,cp_sat
nodes4_pods16_prio1_util090_timeout10,4,16,1,90,10,100,2,0,75,23,0.0200,0.0000,nan,nan,inf,cp_sat
nodes4_pods16_prio1_util090_timeout20,4,16,1,90,20,100,2,0,75,23,0.0200,0.0000,nan,nan,inf,cp_sat
nodes8_pods32_prio1_util090_timeout01,8,32,1,90,1,100,1,0,95,4,0.0100,0.0000,nan,nan,inf,cp_sat
nodes8_pods32_prio1_util090_timeout10,8,32,1,90,10,100,1,1,94,4,0.0100,0.0100,nan,nan,inf,tie
nodes8_pods32_prio1_util090_timeout20,8,32,1,90,20,100,0,0,96,4,0.0000,0.0000,nan,nan,inf,tie
nodes8_pods32_prio1_util095_timeout01,8,32,1,95,1,100,50,4,46,0,0.5000,0.0400,1746.7,680.4,2.57,cp_sat
nodes8_pods32_prio1_util095_timeout10,8,32,1,95,10,100,6,0,94,0,0.0600,0.0000,8923.1,nan,inf,cp_sat
nodes8_pods32_prio1_util095_timeout20,8,32,1,95,20,100,2,0,98,0,0.0200,0.0000,15602.9,3591.5,4.34,cp_sat
nodes8_pods32_prio1_util100_timeout01,8,32,1,100,1,100,62,4,34,0,0.6200,0.0400,1673.8,903.2,1.85,cp_sat
nodes8_pods32_prio1_util100_timeout10,8,32,1,100,10,100,27,1,72,0,0.2700,0.0100,10210.5,6723.2,1.52,cp_sat
nodes8_pods32_prio1_util100_timeout20,8,32,1,100,20,100,12,2,86,0,0.1200,0.0200,18965.4,9594.0,1.98,cp_sat
nodes8_pods32_prio1_util105_timeout01,8,32,1,105,1,100,57,1,42,0,0.5700,0.0100,1671.5,nan,inf,cp_sat
nodes8_pods32_prio1_util105_timeout10,8,32,1,105,10,100,16,0,84,0,0.1600,0.0000,10421.8,5873.2,1.77,cp_sat
nodes8_pods32_prio1_util105_timeout20,8,32,1,105,20,100,8,1,91,0,0.0800,0.0100,19755.1,9248.5,2.14,cp_sat
nodes8_pods32_prio2_util090_timeout01,8,32,2,90,1,100,3,1,92,4,0.0300,0.0100,nan,nan,inf,cp_sat
nodes8_pods32_prio2_util090_timeout10,8,32,2,90,10,100,1,2,93,4,0.0100,0.0200,nan,nan,inf,gurobi
nodes8_pods32_prio2_util090_timeout20,8,32,2,90,20,100,0,3,93,4,0.0000,0.0300,nan,nan,inf,gurobi
nodes8_pods32_prio2_util095_timeout01,8,32,2,95,1,100,8,8,84,0,0.0800,0.0800,1443.8,nan,inf,tie
nodes8_pods32_prio2_util095_timeout10,8,32,2,95,10,100,3,2,95,0,0.0300,0.0200,4452.3,nan,inf,cp_sat
nodes8_pods32_prio2_util095_timeout20,8,32,2,95,20,100,3,4,93,0,0.0300,0.0400,5963.9,1323.5,4.51,gurobi
nodes8_pods32_prio2_util100_timeout01,8,32,2,100,1,100,11,7,82,0,0.1100,0.0700,1458.3,nan,inf,cp_sat
nodes8_pods32_prio2_util100_timeout10,8,32,2,100,10,100,6,3,91,0,0.0600,0.0300,4892.9,nan,inf,cp_sat
nodes8_pods32_prio2_util100_timeout20,8,32,2,100,20,100,3,2,95,0,0.0300,0.0200,7083.1,nan,inf,cp_sat
nodes8_pods32_prio2_util105_timeout01,8,32,2,105,1,100,6,5,89,0,0.0600,0.0500,1436.7,nan,inf,cp_sat
nodes8_pods32_prio2_util105_timeout10,8,32,2,105,10,100,4,1,95,0,0.0400,0.0100,4881.4,nan,inf,cp_sat
