util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean,default_all_running_rate_std,solver_called_rate_std,solver_failed_rate_std,default_optimal_rate_std,solver_optimal_rate_std,solver_feasible_rate_std,other_rate_std,solver_duration_ms_mean_std,cpu_delta_mean_std,mem_delta_mean_std
90.0,4,16,4,1,1,nodes4_pods16_prio1_util090_timeout01,100,77,23,0.2300,77,0.7700,3,0.0300,0,0.0000,72,0.7200,2,0.0200,74,0.7400,0,0.0000,74149.0,975.6447,6.33,7.07,0.0822,0.0918,0.4229525846816507,0.0,0.1714466079977653,0.0,0.4512608598542129,0.14070529413628965,0.0,176.04042747409798,0.05254530317593563,0.04988374043522209
90.0,4,16,4,1,10,nodes4_pods16_prio1_util090_timeout10,100,77,23,0.2300,77,0.7700,1,0.0100,1,0.0100,74,0.7400,1,0.0100,75,0.7500,0,0.0000,72151.0,937.026,6.397,6.977,0.0831,0.0906,0.4229525846816507,0.0,0.09999999999999999,0.1,0.44084400227680803,0.09999999999999999,0.0,786.5129565972961,0.052273764737542604,0.051184433243176126
90.0,4,16,4,1,20,nodes4_pods16_prio1_util090_timeout20,100,77,23,0.2300,77,0.7700,1,0.0100,1,0.0100,74,0.7400,1,0.0100,75,0.7500,0,0.0000,83620.0,1085.974,6.314,7.098,0.082,0.0922,0.4229525846816507,0.0,0.09999999999999999,0.1,0.44084400227680803,0.09999999999999999,0.0,1655.1473934527146,0.052773597864641995,0.04992803433383084
90.0,4,16,4,2,1,nodes4_pods16_prio2_util090_timeout01,100,76,24,0.2400,76,0.7600,3,0.0300,23,0.2300,49,0.4900,1,0.0100,50,0.5000,0,0.0000,63640.0,848.5333,3.793,4.097,0.0499,0.0539,0.42923469599092784,0.0,0.1714466079977653,0.42295258468165076,0.5024183937956914,0.09999999999999999,0.0,135.15079999296614,0.04936859396595612,0.056765993959195675
90.0,4,16,4,2,10,nodes4_pods16_prio2_util090_timeout10,100,76,24,0.2400,76,0.7600,2,0.0200,23,0.2300,51,0.5100,0,0.0000,51,0.5100,0,0.0000,73927.0,972.7237,3.765,4.024,0.0495,0.0529,0.42923469599092784,0.0,0.14070529413628965,0.42295258468165076,0.5024183937956913,0.0,0.0,811.3564871856547,0.04947010970662957,0.058554565944787404
90.0,4,16,4,2,20,nodes4_pods16_prio2_util090_timeout20,100,77,23,0.2300,77,0.7700,0,0.0000,26,0.2600,51,0.5100,0,0.0000,51,0.5100,0,0.0000,73166.0,950.2078,3.841,4.151,0.0499,0.0539,0.42295258468165076,0.0,0.0,0.44084400227680803,0.5024183937956913,0.0,0.0,776.2430665452254,0.05127659105437111,0.05637006060008643
90.0,4,16,4,4,1,nodes4_pods16_prio4_util090_timeout01,100,77,23,0.2300,77,0.7700,1,0.0100,48,0.4800,28,0.2800,0,0.0000,28,0.2800,0,0.0000,65717.0,853.4675,2.08,1.955,0.027,0.0254,0.4229525846816507,0.0,0.09999999999999999,0.5021167315686782,0.45126085985421294,0.0,0.0,63.08924014015978,0.04626254979277274,0.04123876428931116
90.0,4,16,4,4,10,nodes4_pods16_prio4_util090_timeout10,100,77,23,0.2300,77,0.7700,1,0.0100,48,0.4800,28,0.2800,0,0.0000,28,0.2800,0,0.0000,66458.0,863.0909,2.052,1.934,0.0266,0.0251,0.4229525846816507,0.0,0.09999999999999999,0.5021167315686782,0.45126085985421294,0.0,0.0,79.9256532525502,0.04639440932567263,0.04335167514094043
90.0,4,16,4,4,20,nodes4_pods16_prio4_util090_timeout20,100,77,23,0.2300,77,0.7700,1,0.0100,48,0.4800,28,0.2800,0,0.0000,28,0.2800,0,0.0000,66214.0,859.9221,2.078,1.876,0.027,0.0244,0.4229525846816507,0.0,0.09999999999999999,0.5021167315686782,0.45126085985421294,0.0,0.0,80.38996504437574,0.046335019581786804,0.04318836011891128
90.0,4,32,8,1,1,nodes4_pods32_prio1_util090_timeout01,100,20,80,0.8000,20,0.2000,0,0.0000,1,0.0100,19,0.1900,0,0.0000,19,0.1900,0,0.0000,16772.0,838.6,0.725,0.784,0.0363,0.0392,0.40201512610368484,0.0,0.0,0.09999999999999999,0.3942772444036625,0.0,0.0,81.1732390436781,0.014432693150585157,0.012258616733160662
90.0,4,32,8,1,10,nodes4_pods32_prio1_util090_timeout10,100,21,79,0.7900,21,0.2100,3,0.0300,2,0.0200,16,0.1600,0,0.0000,16,0.1600,0,0.0000,14808.0,822.6667,0.725,0.784,0.0345,0.0373,0.40936018074033237,0.0,0.1714466079977653,0.14070529413628968,0.3684529491774707,0.0,0.0,54.091425872694245,0.016138832199446937,0.014694670235610384
90.0,4,32,8,1,20,nodes4_pods32_prio1_util090_timeout20,100,21,79,0.7900,21,0.2100,4,0.0400,2,0.0200,15,0.1500,0,0.0000,15,0.1500,0,0.0000,14196.0,835.0588,0.725,0.784,0.0345,0.0373,0.40936018074033237,0.0,0.19694638556693236,0.14070529413628968,0.3588702812826367,0.0,0.0,107.21034849084958,0.016138832199446933,0.014694670235610382
90.0,4,32,8,2,1,nodes4_pods32_prio2_util090_timeout01,100,21,79,0.7900,21,0.2100,0,0.0000,9,0.0900,12,0.1200,0,0.0000,12,0.1200,0,0.0000,17906.0,852.6667,0.505,0.532,0.024,0.0253,0.40936018074033237,0.0,0.0,0.2876234912646614,0.3265986323710904,0.0,0.0,39.12075323064899,0.023027106180491287,0.02324937275139556
90.0,4,32,8,2,10,nodes4_pods32_prio2_util090_timeout10,100,19,81,0.8100,19,0.1900,2,0.0200,7,0.0700,10,0.1000,0,0.0000,10,0.1000,0,0.0000,13989.0,822.8824,0.505,0.532,0.0266,0.028,0.3942772444036625,0.0,0.14070529413628965,0.2564323999762428,0.30151134457776363,0.0,0.0,66.65665978818356,0.02276282493080352,0.022842455598682438
90.0,4,32,8,2,20,nodes4_pods32_prio2_util090_timeout20,100,20,80,0.8000,20,0.2000,2,0.0200,8,0.0800,10,0.1000,0,0.0000,10,0.1000,0,0.0000,15712.0,872.8889,0.505,0.532,0.0253,0.0266,0.40201512610368484,0.0,0.14070529413628965,0.2726599243442907,0.30151134457776363,0.0,0.0,80.90509246597586,0.022938992314856674,0.023097960721104475
90.0,4,32,8,4,1,nodes4_pods32_prio4_util090_timeout01,100,19,81,0.8100,19,0.1900,1,0.0100,12,0.1200,6,0.0600,0,0.0000,6,0.0600,0,0.0000,17652.0,980.6667,0.31,0.289,0.0163,0.0152,0.3942772444036625,0.0,0.09999999999999999,0.3265986323710904,0.23868325657594203,0.0,0.0,55.30556827619567,0.022556232525202318,0.020802187244423304
90.0,4,32,8,4,10,nodes4_pods32_prio4_util090_timeout10,100,18,82,0.8200,18,0.1800,1,0.0100,11,0.1100,6,0.0600,0,0.0000,6,0.0600,0,0.0000,16653.0,979.5882,0.31,0.289,0.0172,0.0161,0.38612291966536916,0.0,0.09999999999999999,0.31446603773522014,0.23868325657594203,0.0,0.0,71.47119946482762,0.022851323955866292,0.02106704206664783
90.0,4,32,8,4,20,nodes4_pods32_prio4_util090_timeout20,100,19,81,0.8100,19,0.1900,1,0.0100,12,0.1200,6,0.0600,0,0.0000,6,0.0600,0,0.0000,17676.0,982.0,0.31,0.289,0.0163,0.0152,0.3942772444036625,0.0,0.09999999999999999,0.3265986323710904,0.23868325657594203,0.0,0.0,98.95572390780458,0.022556232525202318,0.020802187244423304
90.0,8,32,4,1,1,nodes8_pods32_prio1_util090_timeout01,100,96,4,0.0400,96,0.9600,0,0.0000,0,0.0000,84,0.8400,12,0.1200,96,0.9600,0,0.0000,118632.0,1235.75,7.434,7.339,0.0774,0.0764,0.19694638556693236,0.0,0.0,0.0,0.3684529491774707,0.3265986323710904,0.0,256.45063134215417,0.04486536878026829,0.042781665967823825
90.0,8,32,4,1,10,nodes8_pods32_prio1_util090_timeout10,100,96,4,0.0400,96,0.9600,1,0.0100,0,0.0000,94,0.9400,1,0.0100,95,0.9500,0,0.0000,150110.0,1580.1053,7.434,7.339,0.0774,0.0764,0.19694638556693236,0.0,0.09999999999999999,0.0,0.23868325657594203,0.09999999999999999,0.0,1607.8035729613625,0.04486536878026829,0.042781665967823825
90.0,8,32,4,1,20,nodes8_pods32_prio1_util090_timeout20,100,96,4,0.0400,96,0.9600,0,0.0000,0,0.0000,96,0.9600,0,0.0000,96,0.9600,0,0.0000,176628.0,1839.875,7.434,7.339,0.0774,0.0764,0.19694638556693236,0.0,0.0,0.0,0.19694638556693236,0.0,0.0,2719.099143582591,0.04486536878026829,0.042781665967823825
90.0,8,32,4,2,1,nodes8_pods32_prio2_util090_timeout01,100,96,4,0.0400,96,0.9600,0,0.0000,6,0.0600,81,0.8100,9,0.0900,90,0.9000,0,0.0000,107151.0,1116.1562,5.46,5.451,0.0569,0.0568,0.19694638556693236,0.0,0.0,0.238683256575942,0.3942772444036625,0.2876234912646614,0.0,265.7060238655139,0.039732328081007816,0.039853733398384064
90.0,8,32,4,2,10,nodes8_pods32_prio2_util090_timeout10,100,95,5,0.0500,95,0.9500,0,0.0000,5,0.0500,87,0.8700,3,0.0300,90,0.9000,0,0.0000,139423.0,1467.6105,5.443,5.443,0.0573,0.0573,0.2190429135575903,0.0,0.0,0.2190429135575903,0.3379976689896311,0.1714466079977653,0.0,1771.691374201481,0.04030492121481121,0.03995179906587717
90.0,8,32,4,2,20,nodes8_pods32_prio2_util090_timeout20,100,96,4,0.0400,96,0.9600,0,0.0000,7,0.0700,87,0.8700,2,0.0200,89,0.8900,0,0.0000,173636.0,1808.7083,5.364,5.341,0.0559,0.0556,0.19694638556693236,0.0,0.0,0.2564323999762428,0.3379976689896311,0.14070529413628968,0.0,3504.19026134702,0.04063165734925624,0.04029212272279498
90.0,8,32,4,4,1,nodes8_pods32_prio4_util090_timeout01,100,96,4,0.0400,96,0.9600,3,0.0300,35,0.3500,56,0.5600,2,0.0200,58,0.5800,0,0.0000,97370.0,1014.2708,2.853,3.02,0.0297,0.0315,0.19694638556693236,0.0,0.1714466079977653,0.4793724854411022,0.4988876515698589,0.14070529413628965,0.0,143.97503286236577,0.03771965929549763,0.03622936194120271
90.0,8,32,4,4,10,nodes8_pods32_prio4_util090_timeout10,100,96,4,0.0400,96,0.9600,2,0.0200,33,0.3300,60,0.6000,1,0.0100,61,0.6100,0,0.0000,110001.0,1145.8438,3.012,3.128,0.0314,0.0326,0.19694638556693236,0.0,0.14070529413628965,0.4725815626252608,0.49236596391733095,0.09999999999999999,0.0,869.8170446239951,0.036788799783000314,0.0349223700487891
90.0,8,32,4,4,20,nodes8_pods32_prio4_util090_timeout20,100,96,4,0.0400,96,0.9600,3,0.0300,34,0.3400,59,0.5900,0,0.0000,59,0.5900,0,0.0000,101805.0,1060.4688,3.01,3.078,0.0314,0.0321,0.19694638556693236,0.0,0.1714466079977653,0.47609522856952335,0.4943110704237103,0.0,0.0,425.87981880548114,0.037258126394870424,0.03713639511456737
90.0,8,64,8,1,1,nodes8_pods64_prio1_util090_timeout01,100,45,55,0.5500,45,0.4500,10,0.1000,7,0.0700,28,0.2800,0,0.0000,28,0.2800,0,-0.0000,37490.0,1071.1429,0.858,0.934,0.0191,0.0208,0.5,0.0,0.30151134457776363,0.2564323999762428,0.45126085985421294,0.0,0.0,144.39898623913797,0.014731536980851055,0.012760299860318833
