util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean
90.0,4,16,4,1,1,nodes4_pods16_prio1_util090_timeout01,100,78,22,0.2200,72,0.7200,6,0.0600,1,0.0100,69,0.6900,2,0.0200,71,0.7100,0,0.0000,22892.0,317.9444,5.7,6.484,0.0731,0.0831
90.0,4,16,4,1,10,nodes4_pods16_prio1_util090_timeout10,100,78,22,0.2200,72,0.7200,6,0.0600,1,0.0100,71,0.7100,0,0.0000,71,0.7100,0,0.0000,22116.0,307.1667,5.948,6.507,0.0763,0.0834
90.0,4,16,4,1,20,nodes4_pods16_prio1_util090_timeout20,100,77,23,0.2300,74,0.7400,3,0.0300,0,0.0000,73,0.7300,1,0.0100,74,0.7400,0,0.0000,39621.0,535.4189,6.169,6.818,0.0801,0.0885
90.0,4,16,4,2,1,nodes4_pods16_prio2_util090_timeout01,100,76,24,0.2400,63,0.6300,13,0.1300,15,0.1500,47,0.4700,1,0.0100,48,0.4800,0,0.0000,14485.0,229.9206,3.364,3.743,0.0443,0.0493
90.0,4,16,4,2,10,nodes4_pods16_prio2_util090_timeout10,100,76,24,0.2400,63,0.6300,13,0.1300,14,0.1400,49,0.4900,0,0.0000,49,0.4900,0,0.0000,15296.0,242.7937,3.668,3.904,0.0483,0.0514
90.0,4,16,4,2,20,nodes4_pods16_prio2_util090_timeout20,100,76,24,0.2400,65,0.6500,11,0.1100,14,0.1400,51,0.5100,0,0.0000,51,0.5100,0,0.0000,14700.0,226.1538,3.634,3.934,0.0478,0.0518
90.0,4,16,4,4,1,nodes4_pods16_prio4_util090_timeout01,100,77,23,0.2300,64,0.6400,14,0.1400,36,0.3600,26,0.2600,1,0.0100,27,0.2700,0,0.0000,12597.0,196.8281,2.047,1.849,0.0266,0.024
90.0,4,16,4,4,10,nodes4_pods16_prio4_util090_timeout10,100,77,23,0.2300,64,0.6400,14,0.1400,36,0.3600,27,0.2700,0,0.0000,27,0.2700,0,0.0000,12885.0,201.3281,2.0,1.798,0.026,0.0234
90.0,4,16,4,4,20,nodes4_pods16_prio4_util090_timeout20,100,77,23,0.2300,65,0.6500,13,0.1300,36,0.3600,28,0.2800,0,0.0000,28,0.2800,0,0.0000,13355.0,205.4615,2.053,1.884,0.0267,0.0245
90.0,4,32,8,1,1,nodes4_pods32_prio1_util090_timeout01,100,21,79,0.7900,18,0.1800,3,0.0300,2,0.0200,16,0.1600,0,0.0000,16,0.1600,0,0.0000,3318.0,184.3333,0.725,0.784,0.0345,0.0373
90.0,4,32,8,1,10,nodes4_pods32_prio1_util090_timeout10,100,22,78,0.7800,18,0.1800,4,0.0400,3,0.0300,15,0.1500,0,0.0000,15,0.1500,0,0.0000,3189.0,177.1667,0.725,0.784,0.033,0.0356
90.0,4,32,8,1,20,nodes4_pods32_prio1_util090_timeout20,100,20,80,0.8000,18,0.1800,2,0.0200,1,0.0100,17,0.1700,0,0.0000,17,0.1700,0,0.0000,3157.0,175.3889,0.725,0.784,0.0363,0.0392
90.0,4,32,8,2,1,nodes4_pods32_prio2_util090_timeout01,100,18,82,0.8200,16,0.1600,2,0.0200,6,0.0600,10,0.1000,0,0.0000,10,0.1000,0,0.0000,2810.0,175.625,0.505,0.532,0.0281,0.0296
