util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean,total_pods,n_solver_solution,moves_pct_sum_solver_optimal,evictions_pct_sum_solver_optimal,moves_pct_sum_solver_feasible,evictions_pct_sum_solver_feasible,n_solver_feasible_all_running,solver_feasible_all_running_within_rate,n_solver_optimal_all_running,solver_optimal_all_running_within_rate,admitted_pods_pct_sum_solver_optimal,admitted_pods_pct_sum_solver_feasible
90.0,4,16,4,1,1,nodes4_pods16_prio1_util090_timeout01,100,78,22,0.2200,75,0.7500,3,0.0300,1,0.0100,72,0.7200,2,0.0200,74,0.7400,0,0.0000,11599.0,154.6533,6.365,7.129,0.0816,0.0914,16,75,781.25,0.0,62.5,0.0,2,1.0,70,0.9722,575.0,25.0
90.0,4,16,4,1,10,nodes4_pods16_prio1_util090_timeout10,100,77,23,0.2300,75,0.7500,2,0.0200,0,0.0000,75,0.7500,0,0.0000,75,0.7500,0,0.0000,13313.0,177.5067,6.386,7.037,0.0829,0.0914,16,75,837.5,6.25,0.0,0.0,0,,73,0.9733,606.25,0.0
90.0,4,16,4,1,20,nodes4_pods16_prio1_util090_timeout20,100,77,23,0.2300,75,0.7500,2,0.0200,0,0.0000,75,0.7500,0,0.0000,75,0.7500,0,0.0000,13462.0,179.4933,6.33,7.07,0.0822,0.0918,16,75,831.25,12.5,0.0,0.0,0,,73,0.9733,606.25,0.0
90.0,4,16,4,2,1,nodes4_pods16_prio2_util090_timeout01,100,76,24,0.2400,64,0.6400,12,0.1200,14,0.1400,50,0.5000,0,0.0000,50,0.5000,0,0.0000,11162.0,174.4062,3.602,4.117,0.0474,0.0542,16,64,543.75,18.75,0.0,0.0,0,,43,0.86,362.5,0.0
90.0,4,16,4,2,10,nodes4_pods16_prio2_util090_timeout10,100,76,24,0.2400,64,0.6400,12,0.1200,14,0.1400,50,0.5000,0,0.0000,50,0.5000,0,0.0000,10147.0,158.5469,3.602,4.117,0.0474,0.0542,16,64,543.75,18.75,0.0,0.0,0,,43,0.86,362.5,0.0
90.0,4,16,4,2,20,nodes4_pods16_prio2_util090_timeout20,100,77,23,0.2300,65,0.6500,12,0.1200,15,0.1500,50,0.5000,0,0.0000,50,0.5000,0,0.0000,10363.0,159.4308,3.602,4.117,0.0468,0.0535,16,65,543.75,18.75,0.0,0.0,0,,43,0.86,362.5,0.0
90.0,4,16,4,4,1,nodes4_pods16_prio4_util090_timeout01,100,77,23,0.2300,58,0.5800,20,0.2000,34,0.3400,23,0.2300,0,0.0000,23,0.2300,0,0.0000,8168.0,140.8276,1.596,1.308,0.0207,0.017,16,58,287.5,31.25,0.0,0.0,0,,15,0.6522,156.25,0.0
90.0,4,16,4,4,10,nodes4_pods16_prio4_util090_timeout10,100,77,23,0.2300,62,0.6200,16,0.1600,36,0.3600,25,0.2500,0,0.0000,25,0.2500,0,0.0000,9447.0,152.371,1.771,1.735,0.023,0.0225,16,62,306.25,37.5,0.0,0.0,0,,17,0.68,168.75,0.0
90.0,4,16,4,4,20,nodes4_pods16_prio4_util090_timeout20,100,77,23,0.2300,61,0.6100,17,0.1700,36,0.3600,24,0.2400,0,0.0000,24,0.2400,0,0.0000,9509.0,155.8852,1.689,1.656,0.0219,0.0215,16,61,300.0,37.5,0.0,0.0,0,,17,0.7083,162.5,0.0
90.0,4,32,8,1,1,nodes4_pods32_prio1_util090_timeout01,100,22,78,0.7800,19,0.1900,3,0.0300,3,0.0300,16,0.1600,0,0.0000,16,0.1600,0,0.0000,4145.0,218.1579,0.725,0.784,0.033,0.0356,32,19,50.0,0.0,0.0,0.0,0,,16,1.0,50.0,0.0
90.0,4,32,8,1,10,nodes4_pods32_prio1_util090_timeout10,100,22,78,0.7800,20,0.2000,2,0.0200,3,0.0300,17,0.1700,0,0.0000,17,0.1700,0,0.0000,4222.0,211.1,0.725,0.784,0.033,0.0356,32,20,53.125,0.0,0.0,0.0,0,,17,1.0,53.125,0.0
90.0,4,32,8,1,20,nodes4_pods32_prio1_util090_timeout20,100,20,80,0.8000,16,0.1600,4,0.0400,1,0.0100,15,0.1500,0,0.0000,15,0.1500,0,0.0000,3447.0,215.4375,0.725,0.784,0.0363,0.0392,32,16,46.875,0.0,0.0,0.0,0,,15,1.0,46.875,0.0
90.0,4,32,8,2,1,nodes4_pods32_prio2_util090_timeout01,100,21,79,0.7900,20,0.2000,1,0.0100,9,0.0900,11,0.1100,0,0.0000,11,0.1100,0,0.0000,3850.0,192.5,0.505,0.532,0.024,0.0253,32,20,34.375,0.0,0.0,0.0,0,,11,1.0,34.375,0.0
90.0,4,32,8,2,10,nodes4_pods32_prio2_util090_timeout10,100,21,79,0.7900,20,0.2000,1,0.0100,9,0.0900,11,0.1100,0,0.0000,11,0.1100,0,0.0000,4930.0,246.5,0.505,0.532,0.024,0.0253,32,20,34.375,0.0,0.0,0.0,0,,11,1.0,34.375,0.0
90.0,4,32,8,2,20,nodes4_pods32_prio2_util090_timeout20,100,17,83,0.8300,17,0.1700,0,0.0000,5,0.0500,12,0.1200,0,0.0000,12,0.1200,0,0.0000,3817.0,224.5294,0.505,0.532,0.0297,0.0313,32,17,37.5,0.0,0.0,0.0,0,,12,1.0,37.5,0.0
90.0,4,32,8,4,1,nodes4_pods32_prio4_util090_timeout01,100,18,82,0.8200,15,0.1500,3,0.0300,9,0.0900,6,0.0600,0,0.0000,6,0.0600,0,0.0000,3194.0,212.9333,0.332,0.288,0.0184,0.016,32,15,18.75,0.0,0.0,0.0,0,,6,1.0,18.75,0.0
90.0,4,32,8,4,10,nodes4_pods32_prio4_util090_timeout10,100,20,80,0.8000,18,0.1800,2,0.0200,12,0.1200,6,0.0600,0,0.0000,6,0.0600,0,0.0000,4134.0,229.6667,0.362,0.337,0.0181,0.0169,32,18,18.75,0.0,0.0,0.0,0,,6,1.0,18.75,0.0
90.0,4,32,8,4,20,nodes4_pods32_prio4_util090_timeout20,100,18,82,0.8200,17,0.1700,1,0.0100,10,0.1000,7,0.0700,0,0.0000,7,0.0700,0,0.0000,3654.0,214.9412,0.31,0.289,0.0172,0.0161,32,17,21.875,0.0,0.0,0.0,0,,7,1.0,21.875,0.0
90.0,8,32,4,1,1,nodes8_pods32_prio1_util090_timeout01,100,96,4,0.0400,95,0.9500,1,0.0100,0,0.0000,83,0.8300,12,0.1200,95,0.9500,0,0.0000,21706.0,228.4842,7.434,7.339,0.0774,0.0764,32,95,578.125,0.0,175.0,0.0,12,1.0,83,1.0,506.25,131.25
90.0,8,32,4,1,10,nodes8_pods32_prio1_util090_timeout10,100,96,4,0.0400,95,0.9500,1,0.0100,0,0.0000,95,0.9500,0,0.0000,95,0.9500,0,0.0000,28758.0,302.7158,7.39,7.251,0.077,0.0755,32,95,750.0,0.0,0.0,0.0,0,,95,1.0,640.625,0.0
90.0,8,32,4,1,20,nodes8_pods32_prio1_util090_timeout20,100,96,4,0.0400,96,0.9600,0,0.0000,0,0.0000,96,0.9600,0,0.0000,96,0.9600,0,0.0000,25592.0,266.5833,7.434,7.339,0.0774,0.0764,32,96,759.375,0.0,0.0,0.0,0,,96,1.0,646.875,0.0
90.0,8,32,4,2,1,nodes8_pods32_prio2_util090_timeout01,100,96,4,0.0400,95,0.9500,1,0.0100,6,0.0600,84,0.8400,5,0.0500,89,0.8900,0,0.0000,21494.0,226.2526,5.304,5.329,0.0553,0.0555,32,95,728.125,21.875,90.625,3.125,4,0.8,75,0.8929,456.25,31.25
90.0,8,32,4,2,10,nodes8_pods32_prio2_util090_timeout10,100,96,4,0.0400,95,0.9500,1,0.0100,5,0.0500,90,0.9000,0,0.0000,90,0.9000,0,0.0000,23363.0,245.9263,5.449,5.394,0.0568,0.0562,32,95,850.0,25.0,0.0,0.0,0,,81,0.9,490.625,0.0
90.0,8,32,4,2,20,nodes8_pods32_prio2_util090_timeout20,100,96,4,0.0400,96,0.9600,0,0.0000,5,0.0500,91,0.9100,0,0.0000,91,0.9100,0,0.0000,26866.0,279.8542,5.473,5.488,0.057,0.0572,32,96,837.5,21.875,0.0,0.0,0,,82,0.9011,496.875,0.0
90.0,8,32,4,4,1,nodes8_pods32_prio4_util090_timeout01,100,96,4,0.0400,92,0.9200,7,0.0700,30,0.3000,58,0.5800,1,0.0100,59,0.5900,0,0.0000,16910.0,183.8043,2.987,3.106,0.0311,0.0324,32,92,450.0,71.875,18.75,0.0,1,1.0,30,0.5172,281.25,6.25
90.0,8,32,4,4,10,nodes8_pods32_prio4_util090_timeout10,100,95,5,0.0500,90,0.9000,7,0.0700,29,0.2900,59,0.5900,0,0.0000,59,0.5900,0,0.0000,17410.0,193.4444,2.929,3.033,0.0308,0.0319,32,90,475.0,78.125,0.0,0.0,0,,31,0.5254,278.125,0.0
90.0,8,32,4,4,20,nodes8_pods32_prio4_util090_timeout20,100,96,4,0.0400,91,0.9100,7,0.0700,29,0.2900,60,0.6000,0,0.0000,60,0.6000,0,0.0000,17560.0,192.967,3.089,3.235,0.0322,0.0337,32,91,506.25,71.875,0.0,0.0,0,,33,0.55,290.625,0.0
90.0,8,64,8,1,1,nodes8_pods64_prio1_util090_timeout01,100,45,55,0.5500,35,0.3500,10,0.1000,7,0.0700,28,0.2800,0,0.0000,28,0.2800,0,-0.0000,6239.0,178.2571,0.858,0.934,0.0191,0.0208,64,35,53.125,0.0,0.0,0.0,0,,28,1.0,54.6875,0.0
90.0,8,64,8,1,10,nodes8_pods64_prio1_util090_timeout10,100,41,59,0.5900,29,0.2900,12,0.1200,3,0.0300,26,0.2600,0,0.0000,26,0.2600,0,0.0000,5263.0,181.4828,0.858,0.934,0.0209,0.0228,64,29,50.0,0.0,0.0,0.0,0,,26,1.0,50.0,0.0
90.0,8,64,8,1,20,nodes8_pods64_prio1_util090_timeout20,100,43,57,0.5700,33,0.3300,10,0.1000,5,0.0500,28,0.2800,0,0.0000,28,0.2800,0,0.0000,6027.0,182.6364,0.858,0.934,0.02,0.0217,64,33,53.125,0.0,0.0,0.0,0,,28,1.0,54.6875,0.0
90.0,8,64,8,2,1,nodes8_pods64_prio2_util090_timeout01,100,36,64,0.6400,29,0.2900,7,0.0700,18,0.1800,11,0.1100,0,0.0000,11,0.1100,0,0.0000,4975.0,171.5517,0.333,0.334,0.0093,0.0093,64,29,18.75,0.0,0.0,0.0,0,,11,1.0,17.1875,0.0
90.0,8,64,8,2,10,nodes8_pods64_prio2_util090_timeout10,100,46,54,0.5400,41,0.4100,5,0.0500,28,0.2800,13,0.1300,0,0.0000,13,0.1300,0,0.0000,6462.0,157.6098,0.333,0.334,0.0072,0.0073,64,41,23.4375,0.0,0.0,0.0,0,,13,1.0,20.3125,0.0
90.0,8,64,8,2,20,nodes8_pods64_prio2_util090_timeout20,100,41,59,0.5900,36,0.3600,5,0.0500,23,0.2300,13,0.1300,0,0.0000,13,0.1300,0,0.0000,6382.0,177.2778,0.333,0.334,0.0081,0.0081,64,36,21.875,0.0,0.0,0.0,0,,13,1.0,20.3125,0.0
