pods_per_node,timeout_s,nodes,util,config_dir,default_all_running_rate,default_optimal_rate,solver_optimal_rate,solver_feasible_rate,solver_failed_rate,other_rate,solver_called_rate,solver_duration_ms_mean,cpu_delta_mean,mem_delta_mean,n_seeds
4,1,4,90.0,nodes4_pods16_prio1_util090_timeout01,23.0,0.0,72.0,2.0,3.0,0.0,77.0,975.6,0.082,0.092,100
4,1,4,95.0,nodes4_pods16_prio1_util095_timeout01,2.0,1.0,58.0,27.0,12.0,0.0,98.0,1252.9,0.086,0.082,100
4,1,4,100.0,nodes4_pods16_prio1_util100_timeout01,1.0,11.0,69.0,17.0,2.0,0.0,99.0,1270.6,0.080,0.075,100
4,1,4,105.0,nodes4_pods16_prio1_util105_timeout01,0.0,1.0,30.0,62.0,7.0,0.0,100.0,1314.3,0.087,0.075,100
4,1,8,90.0,nodes8_pods32_prio1_util090_timeout01,4.0,0.0,84.0,12.0,0.0,0.0,96.0,1235.8,0.077,0.076,100
4,1,8,95.0,nodes8_pods32_prio1_util095_timeout01,0.0,0.0,7.0,91.0,2.0,0.0,100.0,1746.7,0.110,0.111,100
4,1,8,100.0,nodes8_pods32_prio1_util100_timeout01,0.0,0.0,0.0,98.0,2.0,0.0,100.0,1673.8,0.113,0.108,100
4,1,8,105.0,nodes8_pods32_prio1_util105_timeout01,0.0,0.0,1.0,98.0,1.0,0.0,100.0,1671.5,0.106,0.103,100
4,1,16,90.0,nodes16_pods64_prio1_util090_timeout01,1.0,0.0,13.0,80.0,6.0,0.0,99.0,1800.4,0.067,0.060,100
4,1,16,95.0,nodes16_pods64_prio1_util095_timeout01,0.0,0.0,0.0,98.0,2.0,0.0,100.0,1682.2,0.074,0.073,100
4,1,16,100.0,nodes16_pods64_prio1_util100_timeout01,0.0,0.0,0.0,98.0,2.0,0.0,100.0,1706.1,0.072,0.070,100
4,1,16,105.0,nodes16_pods64_prio1_util105_timeout01,0.0,0.0,0.0,98.0,2.0,0.0,100.0,1676.3,0.062,0.068,100
4,1,32,90.0,nodes32_pods128_prio1_util090_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1258.9,0.001,0.002,100
4,1,32,95.0,nodes32_pods128_prio1_util095_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1293.5,0.001,0.001,100
4,1,32,100.0,nodes32_pods128_prio1_util100_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1278.5,0.000,0.001,100
4,1,32,105.0,nodes32_pods128_prio1_util105_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1282.6,0.000,0.000,100
4,1,64,90.0,nodes64_pods256_prio1_util090_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,-0.001,-0.001,100
4,1,64,95.0,nodes64_pods256_prio1_util095_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,-0.000,-0.000,100
4,1,64,100.0,nodes64_pods256_prio1_util100_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,-0.001,-0.001,100
4,1,64,105.0,nodes64_pods256_prio1_util105_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,0.001,0.001,100
4,10,4,90.0,nodes4_pods16_prio1_util090_timeout10,23.0,1.0,74.0,1.0,1.0,0.0,77.0,937.0,0.083,0.091,100
4,10,4,95.0,nodes4_pods16_prio1_util095_timeout10,2.0,4.0,68.0,17.0,9.0,0.0,98.0,2642.8,0.087,0.081,100
4,10,4,100.0,nodes4_pods16_prio1_util100_timeout10,1.0,12.0,82.0,4.0,1.0,0.0,99.0,1577.3,0.079,0.077,100
4,10,4,105.0,nodes4_pods16_prio1_util105_timeout10,0.0,4.0,68.0,24.0,4.0,0.0,100.0,3389.5,0.086,0.075,100
4,10,8,90.0,nodes8_pods32_prio1_util090_timeout10,4.0,0.0,94.0,1.0,1.0,0.0,96.0,1580.1,0.077,0.076,100
4,10,8,95.0,nodes8_pods32_prio1_util095_timeout10,0.0,0.0,23.0,77.0,0.0,0.0,100.0,8923.1,0.117,0.118,100
