pods_per_node,timeout_s,nodes,util,config_dir,default_all_running_rate,default_optimal_rate,solver_optimal_rate,solver_feasible_rate,solver_failed_rate,other_rate,solver_called_rate,solver_duration_ms_mean,cpu_delta_mean,mem_delta_mean,n_seeds
4,1,4,90.0,nodes4_pods16_prio1_util090_timeout01,23.0 ± 42.3,0.0 ± 0.0,72.0 ± 45.1,2.0 ± 14.1,3.0 ± 17.1,0.0 ± 0.0,77.0 ± 0.0,975.6 ± 176.0,0.082 ± 0.053,0.092 ± 0.050,100
4,1,4,95.0,nodes4_pods16_prio1_util095_timeout01,2.0 ± 14.1,1.0 ± 10.0,58.0 ± 49.6,27.0 ± 44.6,12.0 ± 32.7,0.0 ± 0.0,98.0 ± 0.0,1252.9 ± 232.9,0.086 ± 0.075,0.082 ± 0.067,100
4,1,4,100.0,nodes4_pods16_prio1_util100_timeout01,1.0 ± 10.0,11.0 ± 31.4,69.0 ± 46.5,17.0 ± 37.8,2.0 ± 14.1,0.0 ± 0.0,99.0 ± 0.0,1270.6 ± 254.7,0.080 ± 0.075,0.075 ± 0.073,100
4,1,4,105.0,nodes4_pods16_prio1_util105_timeout01,0.0 ± 0.0,1.0 ± 10.0,30.0 ± 46.1,62.0 ± 48.8,7.0 ± 25.6,0.0 ± 0.0,100.0 ± 0.0,1314.3 ± 222.6,0.087 ± 0.078,0.075 ± 0.068,100
4,1,8,90.0,nodes8_pods32_prio1_util090_timeout01,4.0 ± 19.7,0.0 ± 0.0,84.0 ± 36.8,12.0 ± 32.7,0.0 ± 0.0,0.0 ± 0.0,96.0 ± 0.0,1235.8 ± 256.5,0.077 ± 0.045,0.076 ± 0.043,100
4,1,8,95.0,nodes8_pods32_prio1_util095_timeout01,0.0 ± 0.0,0.0 ± 0.0,7.0 ± 25.6,91.0 ± 28.8,2.0 ± 14.1,0.0 ± 0.0,100.0 ± 0.0,1746.7 ± 157.0,0.110 ± 0.050,0.111 ± 0.051,100
4,1,8,100.0,nodes8_pods32_prio1_util100_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,98.0 ± 14.1,2.0 ± 14.1,0.0 ± 0.0,100.0 ± 0.0,1673.8 ± 89.6,0.113 ± 0.052,0.108 ± 0.054,100
4,1,8,105.0,nodes8_pods32_prio1_util105_timeout01,0.0 ± 0.0,0.0 ± 0.0,1.0 ± 10.0,98.0 ± 14.1,1.0 ± 10.0,0.0 ± 0.0,100.0 ± 0.0,1671.5 ± 95.6,0.106 ± 0.055,0.103 ± 0.049,100
4,1,16,90.0,nodes16_pods64_prio1_util090_timeout01,1.0 ± 10.0,0.0 ± 0.0,13.0 ± 33.8,80.0 ± 40.2,6.0 ± 23.9,0.0 ± 0.0,99.0 ± 0.0,1800.4 ± 138.2,0.067 ± 0.038,0.060 ± 0.034,100
4,1,16,95.0,nodes16_pods64_prio1_util095_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,98.0 ± 14.1,2.0 ± 14.1,0.0 ± 0.0,100.0 ± 0.0,1682.2 ± 107.4,0.074 ± 0.038,0.073 ± 0.039,100
4,1,16,100.0,nodes16_pods64_prio1_util100_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,98.0 ± 14.1,2.0 ± 14.1,0.0 ± 0.0,100.0 ± 0.0,1706.1 ± 94.2,0.072 ± 0.038,0.070 ± 0.038,100
4,1,16,105.0,nodes16_pods64_prio1_util105_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,98.0 ± 14.1,2.0 ± 14.1,0.0 ± 0.0,100.0 ± 0.0,1676.3 ± 100.3,0.062 ± 0.038,0.068 ± 0.042,100
4,1,32,90.0,nodes32_pods128_prio1_util090_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,1258.9 ± 69.0,0.001 ± 0.013,0.002 ± 0.012,100
4,1,32,95.0,nodes32_pods128_prio1_util095_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,1293.5 ± 70.5,0.001 ± 0.012,0.001 ± 0.012,100
4,1,32,100.0,nodes32_pods128_prio1_util100_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,1278.5 ± 82.3,0.000 ± 0.013,0.001 ± 0.013,100
4,1,32,105.0,nodes32_pods128_prio1_util105_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,1282.6 ± 84.5,0.000 ± 0.011,0.000 ± 0.011,100
4,1,64,90.0,nodes64_pods256_prio1_util090_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,-0.001 ± 0.006,-0.001 ± 0.006,100
4,1,64,95.0,nodes64_pods256_prio1_util095_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,-0.000 ± 0.008,-0.000 ± 0.007,100
