util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean
90.0,16,64,4,2,1,nodes16_pods64_prio2_util090_timeout01,100,99,1,0.0100,46,0.4600,55,0.5500,3,0.0300,29,0.2900,12,0.1200,41,0.4100,0,0.0000,55035.0,1196.413,0.627,0.88,0.0063,0.0089
90.0,16,64,4,2,10,nodes16_pods64_prio2_util090_timeout10,100,99,1,0.0100,80,0.8000,20,0.2000,1,0.0100,74,0.7400,4,0.0400,78,0.7800,0,0.0000,275758.0,3446.975,3.352,3.235,0.0339,0.0327
90.0,16,64,4,2,20,nodes16_pods64_prio2_util090_timeout20,100,99,1,0.0100,79,0.7900,21,0.2100,3,0.0300,75,0.7500,0,0.0000,75,0.7500,0,0.0000,230556.0,2918.4304,3.372,3.284,0.0341,0.0332
90.0,16,64,4,2,60,nodes16_pods64_prio2_util090_timeout60,100,99,1,0.0100,76,0.7600,23,0.2300,1,0.0100,74,0.7400,1,0.0100,75,0.7500,0,0.0000,334564.0,4402.1579,3.377,3.355,0.0341,0.0339
95.0,16,64,4,2,1,nodes16_pods64_prio2_util095_timeout01,100,100,0,0.0000,33,0.3300,71,0.7100,4,0.0400,13,0.1300,12,0.1200,25,0.2500,0,0.0000,46943.0,1422.5152,-0.49,-0.26,-0.0049,-0.0026
95.0,16,64,4,2,10,nodes16_pods64_prio2_util095_timeout10,100,100,0,0.0000,53,0.5300,50,0.5000,7,0.0700,17,0.1700,26,0.2600,43,0.4300,0,0.0000,339504.0,6405.7358,1.248,1.549,0.0125,0.0155
95.0,16,64,4,2,20,nodes16_pods64_prio2_util095_timeout20,100,100,0,0.0000,47,0.4700,55,0.5500,4,0.0400,22,0.2200,19,0.1900,41,0.4100,0,0.0000,407212.0,8664.0851,0.784,1.142,0.0078,0.0114
95.0,16,64,4,2,60,nodes16_pods64_prio2_util095_timeout60,100,100,0,0.0000,55,0.5500,48,0.4800,6,0.0600,28,0.2800,18,0.1800,46,0.4600,0,0.0000,1127511.0,20500.2,1.427,1.453,0.0143,0.0145
100.0,16,64,4,2,1,nodes16_pods64_prio2_util100_timeout01,100,100,0,0.0000,37,0.3700,72,0.7200,5,0.0500,12,0.1200,11,0.1100,23,0.2300,0,0.0000,53289.0,1440.2432,-1.264,-1.069,-0.0126,-0.0107
100.0,16,64,4,2,10,nodes16_pods64_prio2_util100_timeout10,100,100,0,0.0000,37,0.3700,66,0.6600,2,0.0200,16,0.1600,16,0.1600,32,0.3200,0,0.0000,210489.0,5688.8919,-0.402,-0.511,-0.004,-0.0051
100.0,16,64,4,2,20,nodes16_pods64_prio2_util100_timeout20,100,100,0,0.0000,39,0.3900,64,0.6400,4,0.0400,18,0.1800,14,0.1400,32,0.3200,0,0.0000,324433.0,8318.7949,-0.15,-0.07,-0.0015,-0.0007
100.0,16,64,4,2,60,nodes16_pods64_prio2_util100_timeout60,100,100,0,0.0000,40,0.4000,64,0.6400,4,0.0400,19,0.1900,13,0.1300,32,0.3200,0,0.0000,730606.0,18265.15,-0.12,0.359,-0.0012,0.0036
105.0,16,64,4,2,1,nodes16_pods64_prio2_util105_timeout01,100,100,0,0.0000,34,0.3400,71,0.7100,4,0.0400,17,0.1700,8,0.0800,25,0.2500,0,0.0000,38510.0,1132.6471,-0.844,-0.892,-0.0084,-0.0089
105.0,16,64,4,2,10,nodes16_pods64_prio2_util105_timeout10,100,100,0,0.0000,41,0.4100,64,0.6400,2,0.0200,25,0.2500,9,0.0900,34,0.3400,0,0.0000,175001.0,4268.3171,-0.065,-0.265,-0.0007,-0.0026
105.0,16,64,4,2,20,nodes16_pods64_prio2_util105_timeout20,100,100,0,0.0000,35,0.3500,68,0.6800,1,0.0100,17,0.1700,14,0.1400,31,0.3100,0,0.0000,305460.0,8727.4286,0.048,-0.145,0.0005,-0.0014
105.0,16,64,4,2,60,nodes16_pods64_prio2_util105_timeout60,100,100,0,0.0000,39,0.3900,65,0.6500,2,0.0200,19,0.1900,14,0.1400,33,0.3300,0,0.0000,791880.0,20304.6154,0.058,-0.202,0.0006,-0.002
