util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean
90.0,16,64,4,2,1,nodes16_pods64_prio2_util090_timeout01,100,99,1,0.0100,55,0.5500,59,0.5900,0,0.0000,4,0.0400,36,0.3600,40,0.4000,0,0.0000,99494.0,1808.9818,0.552,0.761,0.0056,0.0077
90.0,16,64,4,2,10,nodes16_pods64_prio2_util090_timeout10,100,99,1,0.0100,92,0.9200,19,0.1900,0,0.0000,32,0.3200,48,0.4800,80,0.8000,0,0.0000,783996.0,8521.6957,3.561,3.264,0.036,0.033
90.0,16,64,4,2,20,nodes16_pods64_prio2_util090_timeout20,100,99,1,0.0100,85,0.8500,20,0.2000,0,0.0000,46,0.4600,33,0.3300,79,0.7900,0,0.0000,1195037.0,14059.2588,3.354,3.232,0.0339,0.0326
95.0,16,64,4,2,1,nodes16_pods64_prio2_util095_timeout01,100,100,0,0.0000,88,0.8800,43,0.4300,0,0.0000,0,0.0000,57,0.5700,57,0.5700,0,0.0000,167903.0,1907.9886,1.695,1.674,0.017,0.0167
95.0,16,64,4,2,10,nodes16_pods64_prio2_util095_timeout10,100,100,0,0.0000,85,0.8500,34,0.3400,0,0.0000,2,0.0200,64,0.6400,66,0.6600,0,0.0000,897110.0,10554.2353,2.19,2.062,0.0219,0.0206
95.0,16,64,4,2,20,nodes16_pods64_prio2_util095_timeout20,100,100,0,0.0000,89,0.8900,33,0.3300,0,0.0000,4,0.0400,63,0.6300,67,0.6700,0,0.0000,1778841.0,19986.9775,2.56,2.241,0.0256,0.0224
100.0,16,64,4,2,1,nodes16_pods64_prio2_util100_timeout01,100,100,0,0.0000,97,0.9700,39,0.3900,0,0.0000,2,0.0200,59,0.5900,61,0.6100,0,0.0000,184281.0,1899.8041,1.948,1.767,0.0195,0.0177
100.0,16,64,4,2,10,nodes16_pods64_prio2_util100_timeout10,100,100,0,0.0000,97,0.9700,26,0.2600,0,0.0000,5,0.0500,69,0.6900,74,0.7400,0,0.0000,1013630.0,10449.7938,2.36,2.467,0.0236,0.0247
100.0,16,64,4,2,20,nodes16_pods64_prio2_util100_timeout20,100,100,0,0.0000,96,0.9600,24,0.2400,0,0.0000,6,0.0600,70,0.7000,76,0.7600,0,0.0000,1886114.0,19647.0208,3.023,2.846,0.0302,0.0285
105.0,16,64,4,2,1,nodes16_pods64_prio2_util105_timeout01,100,100,0,0.0000,99,0.9900,28,0.2800,0,0.0000,2,0.0200,70,0.7000,72,0.7200,0,0.0000,187575.0,1894.697,2.091,2.205,0.0209,0.0221
105.0,16,64,4,2,10,nodes16_pods64_prio2_util105_timeout10,100,100,0,0.0000,100,1.0000,15,0.1500,0,0.0000,6,0.0600,79,0.7900,85,0.8500,0,0.0000,1038073.0,10380.73,3.434,3.441,0.0343,0.0344
105.0,16,64,4,2,20,nodes16_pods64_prio2_util105_timeout20,100,100,0,0.0000,100,1.0000,14,0.1400,0,0.0000,7,0.0700,79,0.7900,86,0.8600,0,0.0000,1974750.0,19747.5,3.673,3.686,0.0367,0.0369
