file,function,line,expected_test_name,matched_tests,has_test,checked
pkg/mypriorityoptimizer/loop_helpers.go,buildPendingSnapshot,285,TestBuildPendingSnapshot,"[""TestBuildPendingSnapshot"",""TestBuildPendingSnapshot_NodesErrorPropagated"",""TestBuildPendingSnapshot_PodsErrorPropagated""]",1,0
pkg/mypriorityoptimizer/loop_helpers.go,cloneUIDSet,252,TestCloneUIDSet,"[""TestCloneUIDSet_Independence"",""TestCloneUIDSet_Nil""]",1,0
pkg/mypriorityoptimizer/loop_helpers.go,isAlreadyComputedForPendingSet,269,TestIsAlreadyComputedForPendingSet,"[""TestIsAlreadyComputedForPendingSet_BestAttemptNil"",""TestIsAlreadyComputedForPendingSet_NonOptimalStatus"",""TestIsAlreadyComputedForPendingSet_OptimalWithNoImprovementErr"",""TestIsAlreadyComputedForPendingSet_OptimalWithNoPendingPodsErr"",""TestIsAlreadyComputedForPendingSet_OptimalWithOtherError""]",1,0
pkg/mypriorityoptimizer/loop_helpers.go,isSameUIDSet,233,TestIsSameUIDSet,"[""TestIsSameUIDSet_DifferentElements"",""TestIsSameUIDSet_DifferentLengths"",""TestIsSameUIDSet_NilVsNil"",""TestIsSameUIDSet_NilVsNonNil"",""TestIsSameUIDSet_SameElements""]",1,0
pkg/mypriorityoptimizer/loop_helpers.go,optimizeBackgroundLoop,66,TestOptimizeBackgroundLoop,"[""TestOptimizeBackgroundLoop_BranchScript"",""TestOptimizeBackgroundLoop_DefaultInterval_ImmediateCancel""]",1,0
pkg/mypriorityoptimizer/loop_helpers.go,startLoops,52,TestStartLoops,"[""TestStartLoops_DoesNothingWhenNotReady"",""TestStartLoops_LaunchesInterludeLoopWhenModeInterlude"",""TestStartLoops_LaunchesPeriodicLoopWhenModePeriodic""]",1,0
pkg/mypriorityoptimizer/loop_interlude.go,loopInterlude,14,TestLoopInterlude,[],0,0
pkg/mypriorityoptimizer/loop_periodic.go,loopPeriodic,14,TestLoopPeriodic,[],0,0
pkg/mypriorityoptimizer/optimization_flow.go,runOptimizationFlow,52,TestRunOptimizationFlow,"[""TestRunOptimizationFlow_ActivePlanAlreadyInProgress_NonAsync"",""TestRunOptimizationFlow_Async_ActivePlanInProgressAtApply"",""TestRunOptimizationFlow_NonAsync_Scenarios"",""TestRunOptimizationFlow_OptimizationInProgress""]",1,0
pkg/mypriorityoptimizer/plan_activation.go,planActivation,33,TestPlanActivation,"[""TestPlanActivation_MovesEvictsButNoResolvedTargets_SkipsEvictWait_StillActivates"",""TestPlanActivation_NilPlan"",""TestPlanActivation_NoMovesOrEvicts_OnlyActivates"",""TestPlanActivation_TargetFlowErrors_StopProgression"",""TestPlanActivation_WithTargets_Dedup_EvictWait_Activate_UsesWithoutCancel""]",1,0
pkg/mypriorityoptimizer/plan_completion_watch.go,planCompletionWatch,56,TestPlanCompletionWatch,"[""TestPlanCompletionWatch_ActivePlanClearedStopsWatcher"",""TestPlanCompletionWatch_ActivePlanIDMismatchStopsWatcher"",""TestPlanCompletionWatch_CancelledContextDoesNotSettlePlan"",""TestPlanCompletionWatch_IntervalNonPositive_DefaultsAndStillExits"",""TestPlanCompletionWatch_IsPlanCompletedError_RetriesThenCompletes"",""TestPlanCompletionWatch_PlanCompletesSuccessfully"",""TestPlanCompletionWatch_TimeoutButPlanReplaced_DoesNotSettleFailed"",""TestPlanCompletionWatch_TimeoutMarksPlanFailed""]",1,0
pkg/mypriorityoptimizer/plan_completion_watch.go,startPlanCompletionWatch,46,TestStartPlanCompletionWatch,"[""TestStartPlanCompletionWatch_NilActivePlan"",""TestStartPlanCompletionWatch_SpawnsWatcher""]",1,0
pkg/mypriorityoptimizer/plan_computation.go,planComputation,41,TestPlanComputation,"[""TestPlanComputation_ErrorWithNonNilOutput_RecordsStatusAndScore"",""TestPlanComputation_NilOutputNoError_IsFailedAttempt"",""TestPlanComputation_NoEnabledSolvers"",""TestPlanComputation_NotUsableStatus_AttemptRecorded_NoBest"",""TestPlanComputation_UsableButNotImproving_NoBest"",""TestPlanComputation_UsesRunPythonSolverFnWhenHookNil_AndImproves""]",1,0
pkg/mypriorityoptimizer/plan_context.go,planContext,23,TestPlanContext,"[""TestPlanContext""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,activatePlannedPods,528,TestActivatePlannedPods,"[""TestActivatePlannedPods_AllowButNoMatchingPending_NoActivation"",""TestActivatePlannedPods_Guards"",""TestActivatePlannedPods_HookAndDefaultPaths"",""TestActivatePlannedPods_NoNewlyScheduledPlacements_NoActivation""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,activatePods,472,TestActivatePods,"[""TestActivatePods_NilOrEmptySetDoesNothing"",""TestActivatePods_PruneNotFound_ConservativeOnListerErr"",""TestActivatePods_SortsLimitsAndRemovesActivated""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,buildPlan,235,TestBuildPlan,"[""TestBuildPlan_CoversBranches"",""TestBuildPlan_NilOutputReturnsEmptyPlan"",""TestBuildPlan_PreemptorAlreadyAssigned_NoMovesButPlacementRecorded"",""TestBuildPlan_PreemptorDeleted_IsIgnored"",""TestBuildPlan_PreemptorNotInPodsStillNominates"",""TestBuildPlan_WithPreemptorNomination""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,buildWorkloadQuotas,352,TestBuildWorkloadQuotas,"[""TestBuildWorkloadQuotas_NilAndCounts""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,checkPinnedPodsSatisfied,610,TestCheckPinnedPodsSatisfied,[],0,0
pkg/mypriorityoptimizer/plan_helpers.go,checkQuotasSatisfied,648,TestCheckQuotasSatisfied,[],0,0
pkg/mypriorityoptimizer/plan_helpers.go,clusterFingerprint,989,TestClusterFingerprint,"[""TestClusterFingerprint_DedupesUsableNodes_AndHandlesNoUsableNodes"",""TestClusterFingerprint_Deterministic_ExcludesPending_AndUnusableNodes"",""TestClusterFingerprint_IgnoresDeletedPods_AndNilNodes"",""TestClusterFingerprint_NodeCapacityChangeAffectsFingerprint"",""TestClusterFingerprint_SortTieBreakersCovered""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,collectEvictions,209,TestCollectEvictions,"[""TestCollectEvictions_NilOrEmpty"",""TestCollectEvictions_SkipsMissingPendingAndDeleting""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,collectOldPlacements,197,TestCollectOldPlacements,[],0,0
pkg/mypriorityoptimizer/plan_helpers.go,computePlanPodCounts,861,TestComputePlanPodCounts,"[""TestComputePlanPodCounts"",""TestComputePlanPodCounts_ClampsNegative"",""TestComputePlanPodCounts_IgnoresPendingEvictions_AndRunningPlacements""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,computeWorkloadStatus,587,TestComputeWorkloadStatus,[],0,0
pkg/mypriorityoptimizer/plan_helpers.go,evictTargets,383,TestEvictTargets,"[""TestEvictTargets_NotFoundIgnored_NonNotFoundPropagates"",""TestEvictTargets_UsesHook""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,exportPlanToConfigMap,914,TestExportPlanToConfigMap,"[""TestExportPlanToConfigMap_DefaultPath_CreateErrorPropagates"",""TestExportPlanToConfigMap_DefaultPath_CreatesConfigMap"",""TestExportPlanToConfigMap_DefaultPath_PruneDeleteErrorPropagates"",""TestExportPlanToConfigMap_UsesHook""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,filterNodes,814,TestFilterNodes,[],0,0
pkg/mypriorityoptimizer/plan_helpers.go,increaseWorkloadQuota,122,TestIncreaseWorkloadQuota,"[""TestIncreaseWorkloadQuota""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,indexPodsForPlan,188,TestIndexPodsForPlan,[],0,0
pkg/mypriorityoptimizer/plan_helpers.go,isPlanCompleted,695,TestIsPlanCompleted,"[""TestIsPlanCompleted_CoreCases"",""TestIsPlanCompleted_ErrorPaths"",""TestIsPlanCompleted_GetPodsErrorPropagates"",""TestIsPlanCompleted_NilPlan"",""TestIsPlanCompleted_PinnedCorrectNode_Succeeds"",""TestIsPlanCompleted_QuotaZero_IsSatisfiedBranch"",""TestIsPlanCompleted_UsesHook""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,isPlanPodMove,169,TestIsPlanPodMove,[],0,0
pkg/mypriorityoptimizer/plan_helpers.go,isPlanPodNewlyScheduled,179,TestIsPlanPodNewlyScheduled,[],0,0
pkg/mypriorityoptimizer/plan_helpers.go,isPlanPodPlacementChanged,174,TestIsPlanPodPlacementChanged,[],0,0
pkg/mypriorityoptimizer/plan_helpers.go,isPlanPodUnscheduled,163,TestIsPlanPodUnscheduled,[],0,0
pkg/mypriorityoptimizer/plan_helpers.go,isPodAllowedByPlan,771,TestIsPodAllowedByPlan,"[""TestIsPodAllowedByPlan_AndFilterNodes"",""TestIsPodAllowedByPlan_MissingWorkload_QuotaZero_NodeNotInQuota""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,makeNewPlacement,111,TestMakeNewPlacement,[],0,0
pkg/mypriorityoptimizer/plan_helpers.go,makePlacement,101,TestMakePlacement,[],0,0
pkg/mypriorityoptimizer/plan_helpers.go,onPlanCompleted,729,TestOnPlanCompleted,"[""TestOnPlanCompleted_CASFail_ReturnsFalseAndKeepsState"",""TestOnPlanCompleted_HookAndDefaultPaths""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,podKey,87,TestPodKey,[],0,0
pkg/mypriorityoptimizer/plan_helpers.go,setActivePlan,323,TestSetActivePlan,"[""TestSetActivePlan_NilPlan_NoActivePlanStored"",""TestSetActivePlan_ReplacesOldAndInitializesQuotas""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,setPlanStatusInConfigMap,947,TestSetPlanStatusInConfigMap,"[""TestSetPlanStatusInConfigMap_Default_SetsAndStickyAndBadJson"",""TestSetPlanStatusInConfigMap_UsesHook""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,sortPlacementsByPod,131,TestSortPlacementsByPod,"[""TestSortPlacementsByPod""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,sortPodSetItemsByPriorityAndCreation,145,TestSortPodSetItemsByPriorityAndCreation,"[""TestSortPodSetItemsByPriorityAndCreation""]",1,0
pkg/mypriorityoptimizer/plan_helpers.go,toPlanPod,92,TestToPlanPod,[],0,0
