column,dist,xmin_q,n,k_params,loglik,aic,bic,xmin,params,notes,avg_nll,rank_score
cpu_request,lognorm,0.0,100000,2,353336.364000554,-706668.728001108,-706649.7021501781,0.0,"(1.057803705205324, 0.0, 0.006680937509147234)",full; fix_loc0,-3.53336364000554,-706668.728001108
cpu_request,expon,0.01,99270,1,348359.647399016,-696717.294798032,-696707.7891993425,0.0007047653198242,"(0.0007047653198242, 0.011007111288935102)",tail; floc=xmin (support=xmin),-3.5092137342501863,-696717.294798032
cpu_request,weibull_min,0.0,100000,2,345632.86509090813,-691261.7301818163,-691242.7043308864,0.0,"(0.9549678292051657, 0.0, 0.011350005243333069)",full; fix_loc0,-3.4563286509090814,-691261.7301818163
cpu_request,gamma,0.0,100000,2,345459.91323959036,-690915.8264791807,-690896.8006282508,0.0,"(1.0369370819089143, 0.0, 0.011215561873168672)",full; fix_loc0,-3.4545991323959035,-690915.8264791807
cpu_request,expon,0.0,100000,1,345418.17578927526,-690834.3515785505,-690824.8386530855,0.0,"(0.0, 0.0116298320007324)",full; fix_loc0,-3.4541817578927527,-690834.3515785505
cpu_request,pareto,0.1,93048,1,333770.69809384225,-667539.3961876845,-667529.9553169165,0.0020256042480468,"(0.7519999358459105, 0.0, 0.0020256042480468)","tail; floc=0,fscale=xmin (support=xmin)",-3.587080841005097,-667539.3961876845
cpu_request,expon,0.1,93048,1,331942.98408787255,-663883.9681757451,-663874.5273049771,0.0020256042480468,"(0.0020256042480468, 0.010384529375495008)",tail; floc=xmin (support=xmin),-3.567438140399284,-663883.9681757451
cpu_request,pareto,0.01,99270,1,314612.16405604925,-629222.3281120985,-629212.822513409,0.0007047653198242,"(0.4407161434409927, 0.0, 0.0007047653198242)","tail; floc=0,fscale=xmin (support=xmin)",-3.169257218253745,-629222.3281120985
cpu_request,pareto,0.0,100000,2,233550.48567680537,-467096.97135361074,-467077.9455026808,0.0,"(0.18768465362920622, 0.0, 3.24249267578125e-05)",full; fix_loc0,-2.3355048567680536,-467096.97135361074
inter_arrival_us,pareto,0.01,88483,1,-107661.4118846113,215324.8237692226,215334.21433494476,1.0,"(1.5407671883449503, 0.0, 1.0)","tail; floc=0,fscale=xmin (support=xmin)",1.2167468540240645,215324.8237692226
inter_arrival_us,pareto,0.1,88483,1,-107661.4118846113,215324.8237692226,215334.21433494476,1.0,"(1.5407671883449503, 0.0, 1.0)","tail; floc=0,fscale=xmin (support=xmin)",1.2167468540240645,215324.8237692226
inter_arrival_us,pareto,0.0,88483,2,-107661.4118846113,215326.8237692226,215345.6049006669,0.0,"(1.5407671883449503, 0.0, 1.0)",full; fix_loc0,1.2167468540240645,215326.8237692226
inter_arrival_us,lognorm,0.0,88483,2,-271434.9396096771,542873.8792193542,542892.6603507985,0.0,"(2.717425370018794, 0.0, 1.913678527866976)",full; fix_loc0,3.067650730758192,542873.8792193542
inter_arrival_us,weibull_min,0.0,88483,2,-318045.12326168193,636094.2465233639,636113.0276548081,0.0,"(0.20558176348467488, 0.0, 11.213206934011804)",full; fix_loc0,3.5944206600327964,636094.2465233639
inter_arrival_us,gamma,0.0,88483,2,-374565.85878112377,749135.7175622475,749154.4986936918,0.0,"(0.08144923059707122, 0.0, 645178.9858634492)",full; fix_loc0,4.233195741341543,749135.7175622475
inter_arrival_us,expon,0.01,88483,1,-1050247.962848756,2100497.925697512,2100507.3162632342,1.0,"(1.0, 52548.33199597663)",tail; floc=xmin (support=xmin),11.86948863452591,2100497.925697512
inter_arrival_us,expon,0.1,88483,1,-1050247.962848756,2100497.925697512,2100507.3162632342,1.0,"(1.0, 52548.33199597663)",tail; floc=xmin (support=xmin),11.86948863452591,2100497.925697512
inter_arrival_us,expon,0.0,88483,1,-1050249.6466730514,2100501.293346103,2100510.683911825,0.0,"(0.0, 52549.33199597663)",full; fix_loc0,11.8695076644446,2100501.293346103
life_time_us,pareto,0.1,90093,1,-2095309.8388563334,4190621.677712667,4190631.086310416,49000000.0,"(0.29913330499324353, 0.0, 49000000.0)","tail; floc=0,fscale=xmin (support=xmin)",23.257188004132768,4190621.677712667
life_time_us,pareto,0.01,99153,1,-2291121.1319864374,4582244.263972875,4582253.768392266,17000000.0,"(0.246450547441026, 0.0, 17000000.0)","tail; floc=0,fscale=xmin (support=xmin)",23.10692699148223,4582244.263972875
life_time_us,lognorm,0.0,100000,2,-2303082.8863440333,4606169.772688067,4606188.798538997,0.0,"(2.5778196331862095, 0.0, 943348551.3906304)",full; fix_loc0,23.030828863440334,4606169.772688067
life_time_us,expon,0.1,90093,1,-2309577.47347649,4619156.94695298,4619166.355550729,49000000.0,"(49000000.0, 50009655289.53415)",tail; floc=xmin (support=xmin),25.635481929522715,4619156.94695298
life_time_us,weibull_min,0.0,100000,2,-2321199.0864157225,4642402.172831445,4642421.198682375,0.0,"(0.3408426579058577, 0.0, 3753540497.8479915)",full; fix_loc0,23.211990864157226,4642402.172831445
life_time_us,gamma,0.0,100000,2,-2348354.607957458,4696713.215914916,4696732.2417658465,0.0,"(0.19157184544513225, 0.0, 235433536463.5703)",full; fix_loc0,23.48354607957458,4696713.215914916
life_time_us,pareto,0.0,100000,2,-2358911.2680909974,4717826.536181995,4717845.562032925,0.0,"(0.14599742580666544, 0.0, 1000000.0)",full; fix_loc0,23.589112680909974,4717826.536181995
life_time_us,expon,0.01,99153,1,-2532400.605332067,5064803.210664134,5064812.715083525,17000000.0,"(17000000.0, 45470639597.38989)",tail; floc=xmin (support=xmin),25.540332671044414,5064803.210664134
life_time_us,expon,0.0,100000,1,-2553220.21188022,5106442.42376044,5106451.936685905,0.0,"(0.0, 45102437060.0)",full; fix_loc0,25.5322021188022,5106442.42376044
mem_request,lognorm,0.0,100000,2,407954.0113740295,-815904.022748059,-815884.9968971291,0.0,"(1.0062133524295276, 0.0, 0.004067719418193963)",full; fix_loc0,-4.079540113740295,-815904.022748059
mem_request,lognorm,0.01,99000,2,406609.136690055,-813214.27338011,-813195.2676298518,0.000534048080444335,"(1.2222036490619765, 0.000534048080444335, 0.00325762450326922)",tail; floc=xmin (support=xmin),-4.107162996869243,-813214.27338011
mem_request,weibull_min,0.01,99000,2,399754.57684437354,-799505.1536887471,-799486.1479384889,0.000534048080444335,"(0.828342054773561, 0.000534048080444335, 0.0059610328966444494)",tail; floc=xmin (support=xmin),-4.037925018630036,-799505.1536887471
mem_request,gamma,0.01,99000,2,397272.1374217566,-794540.2748435132,-794521.2690932549,0.000534048080444335,"(0.8122098283440847, 0.000534048080444335, 0.008316622788945289)",tail; floc=xmin (support=xmin),-4.0128498729470365,-794540.2748435132
mem_request,expon,0.01,99000,1,395752.0628414037,-791502.1256828074,-791492.6228076783,0.000534048080444335,"(0.000534048080444335, 0.006754842767811757)",tail; floc=xmin (support=xmin),-3.997495584256603,-791502.1256828074
mem_request,weibull_min,0.0,100000,2,394015.0230352731,-788026.0460705461,-788007.0202196162,0.0,"(0.9143260153584714, 0.0, 0.006838121622559375)",full; fix_loc0,-3.9401502303527307,-788026.0460705461
