timestamp,event,pod_name,pod_uid,priority,time_s
2026/01/15/19:47:28,apply-time,rs-000064-dvb59,f7945b25-ab4c-4066-9f3c-71b037de41a2,1,14.228894
2026/01/15/19:47:28,running-time,rs-000064-dvb59,f7945b25-ab4c-4066-9f3c-71b037de41a2,1,14.228894
2026/01/15/19:47:28,apply-time,rs-000064-wfvgt,ad6b0494-1613-428c-b209-9cbd6428abc5,1,14.228894
2026/01/15/19:47:28,running-time,rs-000064-wfvgt,ad6b0494-1613-428c-b209-9cbd6428abc5,1,14.228894
2026/01/15/19:47:28,apply-time,rs-000065-dg6dv,d9fc2f01-b2fa-4319-a0a1-5b1358225bae,1,14.228894
2026/01/15/19:47:28,running-time,rs-000065-dg6dv,d9fc2f01-b2fa-4319-a0a1-5b1358225bae,1,14.228894
2026/01/15/19:47:29,apply-time,rs-000066-67cpq,ef142c22-afbf-49c7-8566-334c3091a725,1,15.228894
2026/01/15/19:47:29,running-time,rs-000066-67cpq,ef142c22-afbf-49c7-8566-334c3091a725,1,15.228894
2026/01/15/19:47:29,apply-time,rs-000066-kkdqx,d4d3239b-ebbe-4dd9-8fe7-85b9ca9a5612,1,15.228894
2026/01/15/19:47:29,running-time,rs-000066-kkdqx,d4d3239b-ebbe-4dd9-8fe7-85b9ca9a5612,1,15.228894
2026/01/15/19:47:29,apply-time,rs-000066-vkhjd,559b69a7-d600-4492-85fe-b2aa3fdf1336,1,14.228894
2026/01/15/19:47:29,running-time,rs-000066-vkhjd,559b69a7-d600-4492-85fe-b2aa3fdf1336,1,14.228894
2026/01/15/19:47:29,apply-time,rs-000067-7c5bn,0f8d1d92-794c-4df7-bed8-0b043bf5f1fa,1,14.228894
2026/01/15/19:47:29,running-time,rs-000067-7c5bn,0f8d1d92-794c-4df7-bed8-0b043bf5f1fa,1,14.228894
2026/01/15/19:47:29,apply-time,rs-000067-mzfrv,29075852-1db6-4878-a026-ceafa87e024e,1,15.228894
2026/01/15/19:47:29,running-time,rs-000067-mzfrv,29075852-1db6-4878-a026-ceafa87e024e,1,15.228894
2026/01/15/19:47:29,apply-time,rs-000067-rzf62,1ed171f1-3a80-4460-b176-4b5625ac21be,1,15.228894
2026/01/15/19:47:29,running-time,rs-000067-rzf62,1ed171f1-3a80-4460-b176-4b5625ac21be,1,15.228894
2026/01/15/19:47:29,apply-time,rs-000068-lvdtb,9e988b4e-26e1-4037-8836-d1f7e33acd2b,1,14.228894
2026/01/15/19:47:29,running-time,rs-000068-lvdtb,9e988b4e-26e1-4037-8836-d1f7e33acd2b,1,14.228894
2026/01/15/19:47:29,apply-time,rs-000069-5dpnj,df6e5a2e-1cb4-4fa9-82cd-166abec84c7c,1,14.228894
2026/01/15/19:47:29,running-time,rs-000069-5dpnj,df6e5a2e-1cb4-4fa9-82cd-166abec84c7c,1,14.228894
2026/01/15/19:47:30,apply-time,rs-000070-7z9nq,da4e7f28-2b4a-45ad-9adc-3bfe3ad17dbb,1,16.228894
2026/01/15/19:47:30,running-time,rs-000070-7z9nq,da4e7f28-2b4a-45ad-9adc-3bfe3ad17dbb,1,16.228894
2026/01/15/19:47:30,apply-time,rs-000071-5nw2p,02cfecc9-0bc0-4e33-9891-ec27013228b6,1,16.228894
2026/01/15/19:47:30,running-time,rs-000071-5nw2p,02cfecc9-0bc0-4e33-9891-ec27013228b6,1,16.228894
2026/01/15/19:47:30,apply-time,rs-000072-mp44k,b062a22f-60f3-494f-89c0-56fc5d43c9ca,1,16.228894
2026/01/15/19:47:31,apply-time,rs-000071-nn2q9,6fbc7e2a-2e8d-49a7-af00-a9c0187ae644,1,16.228894
2026/01/15/19:47:31,running-time,rs-000071-nn2q9,6fbc7e2a-2e8d-49a7-af00-a9c0187ae644,1,16.228894
2026/01/15/19:47:31,apply-time,rs-000072-58dfg,e4c36bea-6f44-4815-9770-a6bbb6a8690e,1,16.228894
2026/01/15/19:47:31,apply-time,rs-000072-lsxhc,e76f68cc-9531-446c-98b0-28b84a4e2665,1,16.228894
2026/01/15/19:49:11,apply-time,rs-000073-cgr2g,d6c6798a-9099-43bc-802d-adbf273e8115,1,117.228894
2026/01/15/19:49:11,running-time,rs-000073-cgr2g,d6c6798a-9099-43bc-802d-adbf273e8115,1,117.228894
2026/01/15/19:49:18,apply-time,rs-000074-cf9wf,489aba4d-0ab9-4e88-9979-fafc8e860fc9,1,123.228894
2026/01/15/19:49:18,running-time,rs-000074-cf9wf,489aba4d-0ab9-4e88-9979-fafc8e860fc9,1,123.228894
2026/01/15/19:49:18,apply-time,rs-000074-kbwp2,acf0d236-636b-4ad7-87be-6358d97e2f3b,1,123.228894
2026/01/15/19:49:18,running-time,rs-000074-kbwp2,acf0d236-636b-4ad7-87be-6358d97e2f3b,1,123.228894
2026/01/15/19:49:20,apply-time,rs-000075-s5tx5,3be4b44d-42f0-4590-8094-8a2e32092d5c,1,126.228894
2026/01/15/19:49:20,apply-time,rs-000076-hr594,4e4675be-3875-42bd-9c79-3b75241b6ba0,1,126.228894
2026/01/15/19:49:21,apply-time,rs-000075-4vg7l,c9102666-4ced-4ad1-862b-491531399723,1,126.228894
2026/01/15/19:49:21,running-time,rs-000075-4vg7l,c9102666-4ced-4ad1-862b-491531399723,1,126.228894
2026/01/15/19:49:21,apply-time,rs-000075-klrdd,c3d26aa1-3a04-477e-8eac-15d0f006fa97,1,126.228894
2026/01/15/19:49:21,running-time,rs-000075-klrdd,c3d26aa1-3a04-477e-8eac-15d0f006fa97,1,126.228894
2026/01/15/19:49:21,running-time,rs-000075-s5tx5,3be4b44d-42f0-4590-8094-8a2e32092d5c,1,126.228894
2026/01/15/19:49:21,apply-time,rs-000076-47gkt,6ad45e7a-3d6f-4a40-be7c-395280b8bf43,1,126.228894
2026/01/15/19:49:21,running-time,rs-000076-47gkt,6ad45e7a-3d6f-4a40-be7c-395280b8bf43,1,126.228894
2026/01/15/19:49:21,apply-time,rs-000076-7cskv,34fce769-8cdd-4b13-a9ae-6b3da3c89e9b,1,126.228894
2026/01/15/19:49:21,running-time,rs-000076-7cskv,34fce769-8cdd-4b13-a9ae-6b3da3c89e9b,1,126.228894
2026/01/15/19:49:21,running-time,rs-000076-hr594,4e4675be-3875-42bd-9c79-3b75241b6ba0,1,126.228894
2026/01/15/19:49:21,apply-time,rs-000077-c6dnc,6f4294e4-8430-4dd0-b141-350256aa7e69,1,126.228894
2026/01/15/19:49:21,apply-time,rs-000077-fjwx5,4c0e49eb-cd7c-4b5f-b5a6-dd79dc2d9dc4,1,126.228894
2026/01/15/19:49:21,apply-time,rs-000077-p8dll,ebfc04b4-279f-451f-bb5a-66b56bb7b7ce,1,126.228894
2026/01/15/19:49:21,apply-time,rs-000078-b5bck,56b0aa0d-d298-4785-b9b0-bcea65181fc4,1,126.228894
2026/01/15/19:49:21,running-time,rs-000078-b5bck,56b0aa0d-d298-4785-b9b0-bcea65181fc4,1,126.228894
2026/01/15/19:49:21,apply-time,rs-000079-8vkzh,16212434-1f71-41e4-b300-c338c168ecc4,1,127.228894
2026/01/15/19:49:21,running-time,rs-000079-8vkzh,16212434-1f71-41e4-b300-c338c168ecc4,1,127.228894
2026/01/15/19:49:21,apply-time,rs-000080-bscb4,aabe374a-f5cd-4b0f-bf6b-c0d30ade28c8,1,127.228894
2026/01/15/19:49:21,running-time,rs-000080-bscb4,aabe374a-f5cd-4b0f-bf6b-c0d30ade28c8,1,127.228894
2026/01/15/19:49:21,apply-time,rs-000081-h9fhg,3422a6e4-ffd7-4b3e-aad3-731c4bd07ae6,1,127.228894
2026/01/15/19:49:21,apply-time,rs-000081-s7k25,e2315a79-bbf6-4d7c-8467-ff28fbe2f20b,1,127.228894
2026/01/15/19:49:21,running-time,rs-000081-s7k25,e2315a79-bbf6-4d7c-8467-ff28fbe2f20b,1,127.228894
2026/01/15/19:49:22,apply-time,rs-000079-87rzn,14d184a0-66f8-44e0-8dfd-59c91087f46b,1,127.228894
2026/01/15/19:49:22,running-time,rs-000079-87rzn,14d184a0-66f8-44e0-8dfd-59c91087f46b,1,127.228894
2026/01/15/19:49:22,apply-time,rs-000082-7m8xn,20889482-5cbc-4f38-b5b7-095c1af1d50f,1,127.228894
2026/01/15/19:49:22,running-time,rs-000082-7m8xn,20889482-5cbc-4f38-b5b7-095c1af1d50f,1,127.228894
2026/01/15/19:49:22,apply-time,rs-000083-cxr4j,b15e95e2-b431-400f-92f0-d3817e4656cf,1,128.228894
2026/01/15/19:49:22,running-time,rs-000083-cxr4j,b15e95e2-b431-400f-92f0-d3817e4656cf,1,128.228894
2026/01/15/19:49:22,apply-time,rs-000083-qxlkk,035d2f0e-11c4-4578-8b19-4f4b7c422240,1,127.228894
2026/01/15/19:49:22,running-time,rs-000083-qxlkk,035d2f0e-11c4-4578-8b19-4f4b7c422240,1,127.228894
2026/01/15/19:49:22,apply-time,rs-000083-z97f4,93b4042c-6998-4edd-a1ed-f7dc63a46361,1,128.228894
2026/01/15/19:49:22,running-time,rs-000083-z97f4,93b4042c-6998-4edd-a1ed-f7dc63a46361,1,128.228894
2026/01/15/19:49:22,apply-time,rs-000084-4gc7v,bd053029-8b12-40ac-946a-b7cb1307ab9b,1,128.228894
2026/01/15/19:49:22,apply-time,rs-000084-6xms5,89c23321-5f29-4838-9c7c-b6e712ff966c,1,128.228894
2026/01/15/19:49:22,apply-time,rs-000084-p9cqh,b26d1f4f-3da6-4284-863a-be392bf90843,1,128.228894
2026/01/15/19:49:22,apply-time,rs-000085-n5ppz,8c1990c2-e715-4446-a092-26865811c4c5,1,128.228894
2026/01/15/19:49:22,running-time,rs-000085-n5ppz,8c1990c2-e715-4446-a092-26865811c4c5,1,128.228894
2026/01/15/19:49:23,apply-time,rs-000085-4xtml,d89eb6bb-54ce-4e9e-86a6-00642491beb5,1,128.228894
2026/01/15/19:49:23,running-time,rs-000085-4xtml,d89eb6bb-54ce-4e9e-86a6-00642491beb5,1,128.228894
2026/01/15/19:49:44,running-time,rs-000077-c6dnc,6f4294e4-8430-4dd0-b141-350256aa7e69,1,149.228894
2026/01/15/19:49:44,running-time,rs-000077-fjwx5,4c0e49eb-cd7c-4b5f-b5a6-dd79dc2d9dc4,1,149.228894
