timestamp,time_s,cpu_run_util,mem_run_util,cpu_req_util,mem_req_util,running_p1,unsched_p1,deletions_cum_p1
2026/01/15/19:47:26,2.725764,0.000000,0.000000,0.196437,0.143715,0,22,0
2026/01/15/19:47:27,3.725953,0.246438,0.207999,0.246438,0.207999,31,0,0
2026/01/15/19:47:28,4.726074,0.353375,0.271410,0.353375,0.271410,43,0,0
2026/01/15/19:47:29,5.726197,0.441750,0.315617,0.441750,0.315617,54,0,0
2026/01/15/19:47:30,6.726302,0.519250,0.367483,0.519250,0.367483,63,0,0
2026/01/15/19:47:31,7.726395,0.607375,0.473650,0.607375,0.473650,75,0,0
2026/01/15/19:47:32,8.726569,0.717437,0.583058,0.717437,0.583058,87,0,0
2026/01/15/19:47:33,9.726640,0.791000,0.650664,0.791000,0.650664,96,0,0
2026/01/15/19:47:34,10.726807,0.835625,0.713927,0.835625,0.713927,105,0,0
2026/01/15/19:47:35,11.726911,0.849875,0.742519,0.849875,0.742519,107,0,0
2026/01/15/19:47:36,12.727077,0.849875,0.742519,0.849875,0.742519,107,0,0
2026/01/15/19:47:37,13.727226,0.849875,0.742519,0.849875,0.742519,107,0,0
2026/01/15/19:47:38,14.727377,0.863313,0.755879,0.863313,0.755879,110,0,0
2026/01/15/19:47:39,15.727545,0.903625,0.792522,0.903625,0.792522,118,0,0
2026/01/15/19:47:40,16.727692,0.907500,0.800290,0.929250,0.807329,119,2,0
2026/01/15/19:47:41,17.727805,0.919125,0.808072,0.966938,0.817514,121,3,0
2026/01/15/19:47:42,18.727883,0.919125,0.808072,0.966938,0.817514,121,3,0
2026/01/15/19:47:43,19.728050,0.906375,0.796249,0.954187,0.805691,118,3,0
2026/01/15/19:47:44,20.728213,0.899937,0.786096,0.947750,0.795537,117,3,0
2026/01/15/19:47:45,21.728317,0.899937,0.786096,0.899937,0.786096,117,0,0
2026/01/15/19:47:46,22.728485,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:47,23.728653,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:48,24.728816,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:49,25.728922,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:50,26.729083,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:51,27.729191,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:52,28.729338,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:53,29.729502,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:54,30.729656,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:55,31.729764,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:56,32.729920,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:57,33.730031,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:58,34.730195,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:59,35.730353,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:48:00,36.730433,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:48:01,37.730625,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:48:02,38.730771,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:48:03,39.730943,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:48:04,40.731048,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:48:05,41.731155,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:48:06,42.731316,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:48:07,43.731427,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:48:08,44.731528,0.875500,0.767829,0.875500,0.767829,113,0,0
2026/01/15/19:48:09,45.731615,0.871625,0.760060,0.871625,0.760060,112,0,0
2026/01/15/19:48:10,46.731790,0.871625,0.760060,0.871625,0.760060,112,0,0
2026/01/15/19:48:11,47.731897,0.871625,0.760060,0.871625,0.760060,112,0,0
2026/01/15/19:48:12,48.732044,0.871625,0.760060,0.871625,0.760060,112,0,0
2026/01/15/19:48:13,49.732213,0.871625,0.760060,0.871625,0.760060,112,0,0
2026/01/15/19:48:14,50.732374,0.871625,0.760060,0.871625,0.760060,112,0,0
2026/01/15/19:48:15,51.732547,0.871625,0.760060,0.871625,0.760060,112,0,0
2026/01/15/19:48:16,52.732659,0.871625,0.760060,0.871625,0.760060,112,0,0
2026/01/15/19:48:17,53.732783,0.871625,0.760060,0.871625,0.760060,112,0,0
2026/01/15/19:48:18,54.732943,0.871625,0.760060,0.871625,0.760060,112,0,0
2026/01/15/19:48:19,55.733109,0.871625,0.760060,0.871625,0.760060,112,0,0
2026/01/15/19:48:20,56.733228,0.871625,0.760060,0.871625,0.760060,112,0,0
