timestamp,event,pod_name,pod_uid,priority,time_s
2026/01/15/19:46:46,apply-time,rs-000064-nhgbs,75d7c23b-686c-4bc8-af5e-a618bb72cb0d,1,13.527934
2026/01/15/19:46:46,running-time,rs-000064-nhgbs,75d7c23b-686c-4bc8-af5e-a618bb72cb0d,1,13.527934
2026/01/15/19:46:46,apply-time,rs-000064-x9sjd,5393f894-9069-48bf-8ec3-ec5c7c2c1b04,1,13.527934
2026/01/15/19:46:46,running-time,rs-000064-x9sjd,5393f894-9069-48bf-8ec3-ec5c7c2c1b04,1,13.527934
2026/01/15/19:46:46,apply-time,rs-000065-wq6w2,313ab342-cae1-4607-89fe-39a96a7c3ceb,1,13.527934
2026/01/15/19:46:46,running-time,rs-000065-wq6w2,313ab342-cae1-4607-89fe-39a96a7c3ceb,1,13.527934
2026/01/15/19:46:47,apply-time,rs-000066-5wtzw,25fdf9b3-45cd-4836-9225-de9f028a815a,1,14.527934
2026/01/15/19:46:47,running-time,rs-000066-5wtzw,25fdf9b3-45cd-4836-9225-de9f028a815a,1,15.527934
2026/01/15/19:46:47,apply-time,rs-000066-n4hd7,39bd98a7-b615-49b0-9820-cbfdfc2c5ab1,1,15.527934
2026/01/15/19:46:47,running-time,rs-000066-n4hd7,39bd98a7-b615-49b0-9820-cbfdfc2c5ab1,1,15.527934
2026/01/15/19:46:47,apply-time,rs-000066-r78nb,16cc94d9-c30d-43e3-b069-2e07b1d5acca,1,14.527934
2026/01/15/19:46:47,running-time,rs-000066-r78nb,16cc94d9-c30d-43e3-b069-2e07b1d5acca,1,14.527934
2026/01/15/19:46:47,apply-time,rs-000067-6pf2t,01e14c71-a576-42cf-b09a-8223cd355154,1,14.527934
2026/01/15/19:46:47,running-time,rs-000067-6pf2t,01e14c71-a576-42cf-b09a-8223cd355154,1,14.527934
2026/01/15/19:46:47,apply-time,rs-000067-l6ntl,b24707b7-fc04-497d-b3d0-a5d5968a06a5,1,14.527934
2026/01/15/19:46:47,running-time,rs-000067-l6ntl,b24707b7-fc04-497d-b3d0-a5d5968a06a5,1,14.527934
2026/01/15/19:46:47,apply-time,rs-000067-m6wt6,58180942-9de2-477f-9660-687209aada2c,1,14.527934
2026/01/15/19:46:47,running-time,rs-000067-m6wt6,58180942-9de2-477f-9660-687209aada2c,1,14.527934
2026/01/15/19:46:47,apply-time,rs-000068-68dmp,16b65310-c0d2-41e9-8993-379a3e458c44,1,14.527934
2026/01/15/19:46:47,running-time,rs-000068-68dmp,16b65310-c0d2-41e9-8993-379a3e458c44,1,14.527934
2026/01/15/19:46:47,apply-time,rs-000069-r29pb,83c24dc3-9ce4-4200-814e-d5ef01fb2ab5,1,14.527934
2026/01/15/19:46:47,running-time,rs-000069-r29pb,83c24dc3-9ce4-4200-814e-d5ef01fb2ab5,1,14.527934
2026/01/15/19:46:48,apply-time,rs-000070-q5ssh,00d52e09-bb3a-41ed-85ed-5c1a422ee249,1,16.527934
2026/01/15/19:46:48,running-time,rs-000070-q5ssh,00d52e09-bb3a-41ed-85ed-5c1a422ee249,1,16.527934
2026/01/15/19:46:48,apply-time,rs-000071-jgf4x,26097019-8c8f-46b5-ae6d-73ab373223c2,1,16.527934
2026/01/15/19:46:48,running-time,rs-000071-jgf4x,26097019-8c8f-46b5-ae6d-73ab373223c2,1,16.527934
2026/01/15/19:46:49,apply-time,rs-000071-n2mln,b86bc8e4-bd11-4633-9b8c-14dc9e925278,1,16.527934
2026/01/15/19:46:49,running-time,rs-000071-n2mln,b86bc8e4-bd11-4633-9b8c-14dc9e925278,1,16.527934
2026/01/15/19:46:49,apply-time,rs-000072-9kjn4,21973cf3-c0db-472f-88e3-e7520e0491f2,1,16.527934
2026/01/15/19:46:49,apply-time,rs-000072-nvrjx,5bae4be6-badf-4460-8a59-f4499093acbd,1,16.527934
2026/01/15/19:46:49,apply-time,rs-000072-xrchm,e5c80050-d798-4908-93cf-2cce474e648c,1,16.527934
2026/01/15/19:48:29,apply-time,rs-000073-t8hcv,96f05c9a-0768-402c-803d-f2eab19ba5c0,1,117.527934
2026/01/15/19:48:29,running-time,rs-000073-t8hcv,96f05c9a-0768-402c-803d-f2eab19ba5c0,1,117.527934
2026/01/15/19:48:36,apply-time,rs-000074-fzjg4,13f0f098-aad4-45b4-b73e-52e73bf8d6d9,1,123.527934
2026/01/15/19:48:36,running-time,rs-000074-fzjg4,13f0f098-aad4-45b4-b73e-52e73bf8d6d9,1,123.527934
2026/01/15/19:48:36,apply-time,rs-000074-mw2jg,38375fc7-2335-4dfd-b3a6-217cd8507f29,1,123.527934
2026/01/15/19:48:36,running-time,rs-000074-mw2jg,38375fc7-2335-4dfd-b3a6-217cd8507f29,1,123.527934
2026/01/15/19:48:39,apply-time,rs-000075-8mj2k,f4e0c7dd-de90-4054-8741-8e302e3b61d1,1,126.527934
2026/01/15/19:48:39,running-time,rs-000075-8mj2k,f4e0c7dd-de90-4054-8741-8e302e3b61d1,1,126.527934
2026/01/15/19:48:39,apply-time,rs-000075-g6rln,48c7a29d-e141-44b1-82a6-e94318482212,1,126.527934
2026/01/15/19:48:39,running-time,rs-000075-g6rln,48c7a29d-e141-44b1-82a6-e94318482212,1,126.527934
2026/01/15/19:48:39,apply-time,rs-000075-xgmpl,32654cde-4d75-4264-a374-a7d967bb122f,1,126.527934
2026/01/15/19:48:39,running-time,rs-000075-xgmpl,32654cde-4d75-4264-a374-a7d967bb122f,1,126.527934
2026/01/15/19:48:39,apply-time,rs-000076-czbx5,d03babac-1932-4527-8019-c6f108336fc2,1,126.527934
2026/01/15/19:48:39,running-time,rs-000076-czbx5,d03babac-1932-4527-8019-c6f108336fc2,1,126.527934
2026/01/15/19:48:39,apply-time,rs-000076-l5fh5,4016109d-ee2a-45b2-8356-4220965a74ff,1,126.527934
2026/01/15/19:48:39,running-time,rs-000076-l5fh5,4016109d-ee2a-45b2-8356-4220965a74ff,1,126.527934
2026/01/15/19:48:39,apply-time,rs-000076-whthj,d712314d-7f6d-4fc8-8a94-7d24097579c7,1,126.527934
2026/01/15/19:48:39,running-time,rs-000076-whthj,d712314d-7f6d-4fc8-8a94-7d24097579c7,1,126.527934
2026/01/15/19:48:39,apply-time,rs-000077-7q6vz,feb2e1f1-4f8f-4980-87be-17350a782d5e,1,126.527934
2026/01/15/19:48:39,apply-time,rs-000077-84fn2,6a9d8902-85dc-4cd2-b30f-4d1e053bb69f,1,126.527934
2026/01/15/19:48:39,apply-time,rs-000077-c45qs,55bf5d1a-7140-4bfe-9563-8a4da37558a7,1,126.527934
2026/01/15/19:48:39,apply-time,rs-000078-gjj9z,89d806fb-b170-418e-bb0e-f8a9feab397d,1,126.527934
2026/01/15/19:48:39,running-time,rs-000078-gjj9z,89d806fb-b170-418e-bb0e-f8a9feab397d,1,126.527934
2026/01/15/19:48:39,apply-time,rs-000079-h24qs,e58dcfae-17cc-4bd1-80a4-d331c5a69999,1,127.527934
2026/01/15/19:48:39,running-time,rs-000079-h24qs,e58dcfae-17cc-4bd1-80a4-d331c5a69999,1,127.527934
2026/01/15/19:48:39,apply-time,rs-000079-phbdn,2306f04d-4e00-45af-9c09-81ab2e51bb30,1,127.527934
2026/01/15/19:48:39,running-time,rs-000079-phbdn,2306f04d-4e00-45af-9c09-81ab2e51bb30,1,127.527934
2026/01/15/19:48:39,apply-time,rs-000080-xdl28,ccf241a8-0c82-4ef5-b8ef-cb99cb369c1b,1,127.527934
2026/01/15/19:48:39,running-time,rs-000080-xdl28,ccf241a8-0c82-4ef5-b8ef-cb99cb369c1b,1,127.527934
2026/01/15/19:48:39,apply-time,rs-000082-5p6q8,b8f2d41e-7349-4b45-8cbe-1a1529c3c0b1,1,127.527934
2026/01/15/19:48:39,running-time,rs-000082-5p6q8,b8f2d41e-7349-4b45-8cbe-1a1529c3c0b1,1,127.527934
2026/01/15/19:48:40,apply-time,rs-000081-nc2x7,473db5a2-4335-4544-98a7-ec922a934157,1,127.527934
2026/01/15/19:48:40,apply-time,rs-000081-x6rk5,57c7989c-51cc-4318-aed0-e20ed94ef893,1,127.527934
