timestamp,event,pod_name,pod_uid,priority,time_s
2026/01/15/19:47:00,apply-time,rs-000064-nwql8,9edfe3f7-2a89-4b7e-ac01-922eb15fa25c,1,13.846277
2026/01/15/19:47:00,running-time,rs-000064-nwql8,9edfe3f7-2a89-4b7e-ac01-922eb15fa25c,1,13.846277
2026/01/15/19:47:00,apply-time,rs-000064-sskjt,ac09532f-4ce7-48d1-b446-0ec1cbcfa671,1,13.846277
2026/01/15/19:47:00,running-time,rs-000064-sskjt,ac09532f-4ce7-48d1-b446-0ec1cbcfa671,1,13.846277
2026/01/15/19:47:00,apply-time,rs-000065-48nxw,7fe784ed-95f1-40b7-8876-2903f2be2d86,1,13.846277
2026/01/15/19:47:00,running-time,rs-000065-48nxw,7fe784ed-95f1-40b7-8876-2903f2be2d86,1,13.846277
2026/01/15/19:47:01,apply-time,rs-000066-2skhz,4c34ca2c-8268-4bc3-a1d2-a5c455885131,1,14.846277
2026/01/15/19:47:01,running-time,rs-000066-2skhz,4c34ca2c-8268-4bc3-a1d2-a5c455885131,1,14.846277
2026/01/15/19:47:01,apply-time,rs-000066-h5c72,b1bbab37-c923-4ed8-ba86-ad5f5d337d1b,1,14.846277
2026/01/15/19:47:01,running-time,rs-000066-h5c72,b1bbab37-c923-4ed8-ba86-ad5f5d337d1b,1,14.846277
2026/01/15/19:47:01,apply-time,rs-000066-kv9q7,f3184ebe-b5c7-43a7-9fb0-48b834f95910,1,14.846277
2026/01/15/19:47:01,running-time,rs-000066-kv9q7,f3184ebe-b5c7-43a7-9fb0-48b834f95910,1,14.846277
2026/01/15/19:47:01,apply-time,rs-000067-dm5ps,4629ba21-28f1-4577-b610-1794988b9ded,1,14.846277
2026/01/15/19:47:01,running-time,rs-000067-dm5ps,4629ba21-28f1-4577-b610-1794988b9ded,1,14.846277
2026/01/15/19:47:01,apply-time,rs-000067-kvjw4,54da4205-c570-4d24-a7f5-ec44bce38676,1,14.846277
2026/01/15/19:47:01,running-time,rs-000067-kvjw4,54da4205-c570-4d24-a7f5-ec44bce38676,1,14.846277
2026/01/15/19:47:01,apply-time,rs-000067-pmrcs,c6b4b27f-4877-4d06-ba0e-d21eab99bad6,1,14.846277
2026/01/15/19:47:01,running-time,rs-000067-pmrcs,c6b4b27f-4877-4d06-ba0e-d21eab99bad6,1,14.846277
2026/01/15/19:47:01,apply-time,rs-000068-jbjdc,bcc90385-583c-49cf-ba52-b946f4e4d895,1,14.846277
2026/01/15/19:47:01,running-time,rs-000068-jbjdc,bcc90385-583c-49cf-ba52-b946f4e4d895,1,14.846277
2026/01/15/19:47:01,apply-time,rs-000069-skd88,1b509de8-d106-42e1-9257-cda6a7b4c9ce,1,14.846277
2026/01/15/19:47:01,running-time,rs-000069-skd88,1b509de8-d106-42e1-9257-cda6a7b4c9ce,1,14.846277
2026/01/15/19:47:02,apply-time,rs-000071-cgc79,4f6e2e1d-ad94-4f28-9887-d7fa34181fc4,1,16.846277
2026/01/15/19:47:02,running-time,rs-000071-cgc79,4f6e2e1d-ad94-4f28-9887-d7fa34181fc4,1,16.846277
2026/01/15/19:47:02,apply-time,rs-000072-4h2rg,c264adba-8af1-4bbc-a85f-3ccd0e3278fe,1,16.846277
2026/01/15/19:47:03,apply-time,rs-000070-tmdj5,383d3742-da92-4267-8b99-69c85aa08cca,1,16.846277
2026/01/15/19:47:03,running-time,rs-000070-tmdj5,383d3742-da92-4267-8b99-69c85aa08cca,1,16.846277
2026/01/15/19:47:03,apply-time,rs-000071-fwmf8,6dd7738b-d20f-446d-9075-910ee24fd0bc,1,16.846277
2026/01/15/19:47:03,running-time,rs-000071-fwmf8,6dd7738b-d20f-446d-9075-910ee24fd0bc,1,16.846277
