timestamp,time_s,cpu_run_util,mem_run_util,cpu_req_util,mem_req_util,running_p1,unsched_p1,deletions_cum_p1
2026/01/15/19:46:34,2.985050,0.231250,0.197995,0.231250,0.197995,29,0,0
2026/01/15/19:46:35,3.985159,0.309437,0.245065,0.313500,0.248953,38,1,0
2026/01/15/19:46:36,4.985260,0.406750,0.296563,0.413250,0.300189,49,1,0
2026/01/15/19:46:37,5.985368,0.501750,0.354199,0.501750,0.354199,61,0,0
2026/01/15/19:46:38,6.985447,0.561187,0.419138,0.564813,0.429322,69,1,0
2026/01/15/19:46:39,7.985622,0.674562,0.533179,0.684438,0.537434,81,1,0
2026/01/15/19:46:40,8.985702,0.720063,0.592117,0.720063,0.592117,89,0,0
2026/01/15/19:46:41,9.985865,0.791000,0.650664,0.791000,0.650664,96,0,0
2026/01/15/19:46:42,10.985919,0.843063,0.728625,0.843063,0.728625,106,0,0
2026/01/15/19:46:43,11.986026,0.849875,0.742519,0.849875,0.742519,107,0,0
2026/01/15/19:46:44,12.986112,0.849875,0.742519,0.849875,0.742519,107,0,0
2026/01/15/19:46:45,13.986197,0.849875,0.742519,0.849875,0.742519,107,0,0
2026/01/15/19:46:46,14.986283,0.863313,0.755879,0.863313,0.755879,110,0,0
2026/01/15/19:46:47,15.986384,0.903625,0.792522,0.903625,0.792522,118,0,0
2026/01/15/19:46:48,16.986476,0.907500,0.800290,0.929250,0.807329,119,2,0
2026/01/15/19:46:49,17.986572,0.919125,0.808072,0.966938,0.817514,121,3,0
2026/01/15/19:46:50,18.986743,0.919125,0.808072,0.966938,0.817514,121,3,0
2026/01/15/19:46:51,19.986905,0.906375,0.796249,0.954187,0.805691,118,3,0
2026/01/15/19:46:52,21.085846,0.899937,0.786096,0.947750,0.795537,117,3,0
2026/01/15/19:46:54,22.767759,0.893563,0.782310,0.893563,0.782310,116,0,0
2026/01/15/19:46:55,23.767931,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:46:56,24.768033,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:46:57,25.768130,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:46:58,26.768288,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:46:59,27.768444,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:00,28.768539,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:01,29.768705,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:02,30.768785,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:03,31.768927,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:04,32.769100,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:05,33.769258,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:06,34.769415,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:07,35.769572,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:08,36.769742,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:09,37.769903,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:10,38.769996,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:11,39.770149,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:12,40.770306,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:13,41.770416,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:14,42.770581,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:15,43.770750,0.880812,0.774740,0.880812,0.774740,114,0,0
2026/01/15/19:47:16,44.770907,0.875500,0.767829,0.875500,0.767829,113,0,0
