scheduler,job_name,n_seeds,T_end_s_mean,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,util_eff_run_mean,util_eff_req_mean,R_p1,R_p2,R_p3,R_p4,D_p1,D_p2,D_p3,D_p4,latency_first_admit_p05_s,latency_first_admit_p25_s,latency_first_admit_median_s,latency_first_admit_mean_s,latency_first_admit_p75_s,latency_first_admit_p95_s
default,nodes=16_prio=1_arrival=16s,2,7199.7276,0.8461,0.8298,0.881,0.8543,0.8576,0.8986,806704.8454,0.0,0.0,0.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,11.726,0.0,16.725
default,nodes=16_prio=1_arrival=8s,2,7199.9324,0.842,0.8344,0.8728,0.8587,0.8593,0.8928,809683.978,0.0,0.0,0.0,1380.5,0.0,0.0,0.0,0.0,0.0,0.0,4.028,0.0,12.5
default,nodes=16_prio=4_arrival=16s,2,7199.9518,0.818,0.8386,0.8361,0.8688,0.8652,0.8923,237216.9574,193720.9492,153910.6278,131517.0788,465.0,231.0,213.0,153.0,0.0,0.0,0.0,1.48,0.0,3.575
default,nodes=16_prio=4_arrival=8s,2,7199.9388,0.8162,0.8335,0.8403,0.8747,0.8574,0.8938,238495.7956,199478.0305,170965.5624,128601.856,793.0,426.0,378.5,268.5,0.0,0.0,0.0,0.9819,0.0,2.0
default,nodes=32_prio=1_arrival=16s,2,7199.8896,0.8635,0.8326,0.8904,0.8505,0.8676,0.8968,1612886.2372,0.0,0.0,0.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3479,0.0,9.425
default,nodes=32_prio=1_arrival=8s,2,7199.713,0.8622,0.8252,0.8882,0.8421,0.8646,0.892,1617217.707,0.0,0.0,0.0,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7058,0.0,7.875
default,nodes=32_prio=4_arrival=16s,2,7199.9178,0.8368,0.8337,0.85,0.8507,0.8744,0.8914,531028.4852,399017.647,345086.4392,244444.3936,394.5,228.5,218.0,154.0,0.0,0.0,0.0,1.741,0.0,1.0
default,nodes=32_prio=4_arrival=8s,2,7199.5032,0.8427,0.8443,0.8552,0.8632,0.8724,0.8906,536889.4876,405526.5824,368199.1072,242952.2462,713.5,425.0,379.0,274.0,0.0,0.0,0.0,0.7643,0.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,2,7199.3638,0.8708,0.8438,0.881,0.8542,0.8862,0.8986,815141.6983,0.0,0.0,0.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5298,0.0,30.6
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,2,7199.294,0.8572,0.8437,0.8727,0.8586,0.8758,0.8928,814833.9799,0.0,0.0,0.0,1469.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5394,0.0,16.65
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=16s,2,7199.4846,0.8215,0.8531,0.8362,0.869,0.8762,0.8925,246398.2294,191970.6411,151219.5268,130268.7612,323.0,189.5,177.0,130.0,0.0,0.0,0.0,7.8696,1.5,38.7
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,7198.5912,0.8192,0.8486,0.8404,0.875,0.8676,0.894,246454.7489,196240.5945,168415.367,126447.2701,534.5,331.0,292.5,216.5,0.0,0.0,0.0,6.3314,1.0,38.5
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,2,7199.7666,0.8799,0.8432,0.8904,0.8504,0.886,0.8967,1624175.0252,0.0,0.0,0.0,794.5,0.0,0.0,0.0,0.0,0.0,0.0,6.6768,0.0,23.475
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,2,7199.9728,0.8765,0.8326,0.8882,0.842,0.8796,0.8919,1625890.1776,0.0,0.0,0.0,1558.5,0.0,0.0,0.0,0.0,0.0,0.0,4.8924,0.0,20.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,2,7199.5519,0.843,0.8446,0.85,0.8508,0.8844,0.8914,542292.3895,397555.7919,342971.8153,242655.0148,335.0,204.0,192.0,134.0,0.0,0.0,0.0,6.588,0.0,28.05
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,2,7199.4643,0.8466,0.8526,0.8552,0.8632,0.8792,0.8906,546589.5036,403297.5548,365485.0702,241383.8808,556.0,377.0,335.0,239.5,0.0,0.0,0.0,4.3186,0.0,16.5
mode=periodic8s_blocking=0_defpreempt=1,nodes=16_prio=1_arrival=16s,2,7199.9012,0.8706,0.8438,0.881,0.8542,0.8861,0.8986,815203.3904,0.0,0.0,0.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0843,0.5,26.5
mode=periodic8s_blocking=0_defpreempt=1,nodes=16_prio=1_arrival=8s,2,7199.4818,0.8569,0.843,0.8728,0.8587,0.8752,0.8928,814432.5864,0.0,0.0,0.0,1457.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7297,0.5,19.9
mode=periodic8s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=16s,2,7199.6398,0.8225,0.8504,0.836,0.8688,0.8742,0.8924,240295.0028,193685.9581,153879.9106,131513.4705,573.0,231.5,213.0,153.0,0.0,0.0,0.0,1.6074,0.0,5.575
mode=periodic8s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=8s,2,7199.1867,0.8226,0.8468,0.8402,0.8746,0.8681,0.8938,243026.7141,199394.7778,170904.7458,128551.6322,985.0,426.5,378.0,268.5,0.0,0.0,0.0,1.0712,0.0,4.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,7199.4894,0.8818,0.8438,0.8904,0.8504,0.8878,0.8968,1625214.9369,0.0,0.0,0.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9015,0.0,25.525
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=8s,2,7198.8955,0.875,0.8306,0.8882,0.842,0.878,0.8918,1624681.2025,0.0,0.0,0.0,1558.5,0.0,0.0,0.0,0.0,0.0,0.0,5.1466,0.0,13.5
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,2,7199.5334,0.8442,0.8442,0.85,0.8508,0.8844,0.8914,538437.2656,398989.7078,345059.6574,244420.69,484.0,228.5,218.0,154.0,0.0,0.0,0.0,2.0778,0.0,1.5
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=8s,2,7199.3918,0.8472,0.8518,0.8552,0.8632,0.879,0.8906,542020.4845,405499.2461,368193.586,242952.6816,806.5,424.5,377.5,274.0,0.0,0.0,0.0,0.8576,0.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=16s,2,7199.0259,0.8718,0.8447,0.8812,0.8543,0.8869,0.8987,815757.8611,0.0,0.0,0.0,769.5,0.0,0.0,0.0,0.0,0.0,0.0,4.8446,0.0,29.475
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,7198.9386,0.8577,0.844,0.8728,0.8587,0.8758,0.8928,815028.801,0.0,0.0,0.0,1487.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5398,1.0,19.675
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=16s,2,7199.5635,0.8219,0.8539,0.8362,0.8688,0.8766,0.8924,246718.5748,192002.6434,151322.5694,130189.772,331.0,187.0,174.0,126.0,0.0,0.0,0.0,7.1131,0.5,37.75
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=8s,2,7199.5835,0.8188,0.8498,0.8404,0.8749,0.8688,0.894,247775.2116,196266.1207,167981.8754,126182.9596,526.5,335.5,293.0,215.0,0.0,0.0,0.0,6.0239,0.5,31.925
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=16s,2,7199.5704,0.8806,0.8433,0.8904,0.8504,0.8869,0.8967,1624792.1562,0.0,0.0,0.0,791.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0472,0.0,20.9
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=8s,2,7199.8338,0.8756,0.8306,0.8882,0.842,0.8786,0.8919,1625459.9098,0.0,0.0,0.0,1566.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9992,0.0,14.95
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,2,7199.4468,0.8424,0.8435,0.85,0.8508,0.883,0.8914,542017.9593,397438.0147,343183.7092,242250.0694,333.5,203.0,194.0,133.5,0.0,0.0,0.0,7.2344,0.0,27.2
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=8s,2,7199.685,0.8474,0.8531,0.8552,0.8632,0.8797,0.8906,546911.5311,403608.1474,365469.189,241547.1346,571.0,381.5,330.5,239.5,0.0,0.0,0.0,3.3006,0.0,17.1
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,2,7199.778,0.871,0.8436,0.8811,0.8544,0.8862,0.8987,815247.8306,0.0,0.0,0.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6892,0.0,33.8
