scheduler,job_name,seed,T_end_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,util_eff_run_mean,util_eff_req_mean,R_p1,R_p2,R_p3,R_p4,D_p1,D_p2,D_p3,D_p4,latency_first_admit_p05_s,latency_first_admit_p25_s,latency_first_admit_median_s,latency_first_admit_mean_s,latency_first_admit_p75_s,latency_first_admit_p95_s
default,nodes=16_prio=1_arrival=16s,1420052706459400740,7199.4597,0.8579,0.8239,0.8896,0.854,0.8665,0.9066,832996.0876,0.0,0.0,0.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3333,0.0,15.45
default,nodes=16_prio=1_arrival=16s,2219457405427907235,7199.9956,0.8343,0.8357,0.8725,0.8546,0.8486,0.8906,780413.6033,0.0,0.0,0.0,668.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1187,0.0,18.0
default,nodes=16_prio=1_arrival=8s,1420052706459400740,7200.0039,0.8513,0.8319,0.8785,0.8576,0.8618,0.8934,826883.1585,0.0,0.0,0.0,1406.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8696,0.0,10.0
default,nodes=16_prio=1_arrival=8s,2219457405427907235,7199.861,0.8326,0.837,0.867,0.8598,0.8568,0.8922,792484.7976,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1864,0.0,15.0
default,nodes=16_prio=4_arrival=16s,1420052706459400740,7199.9993,0.8709,0.8202,0.889,0.8448,0.8731,0.8918,255849.5601,164584.8736,207870.757,162031.5374,427.0,232.0,207.0,150.0,0.0,0.0,0.0,1.4724,0.0,2.15
default,nodes=16_prio=4_arrival=16s,2219457405427907235,7199.9042,0.7652,0.857,0.7832,0.8927,0.8573,0.8928,218584.3546,222857.0247,99950.4986,101002.6202,503.0,230.0,219.0,156.0,0.0,0.0,0.0,1.4875,0.0,5.0
default,nodes=16_prio=4_arrival=8s,1420052706459400740,7199.9448,0.8606,0.8208,0.887,0.8608,0.863,0.8942,262077.5774,172005.62,211847.1325,156390.5442,780.0,423.0,407.0,278.0,0.0,0.0,0.0,1.1495,0.0,2.0
default,nodes=16_prio=4_arrival=8s,2219457405427907235,7199.9328,0.7717,0.8462,0.7936,0.8886,0.8518,0.8935,214914.0138,226950.441,130083.9924,100813.1677,806.0,429.0,350.0,259.0,0.0,0.0,0.0,0.8143,0.0,2.0
default,nodes=32_prio=1_arrival=16s,1420052706459400740,7199.877,0.8751,0.8439,0.8956,0.8647,0.8799,0.9027,1651501.1411,0.0,0.0,0.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1278,0.0,12.1
default,nodes=32_prio=1_arrival=16s,2219457405427907235,7199.9022,0.8519,0.8214,0.8853,0.8363,0.8553,0.8909,1574271.3334,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,16.568,0.0,6.75
default,nodes=32_prio=1_arrival=8s,1420052706459400740,7199.4386,0.8684,0.8397,0.8886,0.8566,0.8709,0.8923,1650444.0347,0.0,0.0,0.0,1510.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2517,0.0,7.75
default,nodes=32_prio=1_arrival=8s,2219457405427907235,7199.9873,0.8559,0.8106,0.8879,0.8276,0.8582,0.8916,1583991.3794,0.0,0.0,0.0,1448.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1598,0.0,8.0
default,nodes=32_prio=4_arrival=16s,1420052706459400740,7199.959,0.8764,0.795,0.8912,0.8099,0.8764,0.8912,577316.9347,353881.0998,424885.5817,282122.6728,364.0,233.0,212.0,148.0,0.0,0.0,0.0,1.1787,0.0,1.0
default,nodes=32_prio=4_arrival=16s,2219457405427907235,7199.8766,0.7972,0.8724,0.8088,0.8915,0.8724,0.8915,484740.0357,444154.1941,265287.2966,206766.1145,425.0,224.0,224.0,160.0,0.0,0.0,0.0,2.3033,0.0,1.0
default,nodes=32_prio=4_arrival=8s,1420052706459400740,7199.9928,0.8779,0.8221,0.889,0.836,0.8781,0.8904,594138.1737,354983.898,441949.7827,278626.2492,691.0,422.0,403.0,281.0,0.0,0.0,0.0,1.0962,0.0,1.0
default,nodes=32_prio=4_arrival=8s,2219457405427907235,7199.0136,0.8075,0.8665,0.8213,0.8904,0.8667,0.8908,479640.8014,456069.2668,294448.4317,207278.2432,736.0,428.0,355.0,267.0,0.0,0.0,0.0,0.4324,0.0,1.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,1420052706459400740,7199.4777,0.8767,0.8401,0.8896,0.8539,0.8904,0.9066,841330.1718,0.0,0.0,0.0,787.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2551,0.0,30.2
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,2219457405427907235,7199.25,0.8649,0.8474,0.8725,0.8546,0.8821,0.8907,788953.2248,0.0,0.0,0.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8045,0.0,31.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,1420052706459400740,7199.5083,0.863,0.8426,0.8784,0.8576,0.8764,0.8933,831595.8037,0.0,0.0,0.0,1518.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2949,0.0,16.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,2219457405427907235,7199.0797,0.8515,0.8448,0.867,0.8597,0.8753,0.8922,798072.1561,0.0,0.0,0.0,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,3.784,0.0,17.3
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=16s,1420052706459400740,7199.8912,0.8732,0.8294,0.8891,0.845,0.8755,0.892,265417.865,163148.9219,205244.3999,160642.8037,297.0,205.0,189.0,137.0,0.0,0.0,0.0,8.1926,0.0,31.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=16s,2219457405427907235,7199.0781,0.7698,0.8768,0.7834,0.8929,0.8768,0.893,227378.5939,220792.3603,97194.6537,99894.7186,349.0,174.0,165.0,123.0,0.0,0.0,0.0,7.5467,3.0,46.4
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,1420052706459400740,7199.1007,0.8667,0.8386,0.8869,0.8609,0.8717,0.8942,271698.9569,168755.0755,209578.5917,153531.6378,509.0,349.0,335.0,228.0,0.0,0.0,0.0,6.5604,1.0,44.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2219457405427907235,7198.0816,0.7716,0.8586,0.7939,0.889,0.8635,0.8939,221210.5409,223726.1135,127252.1424,99362.9024,560.0,313.0,250.0,205.0,0.0,0.0,0.0,6.1025,1.0,33.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,1420052706459400740,7199.8845,0.8862,0.8578,0.8955,0.8647,0.8933,0.9026,1661748.5539,0.0,0.0,0.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3163,0.0,26.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,2219457405427907235,7199.6488,0.8736,0.8286,0.8852,0.8362,0.8786,0.8908,1586601.4966,0.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0374,0.0,20.95
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,1420052706459400740,7199.9621,0.8786,0.8459,0.8885,0.8565,0.8813,0.8923,1657723.4147,0.0,0.0,0.0,1612.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4941,0.0,23.05
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,2219457405427907235,7199.9836,0.8744,0.8194,0.8878,0.8276,0.8779,0.8915,1594056.9405,0.0,0.0,0.0,1505.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2908,0.0,16.95
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,1420052706459400740,7199.8169,0.882,0.8024,0.8912,0.81,0.882,0.8912,589660.3285,351882.8592,422329.3052,279202.6057,305.0,205.0,183.0,130.0,0.0,0.0,0.0,8.1875,0.0,29.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,2219457405427907235,7199.2869,0.8041,0.8867,0.8088,0.8916,0.8867,0.8916,494924.4505,443228.7245,263614.3254,206107.4238,365.0,203.0,201.0,138.0,0.0,0.0,0.0,4.9884,0.0,27.1
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,1420052706459400740,7199.0137,0.8812,0.8292,0.8889,0.836,0.882,0.8904,602913.3175,353367.1819,440018.9358,276374.7273,568.0,389.0,380.0,246.0,0.0,0.0,0.0,3.946,0.0,18.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,2219457405427907235,7199.9149,0.812,0.8761,0.8215,0.8905,0.8764,0.8909,490265.6896,453227.9278,290951.2047,206393.0342,544.0,365.0,290.0,233.0,0.0,0.0,0.0,4.6913,0.0,15.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=16_prio=1_arrival=16s,1420052706459400740,7199.9291,0.8766,0.84,0.8896,0.854,0.8903,0.9066,841188.0558,0.0,0.0,0.0,776.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0125,0.0,31.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=16_prio=1_arrival=16s,2219457405427907235,7199.8732,0.8646,0.8476,0.8724,0.8545,0.8819,0.8906,789218.725,0.0,0.0,0.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1561,1.0,22.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=16_prio=1_arrival=8s,1420052706459400740,7199.5938,0.8626,0.8413,0.8785,0.8576,0.8755,0.8934,831228.4619,0.0,0.0,0.0,1499.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6754,0.0,20.8
mode=periodic8s_blocking=0_defpreempt=1,nodes=16_prio=1_arrival=8s,2219457405427907235,7199.3697,0.8512,0.8447,0.867,0.8598,0.875,0.8923,797636.7109,0.0,0.0,0.0,1415.0,0.0,0.0,0.0,0.0,0.0,0.0,3.784,1.0,19.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=16s,1420052706459400740,7199.9084,0.8752,0.8302,0.889,0.8448,0.8776,0.8919,258636.5871,164574.7208,207858.3139,162022.2077,508.0,232.0,207.0,150.0,0.0,0.0,0.0,1.8741,0.0,5.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=16s,2219457405427907235,7199.3711,0.7698,0.8707,0.7831,0.8927,0.8708,0.8928,221953.4185,222797.1953,99901.5074,101004.7333,638.0,231.0,219.0,156.0,0.0,0.0,0.0,1.3408,0.0,6.15
mode=periodic8s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=8s,1420052706459400740,7199.148,0.8669,0.8339,0.8868,0.8606,0.8713,0.894,266206.4461,171899.0537,211751.4105,156330.2879,945.0,422.0,407.0,278.0,0.0,0.0,0.0,1.2375,0.0,4.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=16_prio=4_arrival=8s,2219457405427907235,7199.2254,0.7784,0.8597,0.7936,0.8887,0.8649,0.8936,219846.9821,226890.5018,130058.081,100772.9765,1025.0,431.0,349.0,259.0,0.0,0.0,0.0,0.905,0.0,4.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,1420052706459400740,7199.2362,0.8872,0.8575,0.8956,0.8647,0.8942,0.9027,1661851.6455,0.0,0.0,0.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3501,0.0,28.05
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2219457405427907235,7199.7427,0.8763,0.8302,0.8852,0.8362,0.8813,0.8908,1588578.2283,0.0,0.0,0.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4529,0.0,23.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=8s,1420052706459400740,7199.4203,0.8768,0.8445,0.8885,0.8565,0.8795,0.8922,1656260.4271,0.0,0.0,0.0,1595.0,0.0,0.0,0.0,0.0,0.0,0.0,5.027,0.0,16.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=8s,2219457405427907235,7198.3707,0.8733,0.8168,0.8878,0.8276,0.8766,0.8915,1593101.9779,0.0,0.0,0.0,1522.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2663,0.0,11.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,1420052706459400740,7199.5331,0.8826,0.8022,0.8911,0.81,0.8826,0.8912,583314.4716,353854.7838,424838.3983,282110.107,460.0,233.0,212.0,148.0,0.0,0.0,0.0,2.375,0.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,2219457405427907235,7199.5337,0.8058,0.8862,0.8088,0.8915,0.8862,0.8915,493560.0595,444124.6317,265280.9166,206731.273,508.0,224.0,224.0,160.0,0.0,0.0,0.0,1.7805,0.0,2.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=8s,1420052706459400740,7199.4422,0.8828,0.8297,0.8889,0.836,0.8836,0.8904,599421.5694,354896.5726,441906.1898,278587.1638,808.0,421.0,403.0,281.0,0.0,0.0,0.0,0.8336,0.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=8s,2219457405427907235,7199.3413,0.8117,0.874,0.8214,0.8904,0.8744,0.8908,484619.3996,456101.9196,294480.9821,207318.1993,805.0,428.0,352.0,267.0,0.0,0.0,0.0,0.8815,0.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=16s,1420052706459400740,7199.0035,0.8778,0.8412,0.8897,0.854,0.8913,0.9067,841735.9836,0.0,0.0,0.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1833,0.0,40.95
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=16s,2219457405427907235,7199.0483,0.8658,0.8482,0.8726,0.8546,0.8825,0.8907,789779.7386,0.0,0.0,0.0,741.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5058,0.0,18.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,1420052706459400740,7199.8763,0.8629,0.8415,0.8785,0.8576,0.8751,0.8934,831213.7683,0.0,0.0,0.0,1515.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7978,1.0,21.35
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2219457405427907235,7198.0008,0.8525,0.8465,0.867,0.8598,0.8765,0.8922,798843.8337,0.0,0.0,0.0,1460.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2817,1.0,18.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=16s,1420052706459400740,7199.9648,0.8732,0.8301,0.889,0.8449,0.8756,0.8919,265630.0048,162996.7865,205114.7424,160746.0312,301.0,202.0,184.0,130.0,0.0,0.0,0.0,7.3541,0.0,28.2
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=16s,2219457405427907235,7199.1622,0.7706,0.8777,0.7833,0.8928,0.8777,0.8929,227807.1449,221008.5002,97530.3963,99633.5127,361.0,172.0,164.0,122.0,0.0,0.0,0.0,6.8721,1.0,47.3
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=8s,1420052706459400740,7199.6905,0.8653,0.8378,0.887,0.8609,0.871,0.8943,272424.9965,168706.01,209170.958,153191.1274,525.0,351.0,331.0,225.0,0.0,0.0,0.0,6.3605,1.0,31.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=8s,2219457405427907235,7199.4765,0.7724,0.8617,0.7939,0.8889,0.8665,0.8938,223125.4268,223826.2314,126792.7927,99174.7918,528.0,320.0,255.0,205.0,0.0,0.0,0.0,5.6873,0.0,32.85
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=16s,1420052706459400740,7199.8696,0.886,0.8576,0.8956,0.8647,0.8934,0.9026,1661843.8862,0.0,0.0,0.0,847.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0393,0.0,20.6
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=16s,2219457405427907235,7199.2711,0.8753,0.829,0.8853,0.8362,0.8804,0.8908,1587740.4262,0.0,0.0,0.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,6.055,0.0,21.2
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=8s,1420052706459400740,7199.9406,0.8778,0.8455,0.8885,0.8565,0.8804,0.8923,1657227.6715,0.0,0.0,0.0,1604.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9053,0.0,18.05
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=8s,2219457405427907235,7199.7271,0.8734,0.8157,0.8878,0.8276,0.8767,0.8915,1593692.1481,0.0,0.0,0.0,1528.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0931,0.0,11.85
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,1420052706459400740,7199.5824,0.881,0.8021,0.8913,0.8101,0.881,0.8913,589409.8012,352043.7595,422650.5298,278456.7851,282.0,202.0,189.0,129.0,0.0,0.0,0.0,8.7585,0.0,28.4
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,2219457405427907235,7199.3113,0.8039,0.8849,0.8088,0.8916,0.8849,0.8916,494626.1174,442832.27,263716.8886,206043.3536,385.0,204.0,199.0,138.0,0.0,0.0,0.0,5.7102,0.0,26.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=8s,1420052706459400740,7199.5691,0.8817,0.8303,0.8889,0.836,0.8831,0.8904,603633.8605,353288.7047,439925.1037,276940.7609,585.0,387.0,377.0,247.0,0.0,0.0,0.0,3.3894,0.0,20.2
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=8s,2219457405427907235,7199.8009,0.813,0.8759,0.8215,0.8905,0.8763,0.8909,490189.2018,453927.5902,291013.2744,206153.5082,557.0,376.0,284.0,232.0,0.0,0.0,0.0,3.2119,0.0,14.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,1420052706459400740,7199.9999,0.8769,0.8406,0.8897,0.8541,0.8908,0.9067,841473.6524,0.0,0.0,0.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3297,0.0,42.6
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,2219457405427907235,7199.5561,0.865,0.8467,0.8725,0.8547,0.8815,0.8907,789022.0088,0.0,0.0,0.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0487,0.0,25.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=8s,1420052706459400740,7199.8854,0.8629,0.8422,0.8784,0.8575,0.8759,0.8933,831287.8916,0.0,0.0,0.0,1467.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6528,0.0,20.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=8s,2219457405427907235,7199.7675,0.8511,0.8447,0.8668,0.8596,0.8745,0.8921,797768.5831,0.0,0.0,0.0,1451.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8851,1.0,20.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,1420052706459400740,7199.7567,0.877,0.8298,0.889,0.8448,0.8794,0.8918,259286.6352,164574.2563,207865.4244,162006.3384,509.0,232.0,207.0,151.0,0.0,0.0,0.0,2.1304,0.0,5.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,2219457405427907235,7199.3056,0.7709,0.8727,0.7832,0.8927,0.8727,0.8928,222413.075,222816.4132,99910.9119,100974.5228,704.0,230.0,219.0,156.0,0.0,0.0,0.0,1.9681,0.0,8.65
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=8s,1420052706459400740,7199.6722,0.8657,0.8327,0.8867,0.8605,0.8701,0.8939,265436.9326,171918.1608,211760.2859,156342.1664,955.0,423.0,407.0,278.0,0.0,0.0,0.0,1.3565,0.0,5.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=8s,2219457405427907235,7199.2586,0.777,0.8594,0.7936,0.8886,0.8644,0.8936,219148.227,226819.1532,130033.3421,100786.8278,1001.0,433.0,347.0,256.0,0.0,0.0,0.0,0.961,0.0,3.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=1_arrival=16s,1420052706459400740,7199.3207,0.8873,0.8585,0.8957,0.8647,0.8945,0.9027,1662486.3691,0.0,0.0,0.0,829.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7316,0.0,26.3
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=1_arrival=16s,2219457405427907235,7199.0992,0.8759,0.8293,0.8852,0.8362,0.881,0.8908,1588136.307,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1775,0.0,27.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=1_arrival=8s,1420052706459400740,7199.6278,0.8791,0.8474,0.8886,0.8566,0.8818,0.8923,1658374.2571,0.0,0.0,0.0,1596.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1201,0.0,19.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=1_arrival=8s,2219457405427907235,7198.7922,0.8712,0.8151,0.8878,0.8276,0.8745,0.8915,1591724.1405,0.0,0.0,0.0,1524.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5202,0.0,10.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,1420052706459400740,7199.6179,0.8837,0.8038,0.8912,0.8099,0.8837,0.8912,584848.792,353862.0173,424827.8335,282097.3239,418.0,233.0,212.0,148.0,0.0,0.0,0.0,1.7269,0.0,1.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,2219457405427907235,7199.2795,0.8044,0.8852,0.8088,0.8916,0.8852,0.8916,492309.8707,444088.2966,265219.2915,206740.1434,533.0,224.0,222.0,159.0,0.0,0.0,0.0,1.3222,0.0,3.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=8s,1420052706459400740,7199.8386,0.8833,0.8303,0.889,0.8361,0.8842,0.8905,599805.6258,354969.1906,441978.2256,278617.1976,819.0,422.0,403.0,281.0,0.0,0.0,0.0,0.8147,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=8s,2219457405427907235,7199.9206,0.8101,0.8735,0.8213,0.8903,0.8738,0.8907,484069.8796,456055.8334,294358.7007,207257.8914,820.0,425.0,352.0,267.0,0.0,0.0,0.0,0.7817,0.0,3.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,1420052706459400740,7199.676,0.8795,0.8438,0.8897,0.854,0.894,0.9066,843124.6766,0.0,0.0,0.0,837.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9922,0.0,24.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,2219457405427907235,7199.2686,0.865,0.8476,0.8725,0.8546,0.8824,0.8906,789397.8343,0.0,0.0,0.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9013,0.0,17.4
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,1420052706459400740,7199.9141,0.8647,0.8438,0.8784,0.8575,0.8776,0.8933,832348.3938,0.0,0.0,0.0,1568.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0374,0.0,15.85
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,2219457405427907235,7197.0166,0.8539,0.8476,0.8669,0.8597,0.8781,0.8921,799597.09,0.0,0.0,0.0,1509.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8091,1.0,14.55
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=16s,1420052706459400740,7199.4251,0.8723,0.8282,0.889,0.8448,0.8747,0.8918,265404.726,163059.7706,205078.0846,160181.9352,375.0,208.0,191.0,131.0,0.0,0.0,0.0,8.9402,1.0,38.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=16s,2219457405427907235,7199.6474,0.7692,0.8757,0.7834,0.8929,0.8757,0.893,227315.8015,220795.0603,97140.4176,99639.3411,417.0,167.0,163.0,121.0,0.0,0.0,0.0,7.6129,4.0,40.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,1420052706459400740,7199.2698,0.869,0.843,0.8868,0.8607,0.8751,0.8941,272747.045,168928.8929,209685.157,153716.7459,604.0,353.0,338.0,226.0,0.0,0.0,0.0,6.1559,1.0,32.7
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2219457405427907235,7199.31,0.7757,0.8639,0.7938,0.8889,0.8688,0.8938,223694.7725,224479.6846,127576.505,99131.8154,622.0,332.0,255.0,204.0,0.0,0.0,0.0,4.943,0.0,26.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,1420052706459400740,7199.1256,0.8856,0.8577,0.8956,0.8647,0.893,0.9027,1661218.1014,0.0,0.0,0.0,847.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4596,0.0,14.3
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,2219457405427907235,7199.7537,0.8743,0.8289,0.8852,0.8362,0.8793,0.8907,1587194.7166,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9256,0.0,19.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,1420052706459400740,7199.9814,0.8793,0.8474,0.8885,0.8565,0.882,0.8923,1658629.5376,0.0,0.0,0.0,1621.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0446,0.0,16.5
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,2219457405427907235,7199.4236,0.8722,0.8147,0.8878,0.8275,0.8756,0.8915,1592028.5309,0.0,0.0,0.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3273,0.0,11.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,1420052706459400740,7199.4736,0.8835,0.8038,0.8912,0.81,0.8835,0.8912,589894.5613,352459.2651,423057.0643,279731.0301,316.0,216.0,193.0,138.0,0.0,0.0,0.0,7.4694,0.0,31.8
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,2219457405427907235,7199.7076,0.8058,0.8875,0.8087,0.8915,0.8875,0.8915,495630.7929,443354.2461,264223.6777,206134.1645,406.0,203.0,198.0,139.0,0.0,0.0,0.0,3.2523,0.0,21.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,1420052706459400740,7199.1374,0.8823,0.83,0.889,0.8361,0.8833,0.8905,603337.5046,353201.9407,440366.5484,276790.2552,612.0,389.0,382.0,251.0,0.0,0.0,0.0,3.3743,0.0,13.0
