job_name,plugin_config,n_seed,T_end_s_mean,delta_cpu_run_util_mean_mean,delta_cpu_run_util_mean_std,delta_mem_run_util_mean_mean,delta_mem_run_util_mean_std,delta_cpu_req_util_mean_mean,delta_cpu_req_util_mean_std,delta_mem_req_util_mean_mean,delta_mem_req_util_mean_std,delta_util_eff_run_mean_mean,delta_util_eff_run_mean_std,delta_util_eff_req_mean_mean,delta_util_eff_req_mean_std,delta_R_p1_mean,delta_R_p1_std,delta_R_p2_mean,delta_R_p2_std,delta_R_p3_mean,delta_R_p3_std,delta_R_p4_mean,delta_R_p4_std,delta_R_total_mean,delta_R_total_std,delta_D_p1_mean,delta_D_p1_std,delta_D_p2_mean,delta_D_p2_std,delta_D_p3_mean,delta_D_p3_std,delta_D_p4_mean,delta_D_p4_std,delta_D_total_mean,delta_D_total_std,delta_latency_mean_s_mean,delta_latency_mean_s_std,delta_latency_mean_p1_s_mean,delta_latency_mean_p1_s_std,delta_latency_mean_p2_s_mean,delta_latency_mean_p2_s_std,delta_latency_mean_p3_s_mean,delta_latency_mean_p3_s_std,delta_latency_mean_p4_s_mean,delta_latency_mean_p4_s_std
nodes=16_prio=1_arrival=16s,mode=periodic8s_blocking=0_defpreempt=0,2,7199.3549,0.0247,0.0084,0.014,0.0031,0.0,0.0001,-0.0,0.0001,0.0287,0.0068,-0.0,0.0001,8478.6709,207.4446,0.0,0.0,0.0,0.0,0.0,0.0,8478.6709,207.4446,51.0,11.3137,0.0,0.0,0.0,0.0,0.0,0.0,51.0,11.3137,-7.7968,4.4004,-7.7968,4.4004,,,,,,
nodes=16_prio=1_arrival=16s,mode=periodic8s_blocking=0_defpreempt=1,2,7199.6664,0.0245,0.0082,0.014,0.003,-0.0001,0.0,-0.0,0.0,0.0285,0.0067,-0.0001,0.0,8478.1256,482.349,0.0,0.0,0.0,0.0,0.0,0.0,8478.1256,482.349,53.0,7.0711,0.0,0.0,0.0,0.0,0.0,0.0,53.0,7.0711,-7.9206,4.4554,-7.9206,4.4554,,,,,,
nodes=16_prio=1_arrival=16s,mode=periodic8s_blocking=1_defpreempt=0,2,7199.0259,0.0257,0.0083,0.0149,0.0034,0.0001,0.0,0.0,0.0001,0.0293,0.0064,0.0,0.0,9134.1724,482.097,0.0,0.0,0.0,0.0,0.0,0.0,9134.1724,482.097,71.5,2.1213,0.0,0.0,0.0,0.0,0.0,0.0,71.5,2.1213,-8.2461,4.5907,-8.2461,4.5907,,,,,,
nodes=16_prio=1_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,2,7199.5079,0.0249,0.0083,0.0139,0.004,0.0,0.0,0.0001,0.0,0.0286,0.006,0.0,0.0,8536.6513,172.9477,0.0,0.0,0.0,0.0,0.0,0.0,8536.6513,172.9477,61.0,4.2426,0.0,0.0,0.0,0.0,0.0,0.0,61.0,4.2426,-7.6815,4.0643,-7.6815,4.0643,,,,,,
nodes=16_prio=1_arrival=16s,mode=stablequeue2s_blocking=0_defpreempt=0,2,7199.3642,0.0262,0.0064,0.0159,0.0056,0.0,0.0,0.0,0.0,0.0306,0.0044,-0.0,0.0,9585.5607,732.1811,0.0,0.0,0.0,0.0,0.0,0.0,9585.5607,732.1811,91.5,24.7487,0.0,0.0,0.0,0.0,0.0,0.0,91.5,24.7487,-8.657,4.0858,-8.657,4.0858,,,,,,
nodes=16_prio=1_arrival=16s,mode=stablequeue2s_blocking=0_defpreempt=1,2,7199.7186,0.0257,0.0066,0.0159,0.0049,0.0,0.0,0.0,0.0,0.0305,0.0046,-0.0,0.0,9312.5887,472.6863,0.0,0.0,0.0,0.0,0.0,0.0,9312.5887,472.6863,84.5,6.364,0.0,0.0,0.0,0.0,0.0,0.0,84.5,6.364,-8.7816,3.5839,-8.7816,3.5839,,,,,,
nodes=16_prio=1_arrival=16s,mode=stablequeue2s_blocking=1_defpreempt=0,2,7199.7093,0.0265,0.0082,0.0165,0.0045,0.0,0.0,-0.0,0.0,0.0313,0.0054,-0.0,0.0,9686.038,57.7682,0.0,0.0,0.0,0.0,0.0,0.0,9686.038,57.7682,81.5,6.364,0.0,0.0,0.0,0.0,0.0,0.0,81.5,6.364,-9.091,4.0336,-9.091,4.0336,,,,,,
nodes=16_prio=1_arrival=16s,mode=stablequeue2s_blocking=1_defpreempt=1,2,7199.6433,0.0257,0.0076,0.0163,0.0041,0.0,0.0001,0.0,0.0001,0.0308,0.0056,0.0,0.0001,9394.4734,222.4189,0.0,0.0,0.0,0.0,0.0,0.0,9394.4734,222.4189,89.0,4.2426,0.0,0.0,0.0,0.0,0.0,0.0,89.0,4.2426,-8.8411,3.9819,-8.8411,3.9819,,,,,,
nodes=16_prio=1_arrival=8s,mode=periodic8s_blocking=0_defpreempt=0,2,7199.294,0.0153,0.0051,0.0093,0.0021,-0.0,0.0001,-0.0,0.0,0.0165,0.0027,-0.0,0.0001,5221.6991,651.9287,0.0,0.0,0.0,0.0,0.0,0.0,5221.6991,651.9287,89.0,32.5269,0.0,0.0,0.0,0.0,0.0,0.0,89.0,32.5269,-1.1546,0.0652,-1.1546,0.0652,,,,,,
nodes=16_prio=1_arrival=8s,mode=periodic8s_blocking=0_defpreempt=1,2,7199.4818,0.0149,0.0051,0.0086,0.0012,-0.0,0.0001,0.0,0.0001,0.0159,0.0032,0.0,0.0001,4798.469,584.6147,0.0,0.0,0.0,0.0,0.0,0.0,4798.469,584.6147,76.5,23.3345,0.0,0.0,0.0,0.0,0.0,0.0,76.5,23.3345,-0.9838,0.1047,-0.9838,0.1047,,,,,,
nodes=16_prio=1_arrival=8s,mode=periodic8s_blocking=1_defpreempt=0,2,7198.9386,0.0158,0.0059,0.0096,0.0001,0.0,0.0001,0.0,0.0001,0.0165,0.0045,0.0,0.0001,5464.4854,1586.0339,0.0,0.0,0.0,0.0,0.0,0.0,5464.4854,1586.0339,107.0,2.8284,0.0,0.0,0.0,0.0,0.0,0.0,107.0,2.8284,-1.2623,0.52,-1.2623,0.52,,,,,,
nodes=16_prio=1_arrival=8s,mode=periodic8s_blocking=1_defpreempt=1,2,7199.8264,0.015,0.0049,0.009,0.0019,-0.0001,0.0,-0.0001,0.0,0.0159,0.0025,-0.0001,0.0,4855.714,621.5224,0.0,0.0,0.0,0.0,0.0,0.0,4855.714,621.5224,78.5,24.7487,0.0,0.0,0.0,0.0,0.0,0.0,78.5,24.7487,-1.0555,0.1269,-1.0555,0.1269,,,,,,
nodes=16_prio=1_arrival=8s,mode=stablequeue2s_blocking=0_defpreempt=0,2,7198.4654,0.0173,0.0056,0.0113,0.0009,-0.0001,0.0001,-0.0,0.0001,0.0186,0.0039,-0.0,0.0001,6466.6267,1403.8675,0.0,0.0,0.0,0.0,0.0,0.0,6466.6267,1403.8675,158.0,5.6569,0.0,0.0,0.0,0.0,0.0,0.0,158.0,5.6569,-1.8125,0.4371,-1.8125,0.4371,,,,,,
nodes=16_prio=1_arrival=8s,mode=stablequeue2s_blocking=0_defpreempt=1,2,7199.0401,0.0176,0.0062,0.0111,0.0002,-0.0001,0.0,-0.0001,0.0,0.0188,0.0044,-0.0,0.0001,6280.901,1816.3629,0.0,0.0,0.0,0.0,0.0,0.0,6280.901,1816.3629,141.0,12.7279,0.0,0.0,0.0,0.0,0.0,0.0,141.0,12.7279,-1.6767,0.5888,-1.6767,0.5888,,,,,,
nodes=16_prio=1_arrival=8s,mode=stablequeue2s_blocking=1_defpreempt=0,2,7198.5831,0.0173,0.0055,0.0114,0.0004,-0.0001,0.0001,-0.0001,0.0001,0.0187,0.0037,-0.0001,0.0001,6367.4552,1275.4658,0.0,0.0,0.0,0.0,0.0,0.0,6367.4552,1275.4658,147.0,18.3848,0.0,0.0,0.0,0.0,0.0,0.0,147.0,18.3848,-1.5508,0.2458,-1.5508,0.2458,,,,,,
nodes=16_prio=1_arrival=8s,mode=stablequeue2s_blocking=1_defpreempt=1,2,7199.6124,0.0176,0.0062,0.0113,0.0002,-0.0,0.0001,-0.0,0.0001,0.0187,0.0046,0.0,0.0001,6468.0586,1559.6571,0.0,0.0,0.0,0.0,0.0,0.0,6468.0586,1559.6571,157.0,32.5269,0.0,0.0,0.0,0.0,0.0,0.0,157.0,32.5269,-1.6561,0.2457,-1.6561,0.2457,,,,,,
nodes=16_prio=4_arrival=16s,mode=periodic8s_blocking=0_defpreempt=0,2,7199.4847,0.0035,0.0016,0.0144,0.0075,0.0001,0.0,0.0002,0.0,0.0109,0.0121,0.0002,0.0,9198.1399,529.1459,-1739.01,431.3394,-2683.482,85.9817,-1238.9766,208.7326,3536.6713,837.7344,-142.0,16.9706,-41.5,20.5061,-36.0,25.4558,-23.0,14.1421,-242.5,77.0746,6.0015,0.1428,1.5773,3.059,5.7157,1.1289,10.8685,2.5331,7.0615,2.5866
nodes=16_prio=4_arrival=16s,mode=periodic8s_blocking=0_defpreempt=1,2,7199.6397,0.0045,0.0002,0.0118,0.0026,-0.0,0.0001,0.0,0.0,0.009,0.0063,0.0,0.0,3089.3237,422.7549,-27.5087,26.8594,-25.4397,22.7515,2.6322,14.3451,3039.0074,387.4892,108.0,38.1838,0.5,0.7071,0.0,0.0,0.0,0.0,108.5,38.8909,0.0534,0.2465,0.0907,0.9633,0.1139,0.0971,0.0304,0.0111,0.0252,0.0168
nodes=16_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=0,2,7199.5635,0.0038,0.0021,0.0153,0.0076,0.0001,0.0,0.0001,0.0,0.0114,0.0126,0.0001,0.0,9515.6114,376.3369,-1708.7206,171.4801,-2582.278,244.0412,-1319.542,49.1102,3905.0709,352.8859,-134.0,11.3137,-44.0,19.799,-39.0,22.6274,-27.0,9.8995,-244.0,63.6396,5.3899,0.2694,0.6583,2.5774,4.8053,0.268,10.5458,3.0753,7.1724,0.3086
nodes=16_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,2,7199.5312,0.0059,0.0003,0.0126,0.0043,-0.0,0.0001,0.0,0.0,0.0109,0.0064,0.0,0.0,3648.1586,285.8259,-15.9497,13.7153,-14.1466,24.1271,-18.2373,2.9852,3599.8251,250.9686,141.5,84.1457,0.0,0.0,0.0,0.0,0.5,0.7071,142.0,83.4386,0.3619,0.1255,1.1123,0.1656,0.0927,0.0542,0.0272,0.0317,0.0422,0.0974
nodes=16_prio=4_arrival=16s,mode=stablequeue2s_blocking=0_defpreempt=0,2,7199.5363,0.0027,0.0018,0.0133,0.0075,0.0001,0.0001,0.0001,0.0002,0.01,0.0119,0.0001,0.0001,9158.5504,590.9433,-1785.1566,382.3874,-2789.8184,23.572,-1598.1312,339.3935,2985.4442,657.5092,-69.0,24.0416,-43.5,27.5772,-36.0,28.2843,-27.0,11.3137,-175.5,91.2168,6.5997,0.9167,1.7632,1.4244,5.7632,0.068,11.593,2.4148,9.1888,2.2936
nodes=16_prio=4_arrival=16s,mode=stablequeue2s_blocking=0_defpreempt=1,2,7199.6073,0.0068,0.0015,0.013,0.0084,-0.0,0.0001,-0.0,0.0,0.0123,0.009,0.0,0.0001,4263.5754,2418.0751,-49.91,38.5605,-13.2449,6.7673,-3.0818,5.2494,4197.3388,2391.5314,158.0,43.8406,0.5,0.7071,0.0,0.0,0.5,0.7071,159.0,43.8406,-0.1879,0.3667,-0.6861,1.1921,0.1032,0.0692,0.0127,0.0498,-0.0119,0.0356
nodes=16_prio=4_arrival=16s,mode=stablequeue2s_blocking=1_defpreempt=0,2,7199.7297,0.0038,0.0034,0.0154,0.0092,0.0,0.0,0.0001,0.0001,0.0116,0.0142,0.0,0.0,9731.3835,63.185,-1786.3953,226.8172,-2695.6102,195.9205,-1287.1978,472.5694,3962.1802,378.4876,-90.0,2.8284,-42.5,21.9203,-36.5,17.6777,-21.5,4.9497,-190.5,41.7193,5.6133,1.113,1.2469,1.7907,5.6645,0.2047,9.9938,3.678,6.9344,2.457
nodes=16_prio=4_arrival=16s,mode=stablequeue2s_blocking=1_defpreempt=1,2,7199.5836,0.0056,0.0019,0.0125,0.0075,0.0,0.0002,0.0001,0.0001,0.011,0.0093,0.0001,0.0001,3591.2442,2274.8073,-62.5227,101.9747,-4.3562,7.5594,2.8655,10.6872,3527.2309,2175.9603,192.0,56.5685,0.5,0.7071,0.0,0.0,0.5,0.7071,193.0,56.5685,0.1539,0.6932,0.5983,2.4397,0.0817,0.0451,0.0232,0.1093,0.0072,0.0276
nodes=16_prio=4_arrival=8s,mode=periodic8s_blocking=0_defpreempt=0,2,7198.5911,0.0031,0.0044,0.0151,0.0038,0.0001,0.0002,0.0003,0.0002,0.0102,0.0021,0.0002,0.0003,8008.3938,2324.0814,-3199.7021,38.4768,-2514.0683,373.4911,-2126.2855,1011.0136,168.3378,1648.0821,-258.5,17.6777,-95.0,29.6985,-86.0,19.799,-52.0,2.8284,-491.5,34.6482,4.9707,0.2048,5.0435,2.0006,4.97,1.2657,4.1551,0.4456,5.8132,3.5783
nodes=16_prio=4_arrival=8s,mode=periodic8s_blocking=0_defpreempt=1,2,7199.1867,0.0065,0.0002,0.0133,0.0003,-0.0001,0.0001,-0.0001,0.0001,0.0108,0.0034,-0.0001,0.0002,4558.3461,566.8075,-62.1952,31.1994,-41.7959,51.4731,-34.4307,12.8599,4419.9243,662.3399,192.0,38.1838,0.5,2.1213,-0.5,0.7071,0.0,0.0,192.0,39.598,-0.1097,0.1858,-0.5741,0.6905,0.0692,0.0164,0.0762,0.0116,0.0836,0.0332
