scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,0,0.2266,0.2083,0.2266,0.2083,56.0,0.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,1,0.2638,0.2469,0.2638,0.2469,66.5,0.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,2,0.3148,0.3033,0.3167,0.3043,76.5,0.5,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,3,0.3633,0.3377,0.3633,0.3377,87.5,0.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,4,0.3841,0.3584,0.3851,0.3595,92.5,0.5,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,5,0.4156,0.4025,0.4156,0.4025,105.0,0.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,6,0.4493,0.4356,0.4493,0.4356,114.0,0.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,7,0.4999,0.4754,0.4999,0.4754,124.5,0.0,1.5
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,8,0.5381,0.5076,0.5403,0.5085,133.0,0.5,1.5
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,9,0.5749,0.5606,0.5749,0.5606,144.5,0.0,1.5
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,10,0.6003,0.6031,0.6003,0.6031,154.5,0.0,1.5
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,11,0.636,0.6357,0.6372,0.6416,165.0,0.5,1.5
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,12,0.6896,0.6799,0.6932,0.6808,174.5,0.5,1.5
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,13,0.7263,0.7175,0.7334,0.7184,184.0,0.5,1.5
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,14,0.7553,0.7358,0.7671,0.7625,192.0,2.5,1.5
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,15,0.7917,0.7599,0.8207,0.8022,201.0,4.5,1.5
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,16,0.8065,0.7859,0.8496,0.8359,208.0,6.0,2.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,17,0.8275,0.8034,0.8675,0.8522,214.5,5.5,2.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,18,0.8275,0.8034,0.8675,0.8522,214.5,5.5,2.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=1_arrival=16s,2,19,0.8275,0.8034,0.8675,0.8522,214.5,5.5,2.0
