scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,running_p2_mean,unsched_p2_mean,deletions_cum_p2_mean,running_p3_mean,unsched_p3_mean,deletions_cum_p3_mean,running_p4_mean,unsched_p4_mean,deletions_cum_p4_mean
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,1,0.0,0.0,0.0089,0.0148,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,2,0.2406,0.2509,0.2574,0.2661,11.0,0.0,0.0,8.5,0.5,0.0,4.0,0.5,0.0,4.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,3,0.3669,0.3778,0.3669,0.3778,16.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,4,0.4641,0.4922,0.4641,0.4922,18.0,0.0,0.0,15.5,0.0,0.0,12.0,0.0,0.0,6.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,5,0.5452,0.5981,0.5502,0.64,20.0,0.0,0.0,18.0,1.0,0.0,13.0,0.0,0.0,11.0,0.5,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,6,0.6317,0.7154,0.6369,0.7584,24.5,0.0,0.0,20.5,1.0,0.0,14.5,0.5,0.0,12.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,7,0.6714,0.7504,0.679,0.8004,25.5,0.5,0.0,21.5,1.0,0.0,16.5,0.5,0.0,14.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,8,0.6959,0.7888,0.7157,0.8644,27.0,0.0,0.0,23.5,1.0,0.0,18.0,2.0,0.0,14.5,0.5,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,9,0.7413,0.8165,0.7508,0.8851,27.0,0.0,0.0,23.5,1.0,0.0,20.0,1.5,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,10,0.7397,0.8512,0.7508,0.8851,26.5,0.5,1.5,24.5,0.0,0.0,20.5,1.0,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,11,0.7472,0.8568,0.7584,0.8907,28.0,0.5,1.5,24.5,0.0,0.0,20.5,1.0,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,12,0.7625,0.8679,0.7737,0.9018,29.5,0.5,1.5,24.5,0.0,0.0,21.0,1.0,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,13,0.7644,0.8718,0.7756,0.9057,30.0,0.5,1.5,24.5,0.0,0.0,21.0,1.0,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,14,0.7642,0.8776,0.7753,0.9037,29.5,1.0,3.5,24.5,0.0,0.0,21.5,0.5,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,15,0.7642,0.8776,0.7775,0.9088,29.5,1.5,3.5,24.5,0.0,0.0,21.5,0.5,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,16,0.7568,0.8787,0.7612,0.8966,29.5,0.5,4.5,23.5,0.0,1.0,21.5,0.5,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,17,0.7568,0.8787,0.7612,0.8966,29.5,0.5,4.5,23.5,0.0,1.0,21.5,0.5,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,18,0.7568,0.8787,0.7612,0.8966,29.5,0.5,4.5,23.5,0.0,1.0,21.5,0.5,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,19,0.7568,0.8787,0.7612,0.8966,29.5,0.5,4.5,23.5,0.0,1.0,21.5,0.5,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,20,0.7542,0.8919,0.7542,0.8919,29.0,0.0,5.5,23.5,0.0,1.0,22.0,0.0,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,21,0.7542,0.8919,0.7542,0.8919,29.0,0.0,5.5,23.5,0.0,1.0,22.0,0.0,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,22,0.7542,0.8919,0.7542,0.8919,29.0,0.0,5.5,23.5,0.0,1.0,22.0,0.0,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,23,0.7542,0.8919,0.7542,0.8919,29.0,0.0,5.5,23.5,0.0,1.0,22.0,0.0,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,24,0.7542,0.8919,0.7542,0.8919,29.0,0.0,5.5,23.5,0.0,1.0,22.0,0.0,0.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,25,0.7434,0.8713,0.7434,0.8713,29.0,0.0,5.5,23.5,0.0,1.0,21.0,0.0,1.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,26,0.7434,0.8713,0.7434,0.8713,29.0,0.0,5.5,23.5,0.0,1.0,21.0,0.0,1.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,27,0.7434,0.8713,0.7434,0.8713,29.0,0.0,5.5,23.5,0.0,1.0,21.0,0.0,1.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,28,0.7434,0.8713,0.7434,0.8713,29.0,0.0,5.5,23.5,0.0,1.0,21.0,0.0,1.0,16.5,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,2,29,0.7434,0.8713,0.7434,0.8713,29.0,0.0,5.5,23.5,0.0,1.0,21.0,0.0,1.0,16.5,0.0,0.0
