scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,1,0.1868,0.1985,0.1885,0.2025,24.5,0.5,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,2,0.2838,0.2771,0.289,0.2839,36.0,1.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,3,0.3688,0.3782,0.3877,0.3836,47.0,1.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,4,0.4669,0.4341,0.47,0.4372,58.0,0.5,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,5,0.5614,0.5281,0.5614,0.5281,69.0,0.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,6,0.6596,0.6304,0.6742,0.633,80.5,0.5,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,7,0.7157,0.6957,0.7469,0.7032,90.0,1.5,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,8,0.784,0.764,0.8132,0.7692,100.5,1.0,0.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,9,0.8311,0.8122,0.8603,0.8173,107.5,1.0,0.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,10,0.8281,0.8095,0.8573,0.8146,107.0,1.0,1.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,11,0.8341,0.8131,0.8488,0.8156,107.5,0.5,2.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,12,0.8436,0.8233,0.8614,0.8278,109.5,1.0,2.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,13,0.8614,0.8333,0.876,0.8358,111.5,0.5,2.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,14,0.8614,0.8333,0.876,0.8358,111.5,0.5,2.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,15,0.8614,0.8333,0.876,0.8358,111.5,0.5,2.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,16,0.8614,0.8333,0.876,0.8358,111.5,0.5,2.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,17,0.8614,0.8333,0.876,0.8358,111.5,0.5,2.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,18,0.876,0.8358,0.876,0.8358,112.0,0.0,3.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,19,0.876,0.8358,0.876,0.8358,112.0,0.0,3.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,20,0.876,0.8358,0.876,0.8358,112.0,0.0,3.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,21,0.876,0.8358,0.876,0.8358,112.0,0.0,3.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,22,0.876,0.8358,0.876,0.8358,112.0,0.0,3.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,23,0.876,0.8358,0.876,0.8358,112.0,0.0,3.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,24,0.876,0.8358,0.876,0.8358,112.0,0.0,3.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,25,0.8478,0.8262,0.8478,0.8262,110.5,0.0,4.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,26,0.8478,0.8262,0.8478,0.8262,110.5,0.0,4.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,27,0.8478,0.8262,0.8478,0.8262,110.5,0.0,4.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,28,0.8452,0.8228,0.8452,0.8228,110.0,0.0,5.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,29,0.8432,0.8189,0.8432,0.8189,109.5,0.0,5.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,30,0.8432,0.8189,0.8432,0.8189,109.5,0.0,5.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,31,0.8432,0.8189,0.8432,0.8189,109.5,0.0,5.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,32,0.8432,0.8189,0.8432,0.8189,109.5,0.0,5.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,33,0.8432,0.8189,0.8432,0.8189,109.5,0.0,5.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,34,0.8432,0.8189,0.8432,0.8189,109.5,0.0,5.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,35,0.8432,0.8189,0.8432,0.8189,109.5,0.0,5.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,36,0.8432,0.8189,0.8432,0.8189,109.5,0.0,5.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,37,0.8432,0.8189,0.8432,0.8189,109.5,0.0,5.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,38,0.8432,0.8189,0.8432,0.8189,109.5,0.0,5.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,39,0.8432,0.8189,0.8432,0.8189,109.5,0.0,5.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,40,0.8494,0.8263,0.8723,0.8538,111.5,2.5,6.5
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=8s,2,41,0.8494,0.8263,0.8723,0.8538,111.5,2.5,6.5
